,Date,Survey.Time,Region,SiteName,Basin,Water.Temperature..F.,DepthBin,Transect..,HabitatType,Pycno.notes..disease.presence..behavior..etc..,Pycnopodia_count
1,3/18/2023,30,Puget Sound,100 Foot Rock,Central,45,Deep,1,Natural Reef,,4
2,7/16/2023,28,Puget Sound,Admiralty Beach,Admiralty Inlet,52,Intermediate,1,Soft Bottom,,0
3,7/31/2023,55,Puget Sound,Admiralty Beach,Admiralty Inlet,53,Intermediate,1,Soft Bottom,,0
4,10/13/2025,8,Puget Sound,Alki - Cove 2,Central,56,Intermediate,1,Artificial Reef,,0
5,10/13/2025,2.5,Puget Sound,Alki - Cove 2,Central,56,Deep,2,Soft Bottom,,0
6,10/13/2025,9.5,Puget Sound,Alki - Cove 2,Central,56,Deep,3,Artificial Reef,,0
7,10/13/2025,7.5,Puget Sound,Alki - Cove 2,Central,56,Intermediate,4,Artificial Reef,,0
8,10/13/2025,6.5,Puget Sound,Alki - Cove 2,Central,56,Shallow,5,Artificial Reef,,0
9,10/13/2025,5,Puget Sound,Alki - Cove 2,Central,54,Intermediate,1,Artificial Reef,,0
10,10/13/2025,5,Puget Sound,Alki - Cove 2,Central,54,Deep,2,Soft Bottom,,0
11,10/13/2025,5,Puget Sound,Alki - Cove 2,Central,54,Deep,3,Artificial Reef,,0
12,10/13/2025,3,Puget Sound,Alki - Cove 2,Central,54,Shallow,4,Artificial Reef,,0
13,4/12/2023,5,Puget Sound,Alki - Cove 2,Central,46,Intermediate,1,Artificial Reef,,0
14,4/12/2023,12,Puget Sound,Alki - Cove 2,Central,46,Deep,2,Artificial Reef,,0
15,4/12/2023,10,Puget Sound,Alki - Cove 2,Central,46,Intermediate,3,Artificial Reef,,0
16,5/21/2023,7,Puget Sound,Alki - Cove 2,Central,51,Intermediate,1,Artificial Reef,,0
17,5/21/2023,7.5,Puget Sound,Alki - Cove 2,Central,51,Deep,2,Artificial Reef,,0
18,5/21/2023,4,Puget Sound,Alki - Cove 2,Central,51,Deep,3,Soft Bottom,,0
19,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Intermediate,4,Artificial Reef,,0
20,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Shallow,5,Artificial Reef,,0
21,5/21/2023,7,Puget Sound,Alki - Cove 2,Central,51,Intermediate,1,Artificial Reef,,0
22,5/21/2023,7.5,Puget Sound,Alki - Cove 2,Central,51,Deep,2,Artificial Reef,,0
23,5/21/2023,4,Puget Sound,Alki - Cove 2,Central,51,Deep,3,Soft Bottom,,0
24,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Intermediate,4,Artificial Reef,,0
25,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Shallow,5,Artificial Reef,,0
26,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,50,Intermediate,1,Artificial Reef,,0
27,5/21/2023,13,Puget Sound,Alki - Cove 2,Central,50,Deep,2,Artificial Reef,,0
28,5/21/2023,11,Puget Sound,Alki - Cove 2,Central,50,Intermediate,3,Artificial Reef,,0
29,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,50,Shallow,4,Soft Bottom,,0
30,7/2/2023,5,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,,0
31,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,,0
32,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,,0
33,7/2/2023,3,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,,0
34,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,,0
