,Date,Survey.Time,Region,SiteName,Basin,Water.Temperature..F.,DepthBin,Transect..,HabitatType,Length(cm),Pycno.notes..disease.presence..behavior..etc..
1,3/18/2023,30,Puget Sound,100 Foot Rock,Central,45,Deep,1,Natural Reef,0,
2,7/16/2023,28,Puget Sound,Admiralty Beach,Admiralty Inlet,52,Intermediate,1,Soft Bottom,0,
3,7/31/2023,55,Puget Sound,Admiralty Beach,Admiralty Inlet,53,Intermediate,1,Soft Bottom,0,
4,10/13/2025,8,Puget Sound,Alki - Cove 2,Central,56,Intermediate,1,Artificial Reef,0,
5,10/13/2025,2.5,Puget Sound,Alki - Cove 2,Central,56,Deep,2,Soft Bottom,0,
6,10/13/2025,9.5,Puget Sound,Alki - Cove 2,Central,56,Deep,3,Artificial Reef,0,
7,10/13/2025,7.5,Puget Sound,Alki - Cove 2,Central,56,Intermediate,4,Artificial Reef,0,
8,10/13/2025,6.5,Puget Sound,Alki - Cove 2,Central,56,Shallow,5,Artificial Reef,0,
9,10/13/2025,5,Puget Sound,Alki - Cove 2,Central,54,Intermediate,1,Artificial Reef,0,
10,10/13/2025,5,Puget Sound,Alki - Cove 2,Central,54,Deep,2,Soft Bottom,0,
11,10/13/2025,5,Puget Sound,Alki - Cove 2,Central,54,Deep,3,Artificial Reef,0,
12,10/13/2025,3,Puget Sound,Alki - Cove 2,Central,54,Shallow,4,Artificial Reef,0,
13,4/12/2023,5,Puget Sound,Alki - Cove 2,Central,46,Intermediate,1,Artificial Reef,0,
14,4/12/2023,12,Puget Sound,Alki - Cove 2,Central,46,Deep,2,Artificial Reef,0,
15,4/12/2023,10,Puget Sound,Alki - Cove 2,Central,46,Intermediate,3,Artificial Reef,0,
16,5/21/2023,7,Puget Sound,Alki - Cove 2,Central,51,Intermediate,1,Artificial Reef,0,
17,5/21/2023,7.5,Puget Sound,Alki - Cove 2,Central,51,Deep,2,Artificial Reef,0,
18,5/21/2023,4,Puget Sound,Alki - Cove 2,Central,51,Deep,3,Soft Bottom,0,
19,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Intermediate,4,Artificial Reef,0,
20,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Shallow,5,Artificial Reef,0,
21,5/21/2023,7,Puget Sound,Alki - Cove 2,Central,51,Intermediate,1,Artificial Reef,0,
22,5/21/2023,7.5,Puget Sound,Alki - Cove 2,Central,51,Deep,2,Artificial Reef,0,
23,5/21/2023,4,Puget Sound,Alki - Cove 2,Central,51,Deep,3,Soft Bottom,0,
24,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Intermediate,4,Artificial Reef,0,
25,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,51,Shallow,5,Artificial Reef,0,
26,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,50,Intermediate,1,Artificial Reef,0,
27,5/21/2023,13,Puget Sound,Alki - Cove 2,Central,50,Deep,2,Artificial Reef,0,
28,5/21/2023,11,Puget Sound,Alki - Cove 2,Central,50,Intermediate,3,Artificial Reef,0,
29,5/21/2023,6,Puget Sound,Alki - Cove 2,Central,50,Shallow,4,Soft Bottom,0,
30,7/2/2023,5,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,0,
31,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,0,
32,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,0,
33,7/2/2023,3,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,0,
34,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,0,
35,7/2/2023,32,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,0,
36,7/2/2023,5,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,0,
37,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,0,
38,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,0,
39,7/2/2023,3,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,0,
40,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,0,
41,7/2/2023,17,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,0,
42,11/11/2023,25,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,0,
43,11/11/2023,11,Puget Sound,Alki - Cove 2,Central,52,Shallow,2,Artificial Reef,0,
44,11/11/2023,6,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,0,
45,11/11/2023,7,Puget Sound,Alki - Cove 2,Central,52,Deep,2,Artificial Reef,0,
46,11/11/2023,15,Puget Sound,Alki - Cove 2,Central,52,Intermediate,3,Artificial Reef,0,
47,11/11/2023,10,Puget Sound,Alki - Cove 2,Central,52,Shallow,4,Artificial Reef,0,
48,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Intermediate,1,Artificial Reef,0,
49,3/25/2024,3,puget Sound,Alki - Cove 2,Central,48,Deep,2,Artificial Reef,0,
50,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Deep,3,Artificial Reef,0,
51,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,4,Artificial Reef,0,
52,3/25/2024,3,puget Sound,Alki - Cove 2,Central,48,Deep,5,Artificial Reef,0,
53,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,6,Artificial Reef,0,
54,3/25/2024,9,puget Sound,Alki - Cove 2,Central,48,Intermediate,7,Artificial Reef,0,
55,3/25/2024,15,puget Sound,Alki - Cove 2,Central,48,Intermediate,8,Artificial Reef,0,
56,3/25/2024,10,puget Sound,Alki - Cove 2,Central,48,Shallow,9,Artificial Reef,0,
57,3/25/2024,3,puget Sound,Alki - Cove 2,Central,48,Intermediate,1,Artificial Reef,0,
58,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,2,Artificial Reef,0,
59,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Deep,3,Artificial Reef,0,
60,3/25/2024,4,puget Sound,Alki - Cove 2,Central,48,Deep,5,Artificial Reef,0,
61,3/25/2024,6,puget Sound,Alki - Cove 2,Central,48,Deep,6,Artificial Reef,0,
62,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Intermediate,7,Artificial Reef,0,
63,3/25/2024,5,puget Sound,Alki - Cove 2,Central,48,Intermediate,8,Artificial Reef,0,
64,3/25/2024,10,puget Sound,Alki - Cove 2,Central,48,Shallow,9,Artificial Reef,0,
65,4/2/2024,7,Puget Sound,Alki - Cove 2,Central,48,Deep,1,Artificial Reef,0,
66,4/2/2024,5,Puget Sound,Alki - Cove 2,Central,48,Deep,2,Artificial Reef,0,
67,4/2/2024,5,Puget Sound,Alki - Cove 2,Central,48,Deep,3,Artificial Reef,0,
68,4/2/2024,6,Puget Sound,Alki - Cove 2,Central,48,Deep,4,Artificial Reef,0,
69,4/2/2024,5,Puget Sound,Alki - Cove 2,Central,48,Deep,5,Artificial Reef,0,
70,4/2/2024,4,Puget Sound,Alki - Cove 2,Central,48,Intermediate,6,Artificial Reef,0,
71,4/2/2024,3,Puget Sound,Alki - Cove 2,Central,48,Shallow,7,Artificial Reef,0,
72,8/18/2024,8.5,Puget Sound,Alki - Cove 2,Central,55,Intermediate,1,Artificial Reef,0,
73,8/18/2024,2.5,Puget Sound,Alki - Cove 2,Central,55,Deep,2,Soft Bottom,0,
74,8/18/2024,7.5,Puget Sound,Alki - Cove 2,Central,55,Deep,3,Artificial Reef,0,
75,8/18/2024,7,Puget Sound,Alki - Cove 2,Central,55,Intermediate,4,Artificial Reef,0,
76,8/18/2024,6,Puget Sound,Alki - Cove 2,Central,55,Shallow,5,Artificial Reef,0,
77,8/18/2024,20,Puget Sound,Alki - Cove 2,Central,55,Intermediate,1,Soft Bottom,0,
78,8/18/2024,8,Puget Sound,Alki - Cove 2,Central,55,Intermediate,2,Artificial Reef,0,
79,8/18/2024,5,Puget Sound,Alki - Cove 2,Central,55,Shallow,3,Artificial Reef,0,
80,12/7/2024,31,Puget Sound,Alki - Cove 2,Central,50,Deep,1,Artificial Reef,0,
81,12/7/2024,18,Puget Sound,Alki - Cove 2,Central,50,Intermediate,2,Artificial Reef,0,
82,12/7/2024,4,Puget Sound,Alki - Cove 2,Central,50,Shallow,3,Artificial Reef,0,
83,3/29/2025,4,Puget Sound,Alki - Cove 2,Central,46,Intermediate,1,Artificial Reef,0,
84,3/29/2025,13,Puget Sound,Alki - Cove 2,Central,46,Deep,2,Artificial Reef,0,
85,3/29/2025,30,Puget Sound,Alki - Cove 2,Central,46,Intermediate,3,Artificial Reef,0,
86,12/3/2025,44,Puget Sound,Alki - Cove 2,Central,52,Deep,1,Artificial Reef,0,
87,12/3/2025,38,Puget Sound,Alki - Cove 2,Central,52,Intermediate,2,Artificial Reef,0,
88,12/6/2022,48,Puget Sound,Alki - Cove 2,Central,52,Intermediate,1,Artificial Reef,0,
89,12/6/2022,23,Puget Sound,Alki - Cove 2,Central,52,Shallow,2,Artificial Reef,0,
90,7/19/2025,20,Puget Sound,Allan Island North,San Juan,51,Deep,1,Natural Reef,0,
91,7/19/2025,15,Puget Sound,Allan Island North,San Juan,51,Intermediate,2,Natural Reef,0,
92,7/25/2023,10,Puget Sound,Bachelor Rock,Strait of Juan de Fuca,49,Intermediate,2,Soft Bottom,60,
93,7/25/2023,10,Puget Sound,Bachelor Rock,Strait of Juan de Fuca,49,Intermediate,3,Natural Reef,50,
94,9/26/2025,92,Puget Sound,Bachelor Rock,Strait of Juan de Fuca,48,Intermediate,1,Natural Reef,35,Healthy
95,9/26/2025,92,Puget Sound,Bachelor Rock,Strait of Juan de Fuca,48,Intermediate,1,Natural Reef,35,Healthy
96,5/9/2022,10,Puget Sound,Bell Island East,San Juan,49,Deep,1,Natural Reef,0,
97,5/9/2022,13,Puget Sound,Bell Island East,San Juan,49,Intermediate,2,Natural Reef,0,
98,5/9/2022,5,Puget Sound,Bell Island East,San Juan,49,Intermediate,3,Natural Reef,0,
99,5/9/2022,5,Puget Sound,Bell Island East,San Juan,49,Shallow,4,Natural Reef,0,
100,5/9/2022,11,Puget Sound,Bell Island East,San Juan,47,Deep,1,Natural Reef,0,
101,5/9/2022,19,Puget Sound,Bell Island East,San Juan,47,Intermediate,2,Natural Reef,0,
102,5/9/2022,3,Puget Sound,Bell Island East,San Juan,47,Shallow,3,Natural Reef,0,
103,8/3/2022,10.5,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,0,
104,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,0,
105,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,0,
106,8/3/2022,7.5,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,0,
107,8/3/2022,4,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,0,
108,8/3/2022,14,Puget Sound,Bell Island East,San Juan,53,Deep,2,Natural Reef,0,
109,8/3/2022,18,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,0,
110,8/3/2022,4,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,0,
111,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Deep,1,Natural Reef,0,
112,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,2,Natural Reef,0,
113,8/3/2022,10,Puget Sound,Bell Island East,San Juan,53,Intermediate,3,Natural Reef,0,
114,8/3/2022,4,Puget Sound,Bell Island East,San Juan,53,Shallow,4,Natural Reef,0,
115,5/25/2023,7,Puget Sound,Bell Island East,San Juan,49,Deep,1,Natural Reef,0,
116,5/25/2023,15,Puget Sound,Bell Island East,San Juan,49,Intermediate,2,Natural Reef,0,
117,5/25/2023,5,Puget Sound,Bell Island East,San Juan,49,Intermediate,3,Natural Reef,0,
118,5/25/2023,3,Puget Sound,Bell Island East,San Juan,49,Shallow,4,Natural Reef,0,
119,5/25/2023,9,Puget Sound,Bell Island East,San Juan,52,Deep,1,Natural Reef,0,None present
120,5/25/2023,12,Puget Sound,Bell Island East,San Juan,52,Intermediate,2,Natural Reef,0,None present
121,5/25/2023,14,Puget Sound,Bell Island East,San Juan,52,Intermediate,3,Natural Reef,0,None present
122,5/25/2023,3,Puget Sound,Bell Island East,San Juan,52,Shallow,4,Natural Reef,0,None present
123,4/15/2024,10,Puget Sound,Bell Island East,San Juan,49,Intermediate,1,Natural Reef,0,
