Site,Lat,Long
100 Foot Rock,47.851581,-122.337599
Admiralty Beach,48.163471,-122.641196
"Agate Beach, Lopez Is",48.430088,-122.877564
Alki - Cove 1,47.587448,-122.377732
Alki - Cove 2,47.588746,-122.379068
Alki - Cove 3,47.590072,-122.380864
Alki - Pipeline,47.570966,-122.414476
Alki Beach,47.580873,-122.410246
Andy's Marine Park,47.146157,-122.734328
Bachelor Rock,48.151033,-123.636306
Bayrich Bay,48.580844,-122.999077
Bell Island East,48.596069,-122.979414
Bell Island West,48.59602,-122.981588
Beverly Beach,48.060481,-122.514991
Blake Island South,47.53175,-122.49747
Blakely Harbor Reef,47.596591,-122.498623
"Blakely Harbor, North",47.5945,122.4801
Broken Point Cove Shaw,48.591285,-122.969294
Broken Point East,48.594083,-122.965431
Broken Point West,48.594669,-122.967602
Burrows Lighthouse,48.47773,-122.71458
Camano Head,48.053302,-122.358319
Camano Island State Park,48.129063,-122.504218
Camp Casey,48.1616,-122.684334
Canoe Pass,48.408773,-122.645138
Chupp Point,48.938125,-125.304601
Crosse Point,48.917407,-125.250444
Dalco Shallows,47.33373,-122.518971
Dash Point State Park,47.323263,-122.412404
Day Island Kelp,47.2373,-122.563345
Day Island Wall,47.241984,-122.564551
Day Island Wall - North,47.242693,-122.565324
Day Island Wall - South,47.240821,-122.56565
Deadmans Bay,48.512846,-123.147129
Deception Pass,48.405541,-122.64517
Derelict Conveyor,48.855254,-122.730835
Devils Head,47.167216,-122.76049
Dickman Mill,47.278304,-122.471
Driftwood Park,48.162897,-122.637203
Dune Peninsula Breakwater,47.306618,-122.508605
Eagle Point,48.458027,-123.036267
Ebeys Landing,48.194185,-122.722828
Edgewater Beach Park,47.952599,-122.290503
Ediz Hook Log Pile,48.141211,-123.436541
Ediz Hook Rock Pile,48.139562,-123.415522
Ediz Hook RockPile,48.140197,-123.422831
Edmonds Pipeline,47.812146,-122.388686
Edmonds Underwater Park,47.815161,-122.382522
Edmonds Underwater Park Kelp,47.819549,-122.37838
Edmonds Underwater Park Pipeline,47.812101,-122.389429
Edmonds Underwater Park Shell Creek,47.819549,-122.37838
Elephant Wall,47.562416,-123.017743
Everett Pipeline,47.974814,-122.239548
Flagpole Point,47.564755,-123.01436
Flat Top Island,48.647176,-123.086428
Fort Worden,48.136638,-122.760193
Foulweather Bluff,47.941083,-122.6012
Fox Island East Wall,47.228514,-122.589606
Fox Island West Wall,47.239321,-122.632894
Freshwater Bay,48.15063,-123.636083
Friday Harbor Reef,48.549823,-123.005027
Fulton Creek,47.617983,-122.968183
Goby Garden,47.63058,-122.942265
"Green Point, Spieden Island",48.633476,-123.126096
Hat Island,48.005829,-122.300441
Hat Island Ledge,48.007259,-122.298823
Hat Island Marina,48.020625,-122.321716
Holmes Harbor,48.017692,-122.53879
Intake Tower/Between Owens and Boathouse,47.31032,-122.522841
"Jack Block, Seattle, Washington",47.583575,-122.371769
Jack Hyde Park,47.275975,-122.463905
Jefferson Head,47.74169406,-122.4868108
Jones Island,48.617667,-123.040383
Jorsted Creek,47.522325,-123.048584
Kat's Corner,47.416943,-123.130313
Kayen Point,48.941187,-125.272428
Ketron Island,47.167661,-122.63057
Kellet's Bluff,48.590498,-123.202768
Keystone Jetty,48.156876,-122.67077
Keystone Jetty - Pilings,48.157998,-122.668452
Keystone Jetty Preserve,48.162703,-122.630656
Keystone Preserve,48.157389,-122.615111
Kopachuck State Park,47.31183,-122.688691
KVI Tower,47.420837,-122.429911
Langley Marina,48.040016,-122.402694
Langley Tire Reef,48.03919,-122.402904
Larry's Lair,48.526141,-122.972398
Les Davis Marine Park,47.2842,-122.48315
Les Davis Marine Park Pier,47.28328,-122.48148
Les Davis Marine Park Pipeline,47.284239,-122.480046
Lime Kiln,48.515401,-123.152515
Lincoln Park,47.536153,-122.397348
Lobster Shop Wall,47.288135,-122.489
Lowell Point,48.11942,-122.48704
Magnolia,47.6302891,-122.3977342
Marina Beach,47.804261,-122.396132
Maury Island Barges,47.362792,-122.439769
McCracken Point,48.622574,-123.181997
McCurdy Point,48.138791,-122.844791
Metridium Wall,47.596755,-122.495476
Misery Point,47.660676,-122.833582
Mukilteo Edgewater Park,47.953937,-122.286161
Mukilteo Fuel Pier,47.951727,-122.292674
Mukilteo Lighthouse,47.94664,-122.309245
Mukilteo T-Dock,47.950451,-122.299001
