SiteName,HabitatRichness,HabitatsPerTransect,ShannonDiversity,SimpsonDiversity,HabitatsPresent,MeanEncounterRate,TotalPycnoCount,HasDetection,NRecords,NTransectLocations,NSurveyDates,TotalSurveyTime,HasEelgrass,SiteType
100 Foot Rock,1,1.0,-0.0,0.0,Natural Reef,8.0,4,True,1,1,1,30.0,False,Single-Habitat
Admiralty Beach,1,1.0,-0.0,0.0,Soft Bottom,0.0,0,False,2,1,2,83.0,False,Single-Habitat
Alki - Cove 2,2,0.2222222222222222,0.3179367802622418,0.17481789802289294,"Artificial Reef, Soft Bottom",0.20527859237536655,14,True,93,9,14,959.5,False,Multi-Habitat
Alki Beach,3,0.6,1.0549201679861442,0.6399999999999999,"Artificial Reef, Eelgrass, Soft Bottom",2.0,1,True,5,5,1,73.0,True,Multi-Habitat
Allan Island North,1,0.5,-0.0,0.0,Natural Reef,0.0,0,False,2,2,1,35.0,False,Single-Habitat
Anvil Island,2,0.5,0.45056120886630463,0.2777777777777777,"Natural Reef, Soft Bottom",0.0,0,False,12,4,1,146.0,False,Multi-Habitat
Bachelor Rock,2,0.6666666666666666,0.6365141682948128,0.4444444444444444,"Natural Reef, Soft Bottom",4.434782608695652,4,True,3,3,2,112.0,False,Multi-Habitat
Bell Island East,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,65,4,7,671.5,False,Single-Habitat
Bell Island West,2,0.4,0.10847133903591605,0.044421487603305776,"Kelp Forest, Natural Reef",0.0,0,False,44,5,6,382.5,False,Multi-Habitat
Beverly Beach,2,0.4,0.5455945739691843,0.3598615916955018,"Eelgrass, Soft Bottom",38.83238175950108,611,True,85,5,20,1071.0,True,Multi-Habitat
Bird Islet,1,0.16666666666666666,-0.0,0.0,Natural Reef,0.07371007371007372,1,True,37,6,3,346.0,False,Single-Habitat
Blakely Harbor Reef,1,1.0,-0.0,0.0,Natural Reef,0.0,0,False,1,1,1,30.0,False,Single-Habitat
Brigade,1,1.0,-0.0,0.0,Natural Reef,0.0,0,False,1,1,1,50.0,False,Single-Habitat
Broken Point ,1,0.2,-0.0,0.0,Natural Reef,0.0,0,False,10,5,1,76.0,False,Single-Habitat
Broken Point East,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,14,4,3,117.5,False,Single-Habitat
Broken Point West,1,0.2,-0.0,0.0,Natural Reef,0.0,0,False,49,5,6,360.5,False,Single-Habitat
Browning Wall,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,4,4,1,31.0,False,Single-Habitat
Camano Head,2,0.6666666666666666,0.6730116670092565,0.48,"Natural Reef, Soft Bottom",0.0,0,False,5,3,1,70.0,False,Multi-Habitat
Canoe Pass,1,0.3333333333333333,-0.0,0.0,Natural Reef,0.0,0,False,3,3,1,41.0,False,Single-Habitat
Cherry Point,1,0.3333333333333333,-0.0,0.0,Soft Bottom,0.0,0,False,3,3,1,30.0,False,Single-Habitat
Christie Islet,1,0.3333333333333333,-0.0,0.0,Natural Reef,0.0,0,False,13,3,2,165.0,False,Single-Habitat
Cliff Island,1,0.25,-0.0,0.0,Natural Reef,0.0,0,False,12,4,1,102.5,False,Single-Habitat
Davidson Rock,1,0.3333333333333333,-0.0,0.0,Natural Reef,0.0,0,False,3,3,1,45.0,False,Single-Habitat
Day Island Wall,3,0.75,0.8760057656431737,0.5408163265306123,"Kelp Forest, Natural Reef, Soft Bottom",0.0,0,False,14,4,2,145.5,False,Multi-Habitat
Day Island Wall - North,1,1.0,-0.0,0.0,Soft Bottom,0.0,0,False,1,1,1,5.0,False,Single-Habitat
Deadman Island,2,1.0,0.6869615765973234,0.49382716049382713,"Kelp Forest, Natural Reef",0.0,0,False,9,2,3,311.0,False,Multi-Habitat
Deception Pass,1,0.3333333333333333,-0.0,0.0,Natural Reef,0.0,0,False,4,3,1,70.0,False,Single-Habitat
Dickman Mill,2,0.6666666666666666,0.410116318288409,0.24489795918367352,"Artificial Reef, Soft Bottom",0.0,0,False,7,3,2,158.0,False,Multi-Habitat
Driftwood Park,2,0.6666666666666666,0.6210863745552451,0.4296875,"Artificial Reef, Soft Bottom",0.20476973684210525,6,True,32,3,23,1182.0,False,Multi-Habitat
Eagle Point,2,0.4,0.33149775285317756,0.18468858131487886,"Kelp Forest, Natural Reef",0.34155132641291813,5,True,68,5,7,683.5,False,Multi-Habitat
Ediz Hook Log Pile,4,0.6666666666666666,1.1260387613400897,0.6294642857142857,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",3.901852820431848,79,True,56,6,11,718.0,True,Multi-Habitat
Ediz Hook RockPile,4,0.8,0.8129276818420603,0.4181459566074949,"Artificial Reef, Eelgrass, Natural Reef, Soft Bottom",7.92291469214546,50,True,39,5,5,412.0,True,Multi-Habitat
Edmonds Underwater Park,3,0.5,0.9351490660598429,0.54919643889467,"Artificial Reef, Eelgrass, Soft Bottom",0.6513056835637481,6,True,93,6,17,1345.0,True,Multi-Habitat
Edmonds Underwater Park Pipeline,3,0.6,0.6035172742126114,0.31717451523545714,"Artificial Reef, Eelgrass, Soft Bottom",0.15789473684210525,1,True,38,5,9,365.5,True,Multi-Habitat
Elephant Wall,1,0.5,-0.0,0.0,Natural Reef,0.0,0,False,2,2,1,49.0,False,Single-Habitat
Enchanted Forest,2,0.5,0.5700471705012848,0.38204081632653053,"Natural Reef, Sponge Garden",0.0,0,False,35,4,3,329.0,False,Multi-Habitat
Flagpole Point,2,0.3333333333333333,0.5375444124735402,0.3526530612244898,"Natural Reef, Soft Bottom",4.334433773509404,36,True,70,6,6,607.5,False,Multi-Habitat
Flattop Island,1,0.2,-0.0,0.0,Natural Reef,0.0,0,False,25,5,3,226.0,False,Single-Habitat
Fort Worden,2,1.0,0.6730116670092565,0.48,"Artificial Reef, Soft Bottom",0.19672131147540986,1,True,5,2,2,177.0,False,Multi-Habitat
Foulweather Bluff,1,0.3333333333333333,-0.0,0.0,Soft Bottom,0.0,0,False,8,3,2,75.0,False,Single-Habitat
