SiteName,Basin,HasEelgrass,EelgrassLabel,MeanEncounterRate,TotalPycnoCount,HasDetection,NRecords,NTransectLocations
100 Foot Rock,Central,False,Non-Eelgrass Site,8.0,4,True,1,1
Admiralty Beach,Admiralty Inlet,False,Non-Eelgrass Site,0.0,0,False,2,1
Alki - Cove 2,Central,False,Non-Eelgrass Site,0.20527859237536655,14,True,93,9
Alki Beach,Central,True,Eelgrass Site,2.0,1,True,5,5
Allan Island North,San Juan,False,Non-Eelgrass Site,0.0,0,False,2,2
Anvil Island,Howe Sound,False,Non-Eelgrass Site,0.0,0,False,12,4
Bachelor Rock,Strait of Juan de Fuca,False,Non-Eelgrass Site,4.434782608695652,4,True,3,3
Bell Island East,San Juan,False,Non-Eelgrass Site,0.0,0,False,65,4
Bell Island West,San Juan,False,Non-Eelgrass Site,0.0,0,False,44,5
Beverly Beach,Whidbey,True,Eelgrass Site,38.83238175950108,611,True,85,5
Bird Islet,Howe Sound,False,Non-Eelgrass Site,0.07371007371007372,1,True,37,6
Blakely Harbor Reef,Central,False,Non-Eelgrass Site,0.0,0,False,1,1
Brigade,Howe Sound,False,Non-Eelgrass Site,0.0,0,False,1,1
Broken Point ,San Juan,False,Non-Eelgrass Site,0.0,0,False,10,5
Broken Point East,San Juan,False,Non-Eelgrass Site,0.0,0,False,14,4
Broken Point West,San Juan,False,Non-Eelgrass Site,0.0,0,False,49,5
Browning Wall,Strait of Georgia,False,Non-Eelgrass Site,0.0,0,False,4,4
Camano Head,Whidbey,False,Non-Eelgrass Site,0.0,0,False,5,3
Canoe Pass,San Juan,False,Non-Eelgrass Site,0.0,0,False,3,3
Cherry Point,San Juan,False,Non-Eelgrass Site,0.0,0,False,3,3
Christie Islet,Howe Sound,False,Non-Eelgrass Site,0.0,0,False,13,3
Cliff Island,San Juan,False,Non-Eelgrass Site,0.0,0,False,12,4
Davidson Rock,San Juan,False,Non-Eelgrass Site,0.0,0,False,3,3
Day Island Wall,South,False,Non-Eelgrass Site,0.0,0,False,14,4
Day Island Wall - North,South,False,Non-Eelgrass Site,0.0,0,False,1,1
Deadman Island,San Juan,False,Non-Eelgrass Site,0.0,0,False,9,2
Deception Pass,San Juan,False,Non-Eelgrass Site,0.0,0,False,4,3
Dickman Mill,Central,False,Non-Eelgrass Site,0.0,0,False,7,3
Driftwood Park,Admiralty Inlet,False,Non-Eelgrass Site,0.20476973684210525,6,True,32,3
Eagle Point,San Juan,False,Non-Eelgrass Site,0.34155132641291813,5,True,68,5
Ediz Hook Log Pile,Strait of Juan de Fuca,True,Eelgrass Site,3.901852820431848,79,True,56,6
Ediz Hook RockPile,Strait of Juan de Fuca,True,Eelgrass Site,7.92291469214546,50,True,39,5
Edmonds Underwater Park,Central,True,Eelgrass Site,0.6513056835637481,6,True,93,6
Edmonds Underwater Park Pipeline,Central,True,Eelgrass Site,0.15789473684210525,1,True,38,5
Elephant Wall,Hood Canal,False,Non-Eelgrass Site,0.0,0,False,2,2
Enchanted Forest,Howe Sound,False,Non-Eelgrass Site,0.0,0,False,35,4
Flagpole Point,Hood Canal,False,Non-Eelgrass Site,4.334433773509404,36,True,70,6
Flattop Island,San Juan,False,Non-Eelgrass Site,0.0,0,False,25,5
Fort Worden,Admiralty Inlet,False,Non-Eelgrass Site,0.19672131147540986,1,True,5,2
Foulweather Bluff,Hood Canal,False,Non-Eelgrass Site,0.0,0,False,8,3
Fox Island East Wall,South,False,Non-Eelgrass Site,0.0,0,False,43,4
Fox Island West Wall,South,True,Eelgrass Site,0.12359550561797752,2,True,89,6
Freeland Park,Whidbey,True,Eelgrass Site,8.677779380069387,176,True,90,6
