,n_eelgrass,n_no_eelgrass,mean_eelgrass,mean_no_eelgrass,difference,u_stat,u_pval,t_stat,t_pval,cohens_d,sufficient_data
Admiralty Inlet,3,5,0.5008928571428571,0.20038381097090513,0.300509046171952,11.0,0.35939677082051935,1.239825966472752,0.26132855698841234,0.9054408656236933,True
Central,10,15,0.3244042831635432,0.6670615835777125,-0.3426573004141693,99.0,0.1598283125128469,-0.5054979527888283,0.6180193324669654,-0.2063686750590217,True
Hood Canal,4,19,4.869911647525427,4.089153060071,0.7807585874544269,40.0,0.9026838639712464,0.3456477763676063,0.7330459844186039,0.19014761793493312,True
Howe Sound,1,9,,,,,,,,,False
Queen Charlotte Strait,0,6,,,,,,,,,False
San Juan,2,35,0.0,0.045489385499884384,-0.045489385499884384,29.0,0.5649571615806369,-0.519545615211933,0.6066506898579029,-0.3777248226001114,True
South,3,4,0.04119850187265917,0.0,0.04119850187265917,8.0,0.3864762307712327,1.1952286093343936,0.285590940645201,0.9128709291752767,True
Strait of Georgia,1,1,,,,,,,,,False
Strait of Juan de Fuca,4,5,4.445551494864559,2.83653763369648,1.609013861168079,14.0,0.4126984126984127,1.0010245934927415,0.3501544496020488,0.6715077114596592,True
Whidbey,6,6,16.344806793727194,1.910181253661155,14.434625540066039,32.0,0.03034794173956043,2.4655596449701194,0.033357482477396824,1.4234915247265765,True
