,,MeanEncounterRate,MeanEncounterRate,MeanEncounterRate,HasDetection,HasDetection
,,mean,std,count,sum,mean
Basin,EelgrassLabel,,,,,
Admiralty Inlet,Eelgrass Site,0.5009,0.4586,3,2,0.6667
Admiralty Inlet,Non-Eelgrass Site,0.2004,0.2451,5,3,0.6
Central,Eelgrass Site,0.3244,0.6202,10,7,0.7
Central,Non-Eelgrass Site,0.6671,2.0693,15,5,0.3333
Hood Canal,Eelgrass Site,4.8699,5.8956,4,3,0.75
Hood Canal,Non-Eelgrass Site,4.0892,3.7251,19,15,0.7895
Howe Sound,Eelgrass Site,0.0,,1,0,0.0
Howe Sound,Non-Eelgrass Site,0.193,0.4411,9,3,0.3333
Queen Charlotte Strait,Non-Eelgrass Site,1.0556,1.6387,6,2,0.3333
San Juan,Eelgrass Site,0.0,0.0,2,0,0.0
San Juan,Non-Eelgrass Site,0.0455,0.1222,35,6,0.1714
South,Eelgrass Site,0.0412,0.0714,3,1,0.3333
South,Non-Eelgrass Site,0.0,0.0,4,0,0.0
Strait of Georgia,Eelgrass Site,5.7273,,1,1,1.0
Strait of Georgia,Non-Eelgrass Site,0.0,,1,0,0.0
Strait of Juan de Fuca,Eelgrass Site,4.4456,2.3588,4,4,1.0
Strait of Juan de Fuca,Non-Eelgrass Site,2.8365,2.4237,5,4,0.8
Whidbey,Eelgrass Site,16.3448,13.7713,6,6,1.0
Whidbey,Non-Eelgrass Site,1.9102,4.0004,6,4,0.6667
