SiteName,TotalPycno,MeanCount,MeanEncounterRate,TotalSurveyTime,NSurveyDates,FirstSurvey,LastSurvey,HasEelgrass,Basin,NTransects,DetectionRate,SurveyHours,Lat,Long
100 Foot Rock,4,4.0,8.0,30.0,1,2023-03-18,2023-03-18,False,Central,1,1.0,0.5,47.851581,-122.337599
Admiralty Beach,0,0.0,0.0,83.0,2,2023-07-16,2023-07-31,False,Admiralty Inlet,2,0.0,1.3833333333333333,48.163471,-122.641196
Alki - Cove 2,14,0.15053763440860216,0.20527859237536655,959.5,14,2022-12-06,2025-12-03,False,Central,93,0.010752688172043012,15.991666666666667,47.588746,-122.379068
Alki Beach,1,0.2,2.0,73.0,1,2023-12-10,2023-12-10,True,Central,5,0.2,1.2166666666666666,47.580873,-122.410246
Allan Island North,0,0.0,0.0,35.0,1,2025-07-19,2025-07-19,False,San Juan,2,0.0,0.5833333333333334,,
Anvil Island,0,0.0,0.0,146.0,1,2024-02-20,2024-02-20,False,Howe Sound,12,0.0,2.433333333333333,49.515547,-123.295337
Bachelor Rock,4,1.3333333333333333,4.434782608695652,112.0,2,2023-07-25,2025-09-26,False,Strait of Juan de Fuca,3,1.0,1.8666666666666667,48.151033,-123.636306
Bell Island East,0,0.0,0.0,671.5,7,2022-05-09,2025-08-04,False,San Juan,65,0.0,11.191666666666666,48.596069,-122.979414
Bell Island West,0,0.0,0.0,382.5,6,2022-05-10,2025-11-17,False,San Juan,44,0.0,6.375,48.59602,-122.981588
Beverly Beach,611,7.188235294117647,38.83238175950108,1071.0,20,2023-06-19,2025-12-16,True,Whidbey,85,0.8941176470588236,17.85,48.060481,-122.514991
Bird Islet,1,0.02702702702702703,0.07371007371007372,346.0,3,2024-02-21,2025-02-08,False,Howe Sound,37,0.02702702702702703,5.766666666666667,49.36309,-123.291585
Blakely Harbor Reef,0,0.0,0.0,30.0,1,2022-10-16,2022-10-16,False,Central,1,0.0,0.5,47.596591,-122.498623
Brigade,0,0.0,0.0,50.0,1,2024-10-06,2024-10-06,False,Howe Sound,1,0.0,0.8333333333333334,49.490065,-123.329092
Broken Point ,0,0.0,0.0,76.0,1,2025-05-05,2025-05-05,False,San Juan,10,0.0,1.2666666666666666,,
Broken Point East,0,0.0,0.0,117.5,3,2023-05-25,2026-08-06,False,San Juan,14,0.0,1.9583333333333333,48.594083,-122.965431
Broken Point West,0,0.0,0.0,360.5,6,2022-05-10,2025-11-17,False,San Juan,49,0.0,6.008333333333334,48.594669,-122.967602
Browning Wall,0,0.0,0.0,31.0,1,2025-09-12,2025-09-12,False,Strait of Georgia,4,0.0,0.5166666666666667,,
Camano Head,0,0.0,0.0,70.0,1,2022-05-06,2022-05-06,False,Whidbey,5,0.0,1.1666666666666667,48.053302,-122.358319
Canoe Pass,0,0.0,0.0,41.0,1,2022-07-16,2022-07-16,False,San Juan,3,0.0,0.6833333333333333,48.408773,-122.645138
Cherry Point,0,0.0,0.0,30.0,1,2024-08-21,2024-08-21,False,San Juan,3,0.0,0.5,48.860126,-122.74981
Christie Islet,0,0.0,0.0,165.0,2,2024-02-20,2024-10-06,False,Howe Sound,13,0.0,2.75,49.499396,-123.301971
Cliff Island,0,0.0,0.0,102.5,1,2024-05-01,2024-05-01,False,San Juan,12,0.0,1.7083333333333333,48.590582,-123.011323
Davidson Rock,0,0.0,0.0,45.0,1,2025-07-19,2025-07-19,False,San Juan,3,0.0,0.75,,
Day Island Wall,0,0.0,0.0,145.5,2,2022-10-17,2024-10-09,False,South,14,0.0,2.425,47.241984,-122.564551
Day Island Wall - North,0,0.0,0.0,5.0,1,2025-11-07,2025-11-07,False,South,1,0.0,0.08333333333333333,47.242693,-122.565324
Deadman Island,0,0.0,0.0,311.0,3,2024-08-22,2025-08-02,False,San Juan,9,0.0,5.183333333333334,48.458797,-122.943743
