SiteName,BC_CLASS_1.0,BC_CLASS_3.0,BC_CLASS_4.0,BC_CLASS_5.0,BC_CLASS_7.0,BC_CLASS_8.0,BC_CLASS_9.0,BC_CLASS_10.0,BC_CLASS_13.0,BC_CLASS_14.0,BC_CLASS_16.0,BC_CLASS_19.0,BC_CLASS_21.0,BC_CLASS_22.0,BC_CLASS_24.0,BC_CLASS_25.0,BC_CLASS_27.0,BC_CLASS_28.0,BC_CLASS_30.0,BC_CLASS_32.0
100 Foot Rock,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7 Seas Dock,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Admiralty Beach,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Agate Beach, Lopez Is",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Alki - Cove 1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Alki - Cove 2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Alki - Cove 3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Alki - Pipeline,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Alki Beach,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Andy's Marine Park,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Arsenic Wall,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bachelor Rock,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bayrich Bay,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bell Island East,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bell Island West,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beverly Beach,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Blake Island South,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Blakely Harbor Reef,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"Blakely Harbor, North",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Boeing Creek Reef,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Broken Point Cove Shaw,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Broken Point East,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Broken Point West,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Burrows Lighthouse,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Camano Head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Camano Island State Park,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Camp Casey,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Canoe Pass,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cattle Point,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cherry Point,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Clallam Bay West,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cliff Island,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dalco Shallows,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Dalco Wall,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Dallas Banks,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Dash Point State Park,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Day Island Kelp,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Day Island Wall,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Day Island Wall - North,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Day Island Wall - South,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Deadman Island,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deadmans Bay,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deception Pass,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Derelict Conveyor,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Devils Head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dickman Mill,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Driftwood Park,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Dune Peninsula Breakwater,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Eagle Cove,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eagle Point,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ebeys Landing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Edgewater Beach Park,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ediz Hook Log Pile,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Ediz Hook Rock Pile,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ediz Hook RockPile,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Edmonds Pipeline,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Edmonds Underwater Park,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Edmonds Underwater Park Fishing Pier,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Edmonds Underwater Park Kelp,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Edmonds Underwater Park Pipeline,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Edmonds Underwater Park Shell Creek,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Elephant Wall,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Elliot Bay Marina,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Everett Pipeline,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Flagpole Point,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Flat Top Island,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fort Worden,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Foulweather Bluff,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Fox Island Bridge,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Fox Island East Wall,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Fox Island West Wall,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
