SiteName,BC_CLASS
100 Foot Rock,25.0
Admiralty Beach,25.0
"Agate Beach, Lopez Is",24.0
Alki - Cove 1,32.0
Alki - Cove 2,32.0
Alki - Cove 3,32.0
Alki - Pipeline,24.0
Alki Beach,27.0
Andy's Marine Park,28.0
Bachelor Rock,8.0
Bayrich Bay,28.0
Bell Island East,4.0
Bell Island West,4.0
Beverly Beach,30.0
Blake Island South,25.0
Blakely Harbor Reef,13.0
"Blakely Harbor, North",16.0
Broken Point Cove Shaw,28.0
Broken Point East,5.0
Broken Point West,5.0
Burrows Lighthouse,4.0
Camano Head,25.0
Camano Island State Park,25.0
Camp Casey,25.0
Canoe Pass,3.0
Dalco Shallows,25.0
Dash Point State Park,28.0
Day Island Kelp,25.0
Day Island Wall,25.0
Day Island Wall - North,25.0
Day Island Wall - South,25.0
Deadmans Bay,7.0
Deception Pass,3.0
Derelict Conveyor,25.0
Devils Head,30.0
Dickman Mill,32.0
Driftwood Park,22.0
Dune Peninsula Breakwater,32.0
Eagle Point,4.0
Ebeys Landing,25.0
Edgewater Beach Park,32.0
Ediz Hook Log Pile,24.0
Ediz Hook Rock Pile,32.0
Ediz Hook RockPile,24.0
Edmonds Pipeline,32.0
Edmonds Underwater Park,30.0
Edmonds Underwater Park Kelp,24.0
Edmonds Underwater Park Pipeline,32.0
Edmonds Underwater Park Shell Creek,24.0
Elephant Wall,14.0
Everett Pipeline,32.0
Flagpole Point,30.0
Flat Top Island,3.0
Fort Worden,27.0
Foulweather Bluff,24.0
Fox Island East Wall,25.0
Fox Island West Wall,30.0
Freshwater Bay,8.0
Friday Harbor Reef,4.0
Fulton Creek,30.0
Goby Garden,9.0
"Green Point, Spieden Island",4.0
Hat Island,25.0
Hat Island Ledge,25.0
Hat Island Marina,32.0
Holmes Harbor,24.0
Intake Tower/Between Owens and Boathouse,25.0
"Jack Block, Seattle, Washington",32.0
Jack Hyde Park,30.0
Jefferson Head,25.0
Jones Island,9.0
Jorsted Creek,28.0
Kat's Corner,30.0
Ketron Island,25.0
Kellet's Bluff,3.0
Keystone Jetty,25.0
Keystone Jetty - Pilings,25.0
Keystone Jetty Preserve,25.0
Keystone Preserve,25.0
Kopachuck State Park,28.0
KVI Tower,28.0
Langley Marina,30.0
Langley Tire Reef,30.0
Larry's Lair,3.0
Les Davis Marine Park,32.0
Les Davis Marine Park Pier,32.0
Les Davis Marine Park Pipeline,32.0
Lime Kiln,4.0
Lincoln Park,25.0
Lobster Shop Wall,25.0
Lowell Point,25.0
Magnolia,24.0
Marina Beach,27.0
Maury Island Barges,24.0
McCracken Point,19.0
McCurdy Point,24.0
Metridium Wall,25.0
Misery Point,30.0
Mukilteo Edgewater Park,24.0
Mukilteo Fuel Pier,32.0
Mukilteo Lighthouse,25.0
Mukilteo T-Dock,32.0
Narrows Bridge (Tacoma Side),25.0
Narrows Bridge (Tacoma side),25.0
Norrander's,24.0
North Beach,24.0
North Wall Deception Pass,3.0
Northwest Island,9.0
Octopus Hole,25.0
Olalla Boat Launch,24.0
Old Tacoma Outboard Association,25.0
Old Town Dock,32.0
O'Neal Island,9.0
Orcas Island Eelgrass,30.0
Owen Beach,25.0
Partridge Point,25.0
Picnic Cove,19.0
Pile Point,3.0
Pirate Cove,4.0
Point Caution,4.0
Point Dalco,25.0
Point Defiance Boathouse,25.0
Point Defiance North Wall,25.0
Point Defiance Wall,25.0
Point Defiance West Kelp Beds,25.0
Point Defiance West Wall,25.0
Point George,4.0
Point Hudson,32.0
Point Ruston,32.0
Point Ruston Ferry,32.0
Point Vashon,24.0
Point Whitehorn,24.0
Point Whitney Shellfish Lab,28.0
Possession Point Ferry,32.0
Possession Point Fingers,24.0
Pulali Point,30.0
Redondo Beach,24.0
Reuben Tarte,4.0
Rosario Beach Urchin Rocks,25.0
Rosario Beach Urchin Rocks North,9.0
Rosario Head,3.0
Rosario Wall,3.0
Rosie's Ravine,3.0
Ruston - Katie Downs,32.0
Salt Creek,9.0
Saltar's Point,25.0
Saltwater State Park,24.0
Sares Head,3.0
Scenic Beach State Park,28.0
Seabeck Bay,28.0
Seattle Waterfront,32.0
Sekiu,32.0
Shirttail Reef,14.0
Skyline,4.0
Smallpox Bay,3.0
South Hat Island,25.0
Speiden Southwest,4.0
Squaxin Island,30.0
Steilacoom Marina,25.0
Strawberry Falls,4.0
Sucia Island - Lawson's Bluff,3.0
Sucia Island - Shallow Bay,5.0
Sund Rock,25.0
Sund Rock North,25.0
Sund Rock South,3.0
Sunnyside Beach Park,27.0
Sunrise Beach State Park,25.0
Tacoma Narrows,25.0
Tacoma Narrows - Point Evans,25.0
The Pinnacle,30.0
Three Tree Point,25.0
Three Tree Point North,25.0
Tire Reef N Saltwater State Park,24.0
Titlow Beach Park,25.0
Triton Cove,30.0
Urchin Rocks South,3.0
Whale Rocks,4.0
Widmer Reef,32.0
Wing Point,21.0
Wreck of the Ranger,32.0
Yellow House,30.0
Young Island West,3.0
Z's Reef,25.0
Cattle Point,1.0
Dallas Banks,25.0
Eagle Cove,4.0
Glen Acres,24.0
Green Point,25.0
Lawrence Point,14.0
Lawrence Point,3.0
Pulali Point West Wall,9.0
Reef Point,22.0
Salmon Beach,25.0
Watmaugh Bay,4.0
Arsenic Wall,32.0
Glen Ayr Ravine,30.0
Lowman Beach Park,24.0
Cliff Island,14.0
Maritime Pier,25.0
Deadman Island,3.0
7 Seas Dock,25.0
Boeing Creek Reef,28.0
Cherry Point,24.0
Clallam Bay West,10.0
Dalco Wall,24.0
Edmonds Underwater Park Fishing Pier,32.0
Elliot Bay Marina,32.0
Fox Island Bridge,30.0
Freeland Park,24.0
Grain Terminal,32.0
Hat Island Sponge Garden,30.0
Long Island Wall,4.0
Lower Elwha,24.0
North Wall Point Defiance,25.0
Richmond Beach,25.0
Rock 305,3.0
Sirens of Spring,32.0
Tacoma Old Town Pier,32.0
Teahwhit Head,13.0
Thea's Park - Foss Waterway,32.0
Tongue Point,9.0
Triton Head,30.0
Mike's Beach Resort,30.0
