SiteName,EXP_CLASS_E,EXP_CLASS_P,EXP_CLASS_SE,EXP_CLASS_SP,EXP_CLASS_VP
100 Foot Rock,False,False,False,True,False
7 Seas Dock,False,True,False,False,False
Admiralty Beach,False,False,False,True,False
"Agate Beach, Lopez Is",False,False,False,True,False
Alki - Cove 1,False,False,False,True,False
Alki - Cove 2,False,False,False,True,False
Alki - Cove 3,False,False,False,True,False
Alki - Pipeline,False,False,False,True,False
Alki Beach,False,False,False,True,False
Andy's Marine Park,False,True,False,False,False
Arsenic Wall,False,False,False,True,False
Bachelor Rock,False,False,True,False,False
Bayrich Bay,False,True,False,False,False
Bell Island East,False,False,False,True,False
Bell Island West,False,False,False,True,False
Beverly Beach,False,True,False,False,False
Blake Island South,False,True,False,False,False
Blakely Harbor Reef,False,False,False,True,False
"Blakely Harbor, North",False,False,False,True,False
Boeing Creek Reef,False,False,False,True,False
Broken Point Cove Shaw,False,True,False,False,False
Broken Point East,False,True,False,False,False
Broken Point West,False,True,False,False,False
Burrows Lighthouse,False,False,True,False,False
Camano Head,False,True,False,False,False
Camano Island State Park,False,True,False,False,False
Camp Casey,False,False,True,False,False
Canoe Pass,False,True,False,False,False
Cattle Point,False,False,True,False,False
Cherry Point,False,False,False,True,False
Clallam Bay West,False,False,True,False,False
Cliff Island,False,True,False,False,False
Dalco Shallows,False,False,False,True,False
Dalco Wall,False,False,False,True,False
Dallas Banks,False,False,True,False,False
Dash Point State Park,False,False,False,True,False
Day Island Kelp,False,False,False,True,False
Day Island Wall,False,False,False,True,False
Day Island Wall - North,False,False,False,True,False
Day Island Wall - South,False,False,False,True,False
Deadman Island,False,False,False,True,False
Deadmans Bay,False,False,True,False,False
Deception Pass,False,True,False,False,False
Derelict Conveyor,False,False,False,True,False
Devils Head,False,True,False,False,False
Dickman Mill,False,False,False,True,False
Driftwood Park,False,False,False,True,False
Dune Peninsula Breakwater,False,False,False,True,False
Eagle Cove,False,False,True,False,False
Eagle Point,False,False,True,False,False
Ebeys Landing,False,False,True,False,False
Edgewater Beach Park,False,True,False,False,False
Ediz Hook Log Pile,False,True,False,False,False
Ediz Hook Rock Pile,False,True,False,False,False
Ediz Hook RockPile,False,True,False,False,False
Edmonds Pipeline,False,False,False,True,False
Edmonds Underwater Park,False,False,False,True,False
Edmonds Underwater Park Fishing Pier,False,False,False,True,False
Edmonds Underwater Park Kelp,False,False,False,True,False
Edmonds Underwater Park Pipeline,False,False,False,True,False
Edmonds Underwater Park Shell Creek,False,False,False,True,False
Elephant Wall,False,True,False,False,False
Elliot Bay Marina,False,False,False,True,False
Everett Pipeline,False,True,False,False,False
Flagpole Point,False,True,False,False,False
Flat Top Island,False,False,False,True,False
Fort Worden,False,False,False,True,False
Foulweather Bluff,False,False,False,True,False
Fox Island Bridge,False,True,False,False,False
Fox Island East Wall,False,True,False,False,False
Fox Island West Wall,False,True,False,False,False
Freeland Park,False,True,False,False,False
Freshwater Bay,False,False,True,False,False
Friday Harbor Reef,False,True,False,False,False
Fulton Creek,False,False,False,True,False
Glen Acres,False,False,False,True,False
Glen Ayr Ravine,False,True,False,False,False
Goby Garden,False,True,False,False,False
Grain Terminal,False,False,False,True,False
Green Point,False,False,True,False,False
"Green Point, Spieden Island",False,False,False,True,False
Hat Island,False,True,False,False,False
Hat Island Ledge,False,True,False,False,False
Hat Island Marina,False,True,False,False,False
Hat Island Sponge Garden,False,True,False,False,False
Holmes Harbor,False,True,False,False,False
Intake Tower/Between Owens and Boathouse,False,False,False,True,False
"Jack Block, Seattle, Washington",False,False,False,True,False
Jack Hyde Park,False,False,False,True,False
Jefferson Head,False,False,False,True,False
Jones Island,False,True,False,False,False
Jorsted Creek,False,True,False,False,False
KVI Tower,False,True,False,False,False
Kat's Corner,False,True,False,False,False
Kellet's Bluff,False,False,False,True,False
Ketron Island,False,False,False,True,False
Keystone Jetty,False,False,False,True,False
Keystone Jetty - Pilings,False,False,False,True,False
Keystone Jetty Preserve,False,False,False,True,False
Keystone Preserve,False,False,False,True,False
Kopachuck State Park,False,False,False,True,False
Langley Marina,False,True,False,False,False
Langley Tire Reef,False,True,False,False,False
Larry's Lair,False,True,False,False,False
Lawrence Point,False,False,False,True,False
Les Davis Marine Park,False,False,False,True,False
Les Davis Marine Park Pier,False,False,False,True,False
Les Davis Marine Park Pipeline,False,False,False,True,False
Lime Kiln,False,False,False,True,False
Lincoln Park,False,False,False,True,False
Lobster Shop Wall,False,False,False,True,False
Long Island Wall,False,False,True,False,False
Lowell Point,False,True,False,False,False
Lower Elwha,False,False,True,False,False
Lowman Beach Park,False,False,False,True,False
Magnolia,False,False,False,True,False
Marina Beach,False,False,False,True,False
Maritime Pier,False,True,False,False,False
Maury Island Barges,False,False,False,True,False
McCracken Point,False,False,False,True,False
McCurdy Point,False,False,True,False,False
Metridium Wall,False,True,False,False,False
Mike's Beach Resort,False,True,False,False,False
Misery Point,False,False,False,True,False
Mukilteo Edgewater Park,False,True,False,False,False
Mukilteo Fuel Pier,False,True,False,False,False
Mukilteo Lighthouse,False,False,False,True,False
Mukilteo T-Dock,False,True,False,False,False
Narrows Bridge (Tacoma Side),False,True,False,False,False
Narrows Bridge (Tacoma side),False,True,False,False,False
Norrander's,False,True,False,False,False
North Beach,False,False,True,False,False
North Wall Deception Pass,False,True,False,False,False
North Wall Point Defiance,False,False,False,True,False
Northwest Island,False,False,True,False,False
O'Neal Island,False,False,False,True,False
Octopus Hole,False,True,False,False,False
Olalla Boat Launch,False,False,False,True,False
Old Tacoma Outboard Association,False,True,False,False,False
Old Town Dock,False,False,False,True,False
Orcas Island Eelgrass,False,True,False,False,False
Owen Beach,False,False,False,True,False
Partridge Point,False,False,True,False,False
Picnic Cove,False,True,False,False,False
Pile Point,False,False,True,False,False
Pirate Cove,False,True,False,False,False
Point Caution,False,False,False,True,False
Point Dalco,False,False,False,True,False
Point Defiance Boathouse,False,False,False,True,False
Point Defiance North Wall,False,False,False,True,False
Point Defiance Wall,False,False,False,True,False
Point Defiance West Kelp Beds,False,False,False,True,False
Point Defiance West Wall,False,False,False,True,False
Point George,False,True,False,False,False
Point Hudson,False,False,False,False,True
Point Ruston,False,False,False,True,False
Point Ruston Ferry,False,False,False,True,False
Point Vashon,False,False,False,True,False
Point Whitehorn,False,False,False,True,False
Point Whitney Shellfish Lab,False,True,False,False,False
Possession Point Ferry,False,False,False,True,False
Possession Point Fingers,False,True,False,False,False
Pulali Point,False,True,False,False,False
Pulali Point West Wall,False,True,False,False,False
Redondo Beach,False,False,False,True,False
Reef Point,False,False,False,True,False
Reuben Tarte,False,False,False,True,False
Richmond Beach,False,False,False,True,False
Rock 305,True,False,False,False,False
Rosario Beach Urchin Rocks,False,False,False,True,False
Rosario Beach Urchin Rocks North,False,False,True,False,False
Rosario Head,False,False,True,False,False
Rosario Wall,False,True,False,False,False
Rosie's Ravine,False,True,False,False,False
Ruston - Katie Downs,False,False,False,True,False
Salmon Beach,False,False,False,True,False
Salt Creek,False,False,True,False,False
Saltar's Point,False,False,False,True,False
Saltwater State Park,False,False,False,True,False
Sares Head,False,False,True,False,False
Scenic Beach State Park,False,False,False,True,False
Seabeck Bay,False,True,False,False,False
Seattle Waterfront,False,False,False,True,False
Sekiu,False,False,False,True,False
Shirttail Reef,False,True,False,False,False
Sirens of Spring,False,False,False,True,False
Skyline,False,False,True,False,False
Smallpox Bay,False,False,True,False,False
South Hat Island,False,True,False,False,False
Speiden Southwest,False,False,False,True,False
Squaxin Island,False,False,False,True,False
Steilacoom Marina,False,False,False,True,False
Strawberry Falls,False,False,True,False,False
Sucia Island - Lawson's Bluff,False,False,False,True,False
Sucia Island - Shallow Bay,False,True,False,False,False
Sund Rock,False,True,False,False,False
Sund Rock North,False,True,False,False,False
Sund Rock South,False,False,False,True,False
Sunnyside Beach Park,False,False,False,True,False
Sunrise Beach State Park,False,False,False,True,False
Tacoma Narrows,False,True,False,False,False
Tacoma Narrows - Point Evans,False,True,False,False,False
Tacoma Old Town Pier,False,False,False,True,False
Teahwhit Head,True,False,False,False,False
The Pinnacle,False,True,False,False,False
Thea's Park - Foss Waterway,False,False,False,False,True
Three Tree Point,False,False,False,True,False
Three Tree Point North,False,False,False,True,False
Tire Reef N Saltwater State Park,False,False,False,True,False
Titlow Beach Park,False,True,False,False,False
Tongue Point,False,False,True,False,False
Triton Cove,False,False,False,True,False
Triton Head,False,False,False,True,False
Urchin Rocks South,False,False,True,False,False
Watmaugh Bay,False,False,False,True,False
Whale Rocks,False,False,True,False,False
Widmer Reef,False,False,False,True,False
Wing Point,False,False,False,True,False
Wreck of the Ranger,False,True,False,False,False
Yellow House,False,True,False,False,False
Young Island West,False,False,False,True,False
Z's Reef,False,True,False,False,False
