SiteName,FUC_UNIT_Richness,FUC_UNIT_Shannon,FUC_UNIT_Simpson,FUC_UNIT_Evenness
100 Foot Rock,1,0.0,0.0,1.0
Admiralty Beach,1,0.0,0.0,1.0
"Agate Beach, Lopez Is",1,0.0,0.0,1.0
Alki - Cove 1,1,0.0,0.0,1.0
Alki - Cove 2,1,0.0,0.0,1.0
Alki - Cove 3,1,0.0,0.0,1.0
Alki - Pipeline,1,0.0,0.0,1.0
Alki Beach,1,0.0,0.0,1.0
Andy's Marine Park,1,0.0,0.0,1.0
Bachelor Rock,1,0.0,0.0,1.0
Bayrich Bay,1,0.0,0.0,1.0
Bell Island East,1,0.0,0.0,1.0
Bell Island West,1,0.0,0.0,1.0
Beverly Beach,1,0.0,0.0,1.0
Blake Island South,1,0.0,0.0,1.0
Blakely Harbor Reef,1,0.0,0.0,1.0
"Blakely Harbor, North",1,0.0,0.0,1.0
Broken Point Cove Shaw,1,0.0,0.0,1.0
Broken Point East,1,0.0,0.0,1.0
Broken Point West,1,0.0,0.0,1.0
Burrows Lighthouse,1,0.0,0.0,1.0
Camano Head,1,0.0,0.0,1.0
Camano Island State Park,1,0.0,0.0,1.0
Camp Casey,1,0.0,0.0,1.0
Canoe Pass,1,0.0,0.0,1.0
Dalco Shallows,1,0.0,0.0,1.0
Dash Point State Park,1,0.0,0.0,1.0
Day Island Kelp,1,0.0,0.0,1.0
Day Island Wall,1,0.0,0.0,1.0
Day Island Wall - North,1,0.0,0.0,1.0
Day Island Wall - South,1,0.0,0.0,1.0
Deadmans Bay,1,0.0,0.0,1.0
Deception Pass,1,0.0,0.0,1.0
Derelict Conveyor,1,0.0,0.0,1.0
Devils Head,1,0.0,0.0,1.0
Dickman Mill,1,0.0,0.0,1.0
Driftwood Park,1,0.0,0.0,1.0
Dune Peninsula Breakwater,1,0.0,0.0,1.0
Eagle Point,1,0.0,0.0,1.0
Ebeys Landing,1,0.0,0.0,1.0
Edgewater Beach Park,1,0.0,0.0,1.0
Ediz Hook Log Pile,1,0.0,0.0,1.0
Ediz Hook Rock Pile,1,0.0,0.0,1.0
Ediz Hook RockPile,1,0.0,0.0,1.0
Edmonds Pipeline,1,0.0,0.0,1.0
Edmonds Underwater Park,1,0.0,0.0,1.0
Edmonds Underwater Park Kelp,1,0.0,0.0,1.0
Edmonds Underwater Park Pipeline,1,0.0,0.0,1.0
Edmonds Underwater Park Shell Creek,1,0.0,0.0,1.0
Elephant Wall,1,0.0,0.0,1.0
Everett Pipeline,1,0.0,0.0,1.0
Flagpole Point,1,0.0,0.0,1.0
Flat Top Island,1,0.0,0.0,1.0
Fort Worden,1,0.0,0.0,1.0
Foulweather Bluff,1,0.0,0.0,1.0
Fox Island East Wall,1,0.0,0.0,1.0
Fox Island West Wall,1,0.0,0.0,1.0
Freshwater Bay,1,0.0,0.0,1.0
Friday Harbor Reef,1,0.0,0.0,1.0
Fulton Creek,1,0.0,0.0,1.0
Goby Garden,1,0.0,0.0,1.0
"Green Point, Spieden Island",1,0.0,0.0,1.0
Hat Island,1,0.0,0.0,1.0
Hat Island Ledge,1,0.0,0.0,1.0
Hat Island Marina,1,0.0,0.0,1.0
Holmes Harbor,1,0.0,0.0,1.0
Intake Tower/Between Owens and Boathouse,1,0.0,0.0,1.0
"Jack Block, Seattle, Washington",1,0.0,0.0,1.0
Jack Hyde Park,1,0.0,0.0,1.0
Jefferson Head,1,0.0,0.0,1.0
Jones Island,1,0.0,0.0,1.0
Jorsted Creek,1,0.0,0.0,1.0
Kat's Corner,1,0.0,0.0,1.0
Ketron Island,1,0.0,0.0,1.0
Kellet's Bluff,1,0.0,0.0,1.0
Keystone Jetty,1,0.0,0.0,1.0
Keystone Jetty - Pilings,1,0.0,0.0,1.0
Keystone Jetty Preserve,1,0.0,0.0,1.0
Keystone Preserve,1,0.0,0.0,1.0
Kopachuck State Park,1,0.0,0.0,1.0
KVI Tower,1,0.0,0.0,1.0
Langley Marina,1,0.0,0.0,1.0
Langley Tire Reef,1,0.0,0.0,1.0
Larry's Lair,1,0.0,0.0,1.0
Les Davis Marine Park,1,0.0,0.0,1.0
Les Davis Marine Park Pier,1,0.0,0.0,1.0
Les Davis Marine Park Pipeline,1,0.0,0.0,1.0
Lime Kiln,1,0.0,0.0,1.0
Lincoln Park,1,0.0,0.0,1.0
Lobster Shop Wall,1,0.0,0.0,1.0
Lowell Point,1,0.0,0.0,1.0
Magnolia,1,0.0,0.0,1.0
Marina Beach,1,0.0,0.0,1.0
Maury Island Barges,1,0.0,0.0,1.0
McCracken Point,1,0.0,0.0,1.0
McCurdy Point,1,0.0,0.0,1.0
Metridium Wall,1,0.0,0.0,1.0
Misery Point,1,0.0,0.0,1.0
Mukilteo Edgewater Park,1,0.0,0.0,1.0
Mukilteo Fuel Pier,1,0.0,0.0,1.0
Mukilteo Lighthouse,1,0.0,0.0,1.0
Mukilteo T-Dock,1,0.0,0.0,1.0
Narrows Bridge (Tacoma Side),1,0.0,0.0,1.0
Narrows Bridge (Tacoma side),1,0.0,0.0,1.0
Norrander's,1,0.0,0.0,1.0
North Beach,1,0.0,0.0,1.0
North Wall Deception Pass,1,0.0,0.0,1.0
Northwest Island,1,0.0,0.0,1.0
Octopus Hole,1,0.0,0.0,1.0
Olalla Boat Launch,1,0.0,0.0,1.0
Old Tacoma Outboard Association,1,0.0,0.0,1.0
Old Town Dock,1,0.0,0.0,1.0
O'Neal Island,1,0.0,0.0,1.0
Orcas Island Eelgrass,1,0.0,0.0,1.0
Owen Beach,1,0.0,0.0,1.0
Partridge Point,1,0.0,0.0,1.0
Picnic Cove,1,0.0,0.0,1.0
Pile Point,1,0.0,0.0,1.0
Pirate Cove,1,0.0,0.0,1.0
Point Caution,1,0.0,0.0,1.0
Point Dalco,1,0.0,0.0,1.0
Point Defiance Boathouse,1,0.0,0.0,1.0
Point Defiance North Wall,1,0.0,0.0,1.0
Point Defiance Wall,1,0.0,0.0,1.0
Point Defiance West Kelp Beds,1,0.0,0.0,1.0
Point Defiance West Wall,1,0.0,0.0,1.0
Point George,1,0.0,0.0,1.0
Point Hudson,1,0.0,0.0,1.0
Point Ruston,1,0.0,0.0,1.0
Point Ruston Ferry,1,0.0,0.0,1.0
Point Vashon,1,0.0,0.0,1.0
Point Whitehorn,1,0.0,0.0,1.0
Point Whitney Shellfish Lab,1,0.0,0.0,1.0
Possession Point Ferry,1,0.0,0.0,1.0
Possession Point Fingers,1,0.0,0.0,1.0
Pulali Point,1,0.0,0.0,1.0
Redondo Beach,1,0.0,0.0,1.0
Reuben Tarte,1,0.0,0.0,1.0
Rosario Beach Urchin Rocks,1,0.0,0.0,1.0
Rosario Beach Urchin Rocks North,1,0.0,0.0,1.0
Rosario Head,1,0.0,0.0,1.0
Rosario Wall,1,0.0,0.0,1.0
Rosie's Ravine,1,0.0,0.0,1.0
Ruston - Katie Downs,1,0.0,0.0,1.0
Salt Creek,1,0.0,0.0,1.0
Saltar's Point,1,0.0,0.0,1.0
Saltwater State Park,1,0.0,0.0,1.0
Sares Head,1,0.0,0.0,1.0
Scenic Beach State Park,1,0.0,0.0,1.0
Seabeck Bay,1,0.0,0.0,1.0
Seattle Waterfront,1,0.0,0.0,1.0
Sekiu,1,0.0,0.0,1.0
Shirttail Reef,1,0.0,0.0,1.0
Skyline,1,0.0,0.0,1.0
Smallpox Bay,1,0.0,0.0,1.0
South Hat Island,1,0.0,0.0,1.0
Speiden Southwest,1,0.0,0.0,1.0
Squaxin Island,1,0.0,0.0,1.0
Steilacoom Marina,1,0.0,0.0,1.0
Strawberry Falls,1,0.0,0.0,1.0
Sucia Island - Lawson's Bluff,1,0.0,0.0,1.0
Sucia Island - Shallow Bay,1,0.0,0.0,1.0
Sund Rock,1,0.0,0.0,1.0
Sund Rock North,1,0.0,0.0,1.0
Sund Rock South,1,0.0,0.0,1.0
Sunnyside Beach Park,1,0.0,0.0,1.0
Sunrise Beach State Park,1,0.0,0.0,1.0
Tacoma Narrows,1,0.0,0.0,1.0
Tacoma Narrows - Point Evans,1,0.0,0.0,1.0
