SiteName,FUC_UNIT_ ,FUC_UNIT_C,FUC_UNIT_P
100 Foot Rock,False,False,True
7 Seas Dock,False,False,True
Admiralty Beach,True,False,False
"Agate Beach, Lopez Is",True,False,False
Alki - Cove 1,False,False,True
Alki - Cove 2,False,False,True
Alki - Cove 3,False,False,True
Alki - Pipeline,True,False,False
Alki Beach,True,False,False
Andy's Marine Park,True,False,False
Arsenic Wall,False,False,True
Bachelor Rock,False,False,True
Bayrich Bay,False,False,True
Bell Island East,False,False,True
Bell Island West,False,False,True
Beverly Beach,False,False,True
Blake Island South,False,False,True
Blakely Harbor Reef,False,False,True
"Blakely Harbor, North",False,False,True
Boeing Creek Reef,True,False,False
Broken Point Cove Shaw,True,False,False
Broken Point East,False,True,False
Broken Point West,False,True,False
Burrows Lighthouse,False,False,True
Camano Head,True,False,False
Camano Island State Park,True,False,False
Camp Casey,True,False,False
Canoe Pass,True,False,False
Cattle Point,False,False,True
Cherry Point,True,False,False
Clallam Bay West,True,False,False
Cliff Island,False,True,False
Dalco Shallows,True,False,False
Dalco Wall,True,False,False
Dallas Banks,True,False,False
Dash Point State Park,True,False,False
Day Island Kelp,False,False,True
Day Island Wall,False,False,True
Day Island Wall - North,False,False,True
Day Island Wall - South,False,False,True
Deadman Island,False,False,True
Deadmans Bay,False,False,True
Deception Pass,True,False,False
Derelict Conveyor,True,False,False
Devils Head,True,False,False
Dickman Mill,False,False,True
Driftwood Park,True,False,False
Dune Peninsula Breakwater,False,False,True
Eagle Cove,False,False,True
Eagle Point,False,False,True
Ebeys Landing,True,False,False
Edgewater Beach Park,False,False,True
Ediz Hook Log Pile,True,False,False
Ediz Hook Rock Pile,False,False,True
Ediz Hook RockPile,True,False,False
Edmonds Pipeline,False,True,False
Edmonds Underwater Park,True,False,False
Edmonds Underwater Park Fishing Pier,False,True,False
Edmonds Underwater Park Kelp,False,False,True
Edmonds Underwater Park Pipeline,False,True,False
Edmonds Underwater Park Shell Creek,False,False,True
Elephant Wall,False,False,True
Elliot Bay Marina,False,False,True
Everett Pipeline,True,False,False
Flagpole Point,False,False,True
Flat Top Island,False,False,True
Fort Worden,True,False,False
Foulweather Bluff,True,False,False
Fox Island Bridge,True,False,False
Fox Island East Wall,False,False,True
Fox Island West Wall,True,False,False
Freeland Park,True,False,False
Freshwater Bay,False,False,True
Friday Harbor Reef,False,True,False
Fulton Creek,False,False,True
Glen Acres,True,False,False
Glen Ayr Ravine,False,False,True
Goby Garden,False,True,False
Grain Terminal,False,False,True
Green Point,True,False,False
"Green Point, Spieden Island",False,True,False
Hat Island,True,False,False
Hat Island Ledge,True,False,False
Hat Island Marina,True,False,False
Hat Island Sponge Garden,True,False,False
Holmes Harbor,False,False,True
Intake Tower/Between Owens and Boathouse,True,False,False
"Jack Block, Seattle, Washington",False,False,True
Jack Hyde Park,True,False,False
Jefferson Head,True,False,False
Jones Island,False,True,False
Jorsted Creek,False,False,True
KVI Tower,True,False,False
Kat's Corner,False,False,True
Kellet's Bluff,False,False,True
Ketron Island,True,False,False
Keystone Jetty,True,False,False
Keystone Jetty - Pilings,True,False,False
Keystone Jetty Preserve,True,False,False
Keystone Preserve,True,False,False
Kopachuck State Park,True,False,False
Langley Marina,True,False,False
Langley Tire Reef,True,False,False
Larry's Lair,False,True,False
Lawrence Point,False,False,True
Les Davis Marine Park,False,False,True
Les Davis Marine Park Pier,False,False,True
Les Davis Marine Park Pipeline,False,False,True
Lime Kiln,False,False,True
Lincoln Park,True,False,False
Lobster Shop Wall,False,False,True
Long Island Wall,False,False,True
Lowell Point,True,False,False
Lower Elwha,True,False,False
Lowman Beach Park,True,False,False
Magnolia,False,False,True
Marina Beach,True,False,False
Maritime Pier,False,False,True
Maury Island Barges,True,False,False
McCracken Point,False,True,False
McCurdy Point,True,False,False
Metridium Wall,True,False,False
Mike's Beach Resort,False,False,True
Misery Point,False,False,True
Mukilteo Edgewater Park,True,False,False
Mukilteo Fuel Pier,False,False,True
Mukilteo Lighthouse,True,False,False
Mukilteo T-Dock,False,False,True
Narrows Bridge (Tacoma Side),False,False,True
Narrows Bridge (Tacoma side),False,False,True
Norrander's,True,False,False
North Beach,True,False,False
North Wall Deception Pass,True,False,False
North Wall Point Defiance,True,False,False
Northwest Island,False,False,True
O'Neal Island,False,True,False
Octopus Hole,False,False,True
Olalla Boat Launch,False,False,True
Old Tacoma Outboard Association,True,False,False
Old Town Dock,False,False,True
Orcas Island Eelgrass,True,False,False
Owen Beach,True,False,False
Partridge Point,False,False,True
Picnic Cove,False,True,False
Pile Point,False,False,True
Pirate Cove,False,True,False
Point Caution,False,True,False
Point Dalco,True,False,False
Point Defiance Boathouse,True,False,False
Point Defiance North Wall,True,False,False
Point Defiance Wall,True,False,False
Point Defiance West Kelp Beds,False,False,True
Point Defiance West Wall,True,False,False
Point George,False,False,True
Point Hudson,False,False,True
Point Ruston,False,False,True
Point Ruston Ferry,False,False,True
Point Vashon,False,False,True
Point Whitehorn,False,False,True
Point Whitney Shellfish Lab,False,False,True
Possession Point Ferry,False,False,True
Possession Point Fingers,True,False,False
Pulali Point,True,False,False
Pulali Point West Wall,False,False,True
Redondo Beach,True,False,False
Reef Point,True,False,False
Reuben Tarte,False,False,True
Richmond Beach,True,False,False
Rock 305,True,False,False
Rosario Beach Urchin Rocks,True,False,False
Rosario Beach Urchin Rocks North,False,False,True
Rosario Head,False,True,False
Rosario Wall,False,False,True
Rosie's Ravine,False,False,True
Ruston - Katie Downs,False,False,True
Salmon Beach,True,False,False
Salt Creek,False,False,True
Saltar's Point,True,False,False
Saltwater State Park,True,False,False
Sares Head,True,False,False
Scenic Beach State Park,False,False,True
Seabeck Bay,True,False,False
Seattle Waterfront,True,False,False
Sekiu,True,False,False
Shirttail Reef,False,True,False
Sirens of Spring,False,True,False
Skyline,False,False,True
Smallpox Bay,False,False,True
South Hat Island,True,False,False
Speiden Southwest,False,True,False
Squaxin Island,True,False,False
Steilacoom Marina,True,False,False
Strawberry Falls,False,False,True
Sucia Island - Lawson's Bluff,False,False,True
Sucia Island - Shallow Bay,False,True,False
Sund Rock,False,False,True
Sund Rock North,False,False,True
Sund Rock South,False,True,False
Sunnyside Beach Park,True,False,False
Sunrise Beach State Park,True,False,False
Tacoma Narrows,False,False,True
Tacoma Narrows - Point Evans,True,False,False
Tacoma Old Town Pier,False,False,True
Teahwhit Head,False,False,True
The Pinnacle,False,False,True
Thea's Park - Foss Waterway,True,False,False
Three Tree Point,True,False,False
Three Tree Point North,True,False,False
Tire Reef N Saltwater State Park,True,False,False
Titlow Beach Park,False,False,True
Tongue Point,False,False,True
Triton Cove,False,False,True
Triton Head,False,False,True
Urchin Rocks South,False,True,False
Watmaugh Bay,False,True,False
Whale Rocks,False,True,False
Widmer Reef,False,False,True
Wing Point,True,False,False
Wreck of the Ranger,True,False,False
Yellow House,False,False,True
Young Island West,False,True,False
Z's Reef,True,False,False
