SiteName,FUC_UNIT
100 Foot Rock,P
Admiralty Beach, 
"Agate Beach, Lopez Is", 
Alki - Cove 1,P
Alki - Cove 2,P
Alki - Cove 3,P
Alki - Pipeline, 
Alki Beach, 
Andy's Marine Park, 
Bachelor Rock,P
Bayrich Bay,P
Bell Island East,P
Bell Island West,P
Beverly Beach,P
Blake Island South,P
Blakely Harbor Reef,P
"Blakely Harbor, North",P
Broken Point Cove Shaw, 
Broken Point East,C
Broken Point West,C
Burrows Lighthouse,P
Camano Head, 
Camano Island State Park, 
Camp Casey, 
Canoe Pass, 
Dalco Shallows, 
Dash Point State Park, 
Day Island Kelp,P
Day Island Wall,P
Day Island Wall - North,P
Day Island Wall - South,P
Deadmans Bay,P
Deception Pass, 
Derelict Conveyor, 
Devils Head, 
Dickman Mill,P
Driftwood Park, 
Dune Peninsula Breakwater,P
Eagle Point,P
Ebeys Landing, 
Edgewater Beach Park,P
Ediz Hook Log Pile, 
Ediz Hook Rock Pile,P
Ediz Hook RockPile, 
Edmonds Pipeline,C
Edmonds Underwater Park, 
Edmonds Underwater Park Kelp,P
Edmonds Underwater Park Pipeline,C
Edmonds Underwater Park Shell Creek,P
Elephant Wall,P
Everett Pipeline, 
Flagpole Point,P
Flat Top Island,P
Fort Worden, 
Foulweather Bluff, 
Fox Island East Wall,P
Fox Island West Wall, 
Freshwater Bay,P
Friday Harbor Reef,C
Fulton Creek,P
Goby Garden,C
"Green Point, Spieden Island",C
Hat Island, 
Hat Island Ledge, 
Hat Island Marina, 
Holmes Harbor,P
Intake Tower/Between Owens and Boathouse, 
"Jack Block, Seattle, Washington",P
Jack Hyde Park, 
Jefferson Head, 
Jones Island,C
Jorsted Creek,P
Kat's Corner,P
Ketron Island, 
Kellet's Bluff,P
Keystone Jetty, 
Keystone Jetty - Pilings, 
Keystone Jetty Preserve, 
Keystone Preserve, 
Kopachuck State Park, 
KVI Tower, 
Langley Marina, 
Langley Tire Reef, 
Larry's Lair,C
Les Davis Marine Park,P
Les Davis Marine Park Pier,P
Les Davis Marine Park Pipeline,P
Lime Kiln,P
Lincoln Park, 
Lobster Shop Wall,P
Lowell Point, 
Magnolia,P
Marina Beach, 
Maury Island Barges, 
McCracken Point,C
McCurdy Point, 
Metridium Wall, 
Misery Point,P
Mukilteo Edgewater Park, 
Mukilteo Fuel Pier,P
Mukilteo Lighthouse, 
Mukilteo T-Dock,P
Narrows Bridge (Tacoma Side),P
Narrows Bridge (Tacoma side),P
Norrander's, 
North Beach, 
North Wall Deception Pass, 
Northwest Island,P
Octopus Hole,P
Olalla Boat Launch,P
Old Tacoma Outboard Association, 
Old Town Dock,P
O'Neal Island,C
Orcas Island Eelgrass, 
Owen Beach, 
Partridge Point,P
Picnic Cove,C
Pile Point,P
Pirate Cove,C
Point Caution,C
Point Dalco, 
Point Defiance Boathouse, 
Point Defiance North Wall, 
Point Defiance Wall, 
Point Defiance West Kelp Beds,P
Point Defiance West Wall, 
Point George,P
Point Hudson,P
Point Ruston,P
Point Ruston Ferry,P
Point Vashon,P
Point Whitehorn,P
Point Whitney Shellfish Lab,P
Possession Point Ferry,P
Possession Point Fingers, 
Pulali Point, 
Redondo Beach, 
Reuben Tarte,P
Rosario Beach Urchin Rocks, 
Rosario Beach Urchin Rocks North,P
Rosario Head,C
Rosario Wall,P
Rosie's Ravine,P
Ruston - Katie Downs,P
Salt Creek,P
Saltar's Point, 
Saltwater State Park, 
Sares Head, 
Scenic Beach State Park,P
Seabeck Bay, 
Seattle Waterfront, 
Sekiu, 
Shirttail Reef,C
Skyline,P
Smallpox Bay,P
South Hat Island, 
Speiden Southwest,C
Squaxin Island, 
Steilacoom Marina, 
Strawberry Falls,P
Sucia Island - Lawson's Bluff,P
Sucia Island - Shallow Bay,C
Sund Rock,P
Sund Rock North,P
Sund Rock South,C
Sunnyside Beach Park, 
Sunrise Beach State Park, 
Tacoma Narrows,P
Tacoma Narrows - Point Evans, 
The Pinnacle,P
Three Tree Point, 
Three Tree Point North, 
Tire Reef N Saltwater State Park, 
Titlow Beach Park,P
Triton Cove,P
Urchin Rocks South,C
Whale Rocks,C
Widmer Reef,P
Wing Point, 
Wreck of the Ranger, 
Yellow House,P
Young Island West,C
Z's Reef, 
Cattle Point,P
Dallas Banks, 
Eagle Cove,P
Glen Acres, 
Green Point, 
Lawrence Point,P
Pulali Point West Wall,P
Reef Point, 
Salmon Beach, 
Watmaugh Bay,C
Arsenic Wall,P
Glen Ayr Ravine,P
Lowman Beach Park, 
Cliff Island,C
Maritime Pier,P
Deadman Island,P
7 Seas Dock,P
Boeing Creek Reef, 
Cherry Point, 
Clallam Bay West, 
Dalco Wall, 
Edmonds Underwater Park Fishing Pier,C
Elliot Bay Marina,P
Fox Island Bridge, 
Freeland Park, 
Grain Terminal,P
Hat Island Sponge Garden, 
Long Island Wall,P
Lower Elwha, 
North Wall Point Defiance, 
Richmond Beach, 
Rock 305, 
Sirens of Spring,C
Tacoma Old Town Pier,P
Teahwhit Head,P
Thea's Park - Foss Waterway, 
Tongue Point,P
Triton Head,P
Mike's Beach Resort,P
