SiteName,GRA_UNIT
100 Foot Rock, 
Admiralty Beach,C
"Agate Beach, Lopez Is", 
Alki - Cove 1, 
Alki - Cove 2, 
Alki - Cove 3, 
Alki - Pipeline, 
Alki Beach, 
Andy's Marine Park, 
Bachelor Rock, 
Bayrich Bay,P
Bell Island East, 
Bell Island West, 
Beverly Beach, 
Blake Island South,P
Blakely Harbor Reef, 
"Blakely Harbor, North", 
Broken Point Cove Shaw, 
Broken Point East, 
Broken Point West, 
Burrows Lighthouse, 
Camano Head, 
Camano Island State Park, 
Camp Casey, 
Canoe Pass, 
Dalco Shallows, 
Dash Point State Park, 
Day Island Kelp, 
Day Island Wall, 
Day Island Wall - North, 
Day Island Wall - South, 
Deadmans Bay, 
Deception Pass, 
Derelict Conveyor,P
Devils Head, 
Dickman Mill, 
Driftwood Park,P
Dune Peninsula Breakwater, 
Eagle Point, 
Ebeys Landing, 
Edgewater Beach Park, 
Ediz Hook Log Pile, 
Ediz Hook Rock Pile, 
Ediz Hook RockPile, 
Edmonds Pipeline, 
Edmonds Underwater Park, 
Edmonds Underwater Park Kelp, 
Edmonds Underwater Park Pipeline, 
Edmonds Underwater Park Shell Creek, 
Elephant Wall, 
Everett Pipeline, 
Flagpole Point, 
Flat Top Island, 
Fort Worden,P
Foulweather Bluff, 
Fox Island East Wall, 
Fox Island West Wall, 
Freshwater Bay, 
Friday Harbor Reef, 
Fulton Creek, 
Goby Garden, 
"Green Point, Spieden Island", 
Hat Island, 
Hat Island Ledge, 
Hat Island Marina, 
Holmes Harbor, 
Intake Tower/Between Owens and Boathouse, 
"Jack Block, Seattle, Washington", 
Jack Hyde Park, 
Jefferson Head, 
Jones Island, 
Jorsted Creek, 
Kat's Corner, 
Ketron Island, 
Kellet's Bluff, 
Keystone Jetty,P
Keystone Jetty, 
Keystone Jetty - Pilings,P
Keystone Jetty Preserve,P
Keystone Preserve, 
Kopachuck State Park, 
KVI Tower, 
Langley Marina, 
Langley Tire Reef, 
Larry's Lair, 
Les Davis Marine Park, 
Les Davis Marine Park Pier, 
Les Davis Marine Park Pipeline, 
Lime Kiln, 
Lincoln Park, 
Lobster Shop Wall, 
Lowell Point, 
Magnolia, 
Marina Beach, 
Maury Island Barges, 
McCracken Point, 
McCurdy Point, 
Metridium Wall, 
Misery Point, 
Mukilteo Edgewater Park, 
Mukilteo Fuel Pier, 
Mukilteo Lighthouse, 
Mukilteo T-Dock, 
Narrows Bridge (Tacoma Side), 
Narrows Bridge (Tacoma side), 
Norrander's, 
North Beach, 
North Wall Deception Pass, 
Northwest Island, 
Octopus Hole, 
Olalla Boat Launch, 
Old Tacoma Outboard Association, 
Old Town Dock, 
O'Neal Island, 
Orcas Island Eelgrass, 
Owen Beach, 
Partridge Point,P
Picnic Cove, 
Pile Point, 
Pirate Cove, 
Point Caution, 
Point Dalco, 
Point Defiance Boathouse, 
Point Defiance North Wall, 
Point Defiance Wall, 
Point Defiance West Kelp Beds, 
Point Defiance West Wall, 
Point George, 
Point Hudson, 
Point Ruston, 
Point Ruston Ferry, 
Point Vashon, 
Point Whitehorn, 
Point Whitney Shellfish Lab, 
Possession Point Ferry, 
Possession Point Fingers, 
Pulali Point, 
Redondo Beach, 
Reuben Tarte, 
Rosario Beach Urchin Rocks,P
Rosario Beach Urchin Rocks North, 
Rosario Head, 
Rosario Wall, 
Rosie's Ravine, 
Ruston - Katie Downs, 
Salt Creek, 
Saltar's Point,P
Saltwater State Park, 
Sares Head, 
Scenic Beach State Park, 
Seabeck Bay, 
Seattle Waterfront, 
Sekiu, 
Shirttail Reef, 
Skyline, 
Smallpox Bay, 
South Hat Island, 
Speiden Southwest, 
Squaxin Island, 
Steilacoom Marina,P
Strawberry Falls, 
Sucia Island - Lawson's Bluff, 
Sucia Island - Shallow Bay, 
Sund Rock, 
Sund Rock North, 
Sund Rock South, 
Sunnyside Beach Park,P
Sunrise Beach State Park, 
Tacoma Narrows, 
Tacoma Narrows - Point Evans, 
The Pinnacle, 
Three Tree Point, 
Three Tree Point North, 
Tire Reef N Saltwater State Park, 
Titlow Beach Park, 
Triton Cove, 
Urchin Rocks South, 
Whale Rocks, 
Widmer Reef, 
Wing Point, 
Wreck of the Ranger, 
Yellow House, 
Young Island West, 
Z's Reef, 
Cattle Point, 
Dallas Banks, 
Eagle Cove, 
Glen Acres, 
Green Point, 
Lawrence Point, 
Pulali Point West Wall, 
Reef Point, 
Salmon Beach, 
Watmaugh Bay, 
Arsenic Wall, 
Glen Ayr Ravine, 
Lowman Beach Park, 
Cliff Island, 
Maritime Pier, 
Deadman Island, 
7 Seas Dock, 
Boeing Creek Reef, 
Cherry Point, 
Clallam Bay West, 
Dalco Wall, 
Edmonds Underwater Park Fishing Pier, 
Elliot Bay Marina, 
Fox Island Bridge, 
Freeland Park,P
Grain Terminal, 
Hat Island Sponge Garden, 
Long Island Wall, 
Lower Elwha,P
North Wall Point Defiance, 
Richmond Beach,P
Rock 305, 
Sirens of Spring, 
Tacoma Old Town Pier, 
Teahwhit Head, 
Thea's Park - Foss Waterway, 
Tongue Point, 
Triton Head, 
Mike's Beach Resort, 
