SiteName,HAB_CALC_2.0,HAB_CALC_3.0,HAB_CALC_4.0,HAB_CALC_5.0,HAB_CALC_6.0,HAB_CALC_7.0,HAB_CALC_8.0,HAB_CALC_9.0
100 Foot Rock,False,False,False,False,True,False,False,False
7 Seas Dock,False,False,False,False,False,True,False,False
Admiralty Beach,False,False,False,False,True,False,False,False
"Agate Beach, Lopez Is",False,False,False,False,True,False,False,False
Alki - Cove 1,False,False,False,False,True,False,False,False
Alki - Cove 2,False,False,False,False,True,False,False,False
Alki - Cove 3,False,False,False,False,True,False,False,False
Alki - Pipeline,False,False,False,False,True,False,False,False
Alki Beach,False,False,False,False,False,False,False,True
Andy's Marine Park,False,False,False,False,False,False,True,False
Arsenic Wall,False,False,True,False,False,False,False,False
Bachelor Rock,False,True,False,False,False,False,False,False
Bayrich Bay,False,False,False,False,False,False,True,False
Bell Island East,False,False,True,False,False,False,False,False
Bell Island West,False,False,True,False,False,False,False,False
Beverly Beach,False,False,False,False,False,False,True,False
Blake Island South,False,False,False,False,False,True,False,False
Blakely Harbor Reef,False,False,True,False,False,False,False,False
"Blakely Harbor, North",False,False,True,False,False,False,False,False
Boeing Creek Reef,False,False,False,False,False,False,False,True
Broken Point Cove Shaw,False,False,False,False,False,False,True,False
Broken Point East,False,False,False,True,False,False,False,False
Broken Point West,False,False,False,True,False,False,False,False
Burrows Lighthouse,False,True,False,False,False,False,False,False
Camano Head,False,False,False,False,False,True,False,False
Camano Island State Park,False,False,False,False,False,True,False,False
Camp Casey,False,False,False,False,False,False,False,True
Canoe Pass,False,False,False,True,False,False,False,False
Cattle Point,False,True,False,False,False,False,False,False
Cherry Point,False,False,False,False,True,False,False,False
Clallam Bay West,False,True,False,False,False,False,False,False
Cliff Island,False,False,False,True,False,False,False,False
Dalco Shallows,False,False,False,False,True,False,False,False
Dalco Wall,False,False,False,False,True,False,False,False
Dallas Banks,False,False,False,False,False,False,False,True
Dash Point State Park,False,False,False,False,False,False,False,True
Day Island Kelp,False,False,False,False,False,False,False,True
Day Island Wall,False,False,False,False,False,False,False,True
Day Island Wall - North,False,False,False,False,False,False,False,True
Day Island Wall - South,False,False,False,False,False,False,False,True
Deadman Island,False,False,True,False,False,False,False,False
Deadmans Bay,False,True,False,False,False,False,False,False
Deception Pass,False,False,False,True,False,False,False,False
Derelict Conveyor,False,False,False,False,True,False,False,False
Devils Head,False,False,False,False,False,False,True,False
Dickman Mill,False,False,True,False,False,False,False,False
Driftwood Park,False,False,True,False,False,False,False,False
Dune Peninsula Breakwater,False,False,True,False,False,False,False,False
Eagle Cove,False,True,False,False,False,False,False,False
Eagle Point,False,True,False,False,False,False,False,False
Ebeys Landing,False,False,False,False,False,False,False,True
Edgewater Beach Park,False,False,False,True,False,False,False,False
Ediz Hook Log Pile,False,False,False,False,False,True,False,False
Ediz Hook Rock Pile,False,False,False,True,False,False,False,False
Ediz Hook RockPile,False,False,False,False,False,True,False,False
Edmonds Pipeline,False,False,True,False,False,False,False,False
Edmonds Underwater Park,False,False,False,False,False,False,False,True
Edmonds Underwater Park Fishing Pier,False,False,True,False,False,False,False,False
Edmonds Underwater Park Kelp,False,False,False,False,True,False,False,False
Edmonds Underwater Park Pipeline,False,False,True,False,False,False,False,False
Edmonds Underwater Park Shell Creek,False,False,False,False,True,False,False,False
Elephant Wall,False,False,False,True,False,False,False,False
Elliot Bay Marina,False,False,True,False,False,False,False,False
Everett Pipeline,False,False,False,True,False,False,False,False
Flagpole Point,False,False,False,False,False,False,True,False
Flat Top Island,False,False,True,False,False,False,False,False
Fort Worden,False,False,False,False,False,False,False,True
Foulweather Bluff,False,False,False,False,True,False,False,False
Fox Island Bridge,False,False,False,False,False,False,True,False
Fox Island East Wall,False,False,False,False,False,False,True,False
Fox Island West Wall,False,False,False,False,False,False,True,False
Freeland Park,False,False,False,False,False,True,False,False
Freshwater Bay,False,True,False,False,False,False,False,False
Friday Harbor Reef,False,False,False,True,False,False,False,False
Fulton Creek,False,False,False,False,False,False,False,True
Glen Acres,False,False,False,False,True,False,False,False
Glen Ayr Ravine,False,False,False,False,False,False,True,False
Goby Garden,False,False,False,True,False,False,False,False
Grain Terminal,False,False,True,False,False,False,False,False
Green Point,False,False,False,False,False,False,False,True
