SiteName,HAB_CALC
100 Foot Rock,6.0
Admiralty Beach,6.0
"Agate Beach, Lopez Is",6.0
Alki - Cove 1,6.0
Alki - Cove 2,6.0
Alki - Cove 3,6.0
Alki - Pipeline,6.0
Alki Beach,9.0
Andy's Marine Park,8.0
Bachelor Rock,3.0
Bayrich Bay,8.0
Bell Island East,4.0
Bell Island West,4.0
Beverly Beach,8.0
Blake Island South,7.0
Blakely Harbor Reef,4.0
"Blakely Harbor, North",4.0
Broken Point Cove Shaw,8.0
Broken Point East,5.0
Broken Point West,5.0
Burrows Lighthouse,3.0
Camano Head,7.0
Camano Island State Park,7.0
Camp Casey,9.0
Canoe Pass,5.0
Dalco Shallows,6.0
Dash Point State Park,9.0
Day Island Kelp,9.0
Day Island Wall,9.0
Day Island Wall - North,9.0
Day Island Wall - South,9.0
Deadmans Bay,3.0
Deception Pass,5.0
Derelict Conveyor,6.0
Devils Head,8.0
Dickman Mill,4.0
Driftwood Park,4.0
Dune Peninsula Breakwater,4.0
Eagle Point,3.0
Ebeys Landing,9.0
Edgewater Beach Park,5.0
Ediz Hook Log Pile,7.0
Ediz Hook Rock Pile,5.0
Ediz Hook RockPile,7.0
Edmonds Pipeline,4.0
Edmonds Underwater Park,9.0
Edmonds Underwater Park Kelp,6.0
Edmonds Underwater Park Pipeline,4.0
Edmonds Underwater Park Shell Creek,6.0
Elephant Wall,5.0
Everett Pipeline,5.0
Flagpole Point,8.0
Flat Top Island,4.0
Fort Worden,9.0
Foulweather Bluff,6.0
Fox Island East Wall,8.0
Fox Island West Wall,8.0
Freshwater Bay,3.0
Friday Harbor Reef,5.0
Fulton Creek,9.0
Goby Garden,5.0
"Green Point, Spieden Island",4.0
Hat Island,7.0
Hat Island Ledge,7.0
Hat Island Marina,5.0
Holmes Harbor,7.0
Intake Tower/Between Owens and Boathouse,6.0
"Jack Block, Seattle, Washington",4.0
Jack Hyde Park,9.0
Jefferson Head,6.0
Jones Island,5.0
Jorsted Creek,8.0
Kat's Corner,8.0
Ketron Island,6.0
Kellet's Bluff,4.0
Keystone Jetty,6.0
Keystone Jetty - Pilings,6.0
Keystone Jetty Preserve,6.0
Keystone Preserve,6.0
Kopachuck State Park,9.0
KVI Tower,8.0
Langley Marina,8.0
Langley Tire Reef,8.0
Larry's Lair,5.0
Les Davis Marine Park,4.0
Les Davis Marine Park Pier,4.0
Les Davis Marine Park Pipeline,4.0
Lime Kiln,4.0
Lincoln Park,6.0
Lobster Shop Wall,6.0
