SiteName,MAC_UNIT_ ,MAC_UNIT_P
100 Foot Rock,True,False
7 Seas Dock,True,False
Admiralty Beach,True,False
"Agate Beach, Lopez Is",True,False
Alki - Cove 1,True,False
Alki - Cove 2,True,False
Alki - Cove 3,True,False
Alki - Pipeline,True,False
Alki Beach,True,False
Andy's Marine Park,True,False
Arsenic Wall,True,False
Bachelor Rock,True,False
Bayrich Bay,True,False
Bell Island East,True,False
Bell Island West,True,False
Beverly Beach,True,False
Blake Island South,True,False
Blakely Harbor Reef,True,False
"Blakely Harbor, North",True,False
Boeing Creek Reef,True,False
Broken Point Cove Shaw,True,False
Broken Point East,True,False
Broken Point West,True,False
Burrows Lighthouse,True,False
Camano Head,True,False
Camano Island State Park,True,False
Camp Casey,True,False
Canoe Pass,True,False
Cattle Point,True,False
Cherry Point,True,False
Clallam Bay West,False,True
Cliff Island,True,False
Dalco Shallows,True,False
Dalco Wall,True,False
Dallas Banks,True,False
Dash Point State Park,True,False
Day Island Kelp,True,False
Day Island Wall,True,False
Day Island Wall - North,True,False
Day Island Wall - South,True,False
Deadman Island,True,False
Deadmans Bay,True,False
Deception Pass,True,False
Derelict Conveyor,True,False
Devils Head,True,False
Dickman Mill,True,False
Driftwood Park,True,False
Dune Peninsula Breakwater,True,False
Eagle Cove,True,False
Eagle Point,True,False
Ebeys Landing,True,False
Edgewater Beach Park,True,False
Ediz Hook Log Pile,True,False
Ediz Hook Rock Pile,True,False
Ediz Hook RockPile,True,False
Edmonds Pipeline,True,False
Edmonds Underwater Park,True,False
Edmonds Underwater Park Fishing Pier,True,False
Edmonds Underwater Park Kelp,True,False
Edmonds Underwater Park Pipeline,True,False
Edmonds Underwater Park Shell Creek,True,False
Elephant Wall,True,False
Elliot Bay Marina,True,False
Everett Pipeline,True,False
Flagpole Point,True,False
Flat Top Island,True,False
Fort Worden,True,False
Foulweather Bluff,True,False
Fox Island Bridge,True,False
Fox Island East Wall,True,False
Fox Island West Wall,True,False
Freeland Park,True,False
Freshwater Bay,True,False
Friday Harbor Reef,True,False
Fulton Creek,True,False
Glen Acres,True,False
Glen Ayr Ravine,True,False
Goby Garden,True,False
Grain Terminal,True,False
Green Point,True,False
"Green Point, Spieden Island",True,False
Hat Island,True,False
Hat Island Ledge,True,False
Hat Island Marina,True,False
Hat Island Sponge Garden,True,False
Holmes Harbor,True,False
Intake Tower/Between Owens and Boathouse,True,False
"Jack Block, Seattle, Washington",True,False
Jack Hyde Park,True,False
Jefferson Head,True,False
Jones Island,True,False
Jorsted Creek,True,False
KVI Tower,True,False
Kat's Corner,True,False
Kellet's Bluff,True,False
Ketron Island,True,False
Keystone Jetty,True,False
Keystone Jetty - Pilings,True,False
Keystone Jetty Preserve,True,False
Keystone Preserve,True,False
Kopachuck State Park,True,False
Langley Marina,True,False
Langley Tire Reef,True,False
Larry's Lair,True,False
Lawrence Point,True,False
Les Davis Marine Park,True,False
Les Davis Marine Park Pier,True,False
Les Davis Marine Park Pipeline,True,False
Lime Kiln,True,False
Lincoln Park,True,False
Lobster Shop Wall,True,False
Long Island Wall,True,False
Lowell Point,True,False
Lower Elwha,True,False
Lowman Beach Park,True,False
Magnolia,True,False
Marina Beach,True,False
Maritime Pier,True,False
Maury Island Barges,True,False
McCracken Point,True,False
McCurdy Point,True,False
Metridium Wall,True,False
Mike's Beach Resort,True,False
Misery Point,True,False
Mukilteo Edgewater Park,True,False
Mukilteo Fuel Pier,True,False
Mukilteo Lighthouse,True,False
Mukilteo T-Dock,True,False
Narrows Bridge (Tacoma Side),True,False
Narrows Bridge (Tacoma side),True,False
Norrander's,True,False
North Beach,True,False
North Wall Deception Pass,True,False
North Wall Point Defiance,True,False
Northwest Island,True,False
O'Neal Island,True,False
Octopus Hole,True,False
Olalla Boat Launch,True,False
Old Tacoma Outboard Association,True,False
Old Town Dock,True,False
Orcas Island Eelgrass,True,False
Owen Beach,True,False
Partridge Point,True,False
Picnic Cove,True,False
Pile Point,True,False
Pirate Cove,True,False
Point Caution,True,False
Point Dalco,True,False
Point Defiance Boathouse,True,False
Point Defiance North Wall,True,False
Point Defiance Wall,True,False
Point Defiance West Kelp Beds,True,False
Point Defiance West Wall,True,False
Point George,True,False
Point Hudson,True,False
Point Ruston,True,False
Point Ruston Ferry,True,False
Point Vashon,True,False
Point Whitehorn,True,False
Point Whitney Shellfish Lab,True,False
Possession Point Ferry,True,False
Possession Point Fingers,True,False
Pulali Point,True,False
Pulali Point West Wall,True,False
Redondo Beach,True,False
Reef Point,True,False
Reuben Tarte,True,False
Richmond Beach,True,False
Rock 305,True,False
Rosario Beach Urchin Rocks,True,False
Rosario Beach Urchin Rocks North,True,False
Rosario Head,True,False
Rosario Wall,True,False
Rosie's Ravine,True,False
Ruston - Katie Downs,True,False
Salmon Beach,True,False
Salt Creek,True,False
Saltar's Point,True,False
Saltwater State Park,True,False
Sares Head,True,False
Scenic Beach State Park,True,False
Seabeck Bay,True,False
Seattle Waterfront,True,False
Sekiu,False,True
Shirttail Reef,True,False
Sirens of Spring,True,False
Skyline,True,False
Smallpox Bay,True,False
South Hat Island,True,False
Speiden Southwest,True,False
Squaxin Island,True,False
Steilacoom Marina,True,False
Strawberry Falls,True,False
Sucia Island - Lawson's Bluff,True,False
Sucia Island - Shallow Bay,True,False
Sund Rock,True,False
Sund Rock North,True,False
Sund Rock South,True,False
Sunnyside Beach Park,True,False
Sunrise Beach State Park,True,False
Tacoma Narrows,True,False
Tacoma Narrows - Point Evans,True,False
Tacoma Old Town Pier,True,False
