SiteName,NER_UNIT_ ,NER_UNIT_C,NER_UNIT_P
100 Foot Rock,True,False,False
7 Seas Dock,True,False,False
Admiralty Beach,True,False,False
"Agate Beach, Lopez Is",True,False,False
Alki - Cove 1,True,False,False
Alki - Cove 2,True,False,False
Alki - Cove 3,True,False,False
Alki - Pipeline,True,False,False
Alki Beach,True,False,False
Andy's Marine Park,True,False,False
Arsenic Wall,True,False,False
Bachelor Rock,False,False,True
Bayrich Bay,True,False,False
Bell Island East,False,True,False
Bell Island West,False,True,False
Beverly Beach,True,False,False
Blake Island South,True,False,False
Blakely Harbor Reef,True,False,False
"Blakely Harbor, North",True,False,False
Boeing Creek Reef,True,False,False
Broken Point Cove Shaw,True,False,False
Broken Point East,True,False,False
Broken Point West,True,False,False
Burrows Lighthouse,False,True,False
Camano Head,True,False,False
Camano Island State Park,True,False,False
Camp Casey,False,False,True
Canoe Pass,True,False,False
Cattle Point,False,True,False
Cherry Point,True,False,False
Clallam Bay West,True,False,False
Cliff Island,True,False,False
Dalco Shallows,False,True,False
Dalco Wall,True,False,False
Dallas Banks,True,False,False
Dash Point State Park,True,False,False
Day Island Kelp,False,True,False
Day Island Wall,False,True,False
Day Island Wall - North,False,True,False
Day Island Wall - South,False,True,False
Deadman Island,False,True,False
Deadmans Bay,False,True,False
Deception Pass,True,False,False
Derelict Conveyor,True,False,False
Devils Head,True,False,False
Dickman Mill,True,False,False
Driftwood Park,True,False,False
Dune Peninsula Breakwater,True,False,False
Eagle Cove,False,False,True
Eagle Point,False,False,True
Ebeys Landing,False,True,False
Edgewater Beach Park,True,False,False
Ediz Hook Log Pile,True,False,False
Ediz Hook Rock Pile,False,False,True
Ediz Hook RockPile,True,False,False
Edmonds Pipeline,False,False,True
Edmonds Underwater Park,True,False,False
Edmonds Underwater Park Fishing Pier,False,False,True
Edmonds Underwater Park Kelp,False,False,True
Edmonds Underwater Park Pipeline,False,False,True
Edmonds Underwater Park Shell Creek,False,False,True
Elephant Wall,True,False,False
Elliot Bay Marina,False,True,False
Everett Pipeline,True,False,False
Flagpole Point,True,False,False
Flat Top Island,True,False,False
Fort Worden,True,False,False
Foulweather Bluff,True,False,False
Fox Island Bridge,True,False,False
Fox Island East Wall,False,False,True
Fox Island West Wall,True,False,False
Freeland Park,True,False,False
Freshwater Bay,False,False,True
Friday Harbor Reef,False,False,True
Fulton Creek,True,False,False
Glen Acres,True,False,False
Glen Ayr Ravine,True,False,False
Goby Garden,True,False,False
Grain Terminal,True,False,False
Green Point,False,False,True
"Green Point, Spieden Island",False,False,True
Hat Island,True,False,False
Hat Island Ledge,True,False,False
Hat Island Marina,True,False,False
Hat Island Sponge Garden,True,False,False
Holmes Harbor,True,False,False
Intake Tower/Between Owens and Boathouse,False,False,True
"Jack Block, Seattle, Washington",False,False,True
Jack Hyde Park,True,False,False
Jefferson Head,True,False,False
Jones Island,True,False,False
Jorsted Creek,True,False,False
KVI Tower,True,False,False
Kat's Corner,True,False,False
Kellet's Bluff,False,True,False
Ketron Island,True,False,False
Keystone Jetty,True,False,False
Keystone Jetty - Pilings,True,False,False
Keystone Jetty Preserve,True,False,False
Keystone Preserve,True,False,False
Kopachuck State Park,True,False,False
Langley Marina,True,False,False
Langley Tire Reef,True,False,False
Larry's Lair,True,False,False
Lawrence Point,True,True,False
Les Davis Marine Park,True,False,False
Les Davis Marine Park Pier,True,False,False
Les Davis Marine Park Pipeline,True,False,False
Lime Kiln,False,True,False
Lincoln Park,True,False,False
Lobster Shop Wall,True,False,False
Long Island Wall,False,True,False
Lowell Point,True,False,False
Lower Elwha,False,False,True
Lowman Beach Park,True,False,False
Magnolia,False,True,False
Marina Beach,True,False,False
Maritime Pier,True,False,False
Maury Island Barges,True,False,False
McCracken Point,False,False,True
McCurdy Point,False,False,True
Metridium Wall,True,False,False
Mike's Beach Resort,True,False,False
Misery Point,True,False,False
Mukilteo Edgewater Park,True,False,False
Mukilteo Fuel Pier,True,False,False
Mukilteo Lighthouse,True,False,False
Mukilteo T-Dock,True,False,False
Narrows Bridge (Tacoma Side),False,False,True
Narrows Bridge (Tacoma side),False,False,True
Norrander's,True,False,False
North Beach,False,False,True
North Wall Deception Pass,True,False,False
North Wall Point Defiance,False,False,True
Northwest Island,False,False,True
O'Neal Island,True,False,False
Octopus Hole,True,False,False
Olalla Boat Launch,True,False,False
Old Tacoma Outboard Association,False,False,True
Old Town Dock,True,False,False
Orcas Island Eelgrass,True,False,False
Owen Beach,False,False,True
Partridge Point,False,False,True
Picnic Cove,True,False,False
Pile Point,False,True,False
Pirate Cove,False,False,True
Point Caution,False,False,True
Point Dalco,False,True,False
Point Defiance Boathouse,False,False,True
Point Defiance North Wall,True,False,False
Point Defiance Wall,True,False,False
Point Defiance West Kelp Beds,False,True,False
Point Defiance West Wall,True,False,False
Point George,False,False,True
Point Hudson,True,False,False
Point Ruston,True,False,False
Point Ruston Ferry,True,False,False
Point Vashon,False,False,True
Point Whitehorn,True,False,False
Point Whitney Shellfish Lab,True,False,False
Possession Point Ferry,True,False,False
Possession Point Fingers,True,False,False
Pulali Point,True,False,False
Pulali Point West Wall,True,False,False
Redondo Beach,True,False,False
Reef Point,True,False,False
Reuben Tarte,True,False,False
Richmond Beach,False,False,True
Rock 305,True,False,False
Rosario Beach Urchin Rocks,True,False,False
Rosario Beach Urchin Rocks North,False,False,True
Rosario Head,False,True,False
Rosario Wall,True,False,False
Rosie's Ravine,True,False,False
Ruston - Katie Downs,True,False,False
Salmon Beach,False,False,True
Salt Creek,False,True,False
Saltar's Point,True,False,False
Saltwater State Park,True,False,False
Sares Head,False,True,False
Scenic Beach State Park,True,False,False
Seabeck Bay,True,False,False
Seattle Waterfront,False,False,True
Sekiu,False,False,True
Shirttail Reef,True,False,False
Sirens of Spring,False,False,True
Skyline,False,True,False
Smallpox Bay,False,False,True
South Hat Island,True,False,False
Speiden Southwest,False,True,False
Squaxin Island,False,False,True
Steilacoom Marina,True,False,False
Strawberry Falls,False,True,False
Sucia Island - Lawson's Bluff,False,False,True
Sucia Island - Shallow Bay,True,False,False
Sund Rock,True,False,False
Sund Rock North,True,False,False
Sund Rock South,True,False,False
Sunnyside Beach Park,True,False,False
Sunrise Beach State Park,True,False,False
Tacoma Narrows,False,False,True
Tacoma Narrows - Point Evans,True,False,False
Tacoma Old Town Pier,True,False,False
Teahwhit Head,True,False,False
The Pinnacle,True,False,False
Thea's Park - Foss Waterway,True,False,False
Three Tree Point,True,False,False
Three Tree Point North,True,False,False
Tire Reef N Saltwater State Park,True,False,False
Titlow Beach Park,False,False,True
Tongue Point,False,True,False
Triton Cove,True,False,False
Triton Head,True,False,False
Urchin Rocks South,False,True,False
Watmaugh Bay,True,False,False
Whale Rocks,False,False,True
Widmer Reef,True,False,False
Wing Point,False,True,False
Wreck of the Ranger,True,False,False
Yellow House,True,False,False
Young Island West,False,True,False
Z's Reef,True,False,False
