SiteName,NRDA_CLASS_1.0,NRDA_CLASS_3.0,NRDA_CLASS_4.0,NRDA_CLASS_5.0,NRDA_CLASS_7.0,NRDA_CLASS_9.0,NRDA_CLASS_10.0,NRDA_CLASS_11.0
100 Foot Rock,False,False,False,False,False,False,True,False
7 Seas Dock,False,False,False,False,False,False,True,False
Admiralty Beach,False,False,False,False,False,False,True,False
"Agate Beach, Lopez Is",False,False,True,False,False,False,False,False
Alki - Cove 1,False,False,False,False,False,False,True,False
Alki - Cove 2,False,False,False,False,False,False,True,False
Alki - Cove 3,False,False,False,False,False,False,True,False
Alki - Pipeline,False,False,False,False,False,False,True,False
Alki Beach,False,False,False,False,False,False,False,True
Andy's Marine Park,False,False,False,False,False,False,False,True
Arsenic Wall,False,False,False,False,False,True,False,False
Bachelor Rock,True,False,False,False,False,False,False,False
Bayrich Bay,False,False,False,False,True,False,False,False
Bell Island East,False,True,False,False,False,False,False,False
Bell Island West,False,True,False,False,False,False,False,False
Beverly Beach,False,False,False,False,False,False,False,True
Blake Island South,False,False,False,False,False,False,False,True
Blakely Harbor Reef,False,False,False,False,False,False,True,False
"Blakely Harbor, North",False,False,False,False,False,False,True,False
Boeing Creek Reef,False,False,False,False,False,False,False,True
Broken Point Cove Shaw,False,False,False,False,True,False,False,False
Broken Point East,False,True,False,False,False,False,False,False
Broken Point West,False,True,False,False,False,False,False,False
Burrows Lighthouse,True,False,False,False,False,False,False,False
Camano Head,False,False,False,False,False,False,True,False
Camano Island State Park,False,False,False,False,False,False,True,False
Camp Casey,False,False,True,False,False,False,False,False
Canoe Pass,False,True,False,False,False,False,False,False
Cattle Point,True,False,False,False,False,False,False,False
Cherry Point,False,False,False,False,False,False,True,False
Clallam Bay West,True,False,False,False,False,False,False,False
Cliff Island,False,False,False,False,True,False,False,False
Dalco Shallows,False,False,False,False,False,False,True,False
Dalco Wall,False,False,False,False,False,False,True,False
Dallas Banks,False,False,True,False,False,False,False,False
Dash Point State Park,False,False,False,False,False,False,False,True
Day Island Kelp,False,False,False,False,False,False,False,True
Day Island Wall,False,False,False,False,False,False,False,True
Day Island Wall - North,False,False,False,False,False,False,False,True
Day Island Wall - South,False,False,False,False,False,False,False,True
Deadman Island,False,True,False,False,False,False,False,False
Deadmans Bay,True,False,False,False,False,False,False,False
Deception Pass,False,True,False,False,False,False,False,False
Derelict Conveyor,False,False,False,False,False,False,True,False
Devils Head,False,False,False,False,False,False,False,True
Dickman Mill,False,False,False,False,False,True,False,False
Driftwood Park,False,False,False,False,False,False,True,False
Dune Peninsula Breakwater,False,False,False,False,False,True,False,False
Eagle Cove,True,False,False,False,False,False,False,False
Eagle Point,True,False,False,False,False,False,False,False
Ebeys Landing,False,False,True,False,False,False,False,False
Edgewater Beach Park,False,False,False,False,False,True,False,False
Ediz Hook Log Pile,False,False,False,False,True,False,False,False
Ediz Hook Rock Pile,False,False,False,False,False,True,False,False
Ediz Hook RockPile,False,False,False,False,True,False,False,False
Edmonds Pipeline,False,False,False,False,False,True,False,False
Edmonds Underwater Park,False,False,False,False,False,False,False,True
Edmonds Underwater Park Fishing Pier,False,False,False,False,False,True,False,False
Edmonds Underwater Park Kelp,False,False,False,False,False,False,True,False
Edmonds Underwater Park Pipeline,False,False,False,False,False,True,False,False
Edmonds Underwater Park Shell Creek,False,False,False,False,False,False,True,False
Elephant Wall,False,False,False,False,False,True,False,False
Elliot Bay Marina,False,False,False,False,False,True,False,False
Everett Pipeline,False,False,False,False,False,True,False,False
Flagpole Point,False,False,False,False,False,False,False,True
