SiteName,NRDA_CLASS
100 Foot Rock,10.0
Admiralty Beach,10.0
"Agate Beach, Lopez Is",4.0
Alki - Cove 1,10.0
Alki - Cove 2,10.0
Alki - Cove 3,10.0
Alki - Pipeline,10.0
Alki Beach,11.0
Andy's Marine Park,11.0
Bachelor Rock,1.0
Bayrich Bay,7.0
Bell Island East,3.0
Bell Island West,3.0
Beverly Beach,11.0
Blake Island South,11.0
Blakely Harbor Reef,10.0
"Blakely Harbor, North",10.0
Broken Point Cove Shaw,7.0
Broken Point East,3.0
Broken Point West,3.0
Burrows Lighthouse,1.0
Camano Head,10.0
Camano Island State Park,10.0
Camp Casey,4.0
Canoe Pass,3.0
Dalco Shallows,10.0
Dash Point State Park,11.0
Day Island Kelp,11.0
Day Island Wall,11.0
Day Island Wall - North,11.0
Day Island Wall - South,11.0
Deadmans Bay,1.0
Deception Pass,3.0
Derelict Conveyor,10.0
Devils Head,11.0
Dickman Mill,9.0
Driftwood Park,10.0
Dune Peninsula Breakwater,9.0
Eagle Point,1.0
Ebeys Landing,4.0
Edgewater Beach Park,9.0
Ediz Hook Log Pile,7.0
Ediz Hook Rock Pile,9.0
Ediz Hook RockPile,7.0
Edmonds Pipeline,9.0
Edmonds Underwater Park,11.0
Edmonds Underwater Park Kelp,10.0
Edmonds Underwater Park Pipeline,9.0
Edmonds Underwater Park Shell Creek,10.0
Elephant Wall,9.0
Everett Pipeline,9.0
Flagpole Point,11.0
Flat Top Island,3.0
Fort Worden,11.0
Foulweather Bluff,10.0
Fox Island East Wall,11.0
Fox Island West Wall,11.0
Freshwater Bay,1.0
Friday Harbor Reef,3.0
Fulton Creek,11.0
Goby Garden,9.0
"Green Point, Spieden Island",3.0
Hat Island,10.0
Hat Island Ledge,10.0
Hat Island Marina,9.0
Holmes Harbor,10.0
Intake Tower/Between Owens and Boathouse,10.0
"Jack Block, Seattle, Washington",9.0
Jack Hyde Park,11.0
Jefferson Head,10.0
Jones Island,3.0
Jorsted Creek,11.0
Kat's Corner,11.0
Ketron Island,10.0
Kellet's Bluff,3.0
Keystone Jetty,10.0
Keystone Jetty - Pilings,10.0
Keystone Jetty Preserve,10.0
Keystone Preserve,10.0
Kopachuck State Park,11.0
KVI Tower,11.0
Langley Marina,11.0
Langley Tire Reef,11.0
Larry's Lair,3.0
Les Davis Marine Park,9.0
Les Davis Marine Park Pier,9.0
Les Davis Marine Park Pipeline,9.0
Lime Kiln,3.0
Lincoln Park,10.0
Lobster Shop Wall,10.0
Lowell Point,10.0
Magnolia,10.0
Marina Beach,11.0
Maury Island Barges,11.0
McCracken Point,3.0
McCurdy Point,5.0
Metridium Wall,10.0
Misery Point,11.0
Mukilteo Edgewater Park,10.0
Mukilteo Fuel Pier,9.0
Mukilteo Lighthouse,10.0
Mukilteo T-Dock,9.0
Narrows Bridge (Tacoma Side),10.0
Narrows Bridge (Tacoma side),10.0
Norrander's,10.0
North Beach,5.0
North Wall Deception Pass,9.0
Northwest Island,4.0
Octopus Hole,10.0
Olalla Boat Launch,10.0
Old Tacoma Outboard Association,10.0
Old Town Dock,9.0
O'Neal Island,3.0
Orcas Island Eelgrass,7.0
Owen Beach,10.0
Partridge Point,4.0
Picnic Cove,3.0
Pile Point,1.0
Pirate Cove,3.0
Point Caution,3.0
Point Dalco,10.0
Point Defiance Boathouse,10.0
Point Defiance North Wall,9.0
Point Defiance Wall,9.0
Point Defiance West Kelp Beds,10.0
Point Defiance West Wall,9.0
Point George,3.0
Point Hudson,9.0
Point Ruston,9.0
Point Ruston Ferry,9.0
Point Vashon,10.0
