SiteName,ULV_UNIT_ ,ULV_UNIT_C,ULV_UNIT_P
100 Foot Rock,False,False,True
7 Seas Dock,False,False,True
Admiralty Beach,True,False,False
"Agate Beach, Lopez Is",False,False,True
Alki - Cove 1,False,False,True
Alki - Cove 2,False,False,True
Alki - Cove 3,False,False,True
Alki - Pipeline,False,False,True
Alki Beach,True,False,False
Andy's Marine Park,False,True,False
Arsenic Wall,False,False,True
Bachelor Rock,True,False,False
Bayrich Bay,False,True,False
Bell Island East,False,False,True
Bell Island West,False,False,True
Beverly Beach,False,False,True
Blake Island South,False,False,True
Blakely Harbor Reef,False,True,False
"Blakely Harbor, North",False,True,False
Boeing Creek Reef,False,False,True
Broken Point Cove Shaw,False,True,False
Broken Point East,False,False,True
Broken Point West,False,False,True
Burrows Lighthouse,False,False,True
Camano Head,False,False,True
Camano Island State Park,False,True,False
Camp Casey,True,False,False
Canoe Pass,True,False,False
Cattle Point,True,False,False
Cherry Point,False,False,True
Clallam Bay West,False,False,True
Cliff Island,False,False,True
Dalco Shallows,False,False,True
Dalco Wall,False,True,False
Dallas Banks,True,False,False
Dash Point State Park,False,False,True
Day Island Kelp,False,True,False
Day Island Wall,False,True,False
Day Island Wall - North,False,True,False
Day Island Wall - South,False,True,False
Deadman Island,True,False,False
Deadmans Bay,False,False,True
Deception Pass,True,False,False
Derelict Conveyor,False,True,False
Devils Head,False,True,False
Dickman Mill,True,False,False
Driftwood Park,True,False,False
Dune Peninsula Breakwater,True,False,False
Eagle Cove,True,False,False
Eagle Point,True,False,False
Ebeys Landing,False,False,True
Edgewater Beach Park,False,True,False
Ediz Hook Log Pile,False,True,False
Ediz Hook Rock Pile,True,False,False
Ediz Hook RockPile,False,True,False
Edmonds Pipeline,False,True,False
Edmonds Underwater Park,False,True,False
Edmonds Underwater Park Fishing Pier,False,True,False
Edmonds Underwater Park Kelp,False,True,False
Edmonds Underwater Park Pipeline,False,True,False
Edmonds Underwater Park Shell Creek,False,True,False
Elephant Wall,False,False,True
Elliot Bay Marina,False,True,False
Everett Pipeline,False,False,True
Flagpole Point,False,False,True
Flat Top Island,False,False,True
Fort Worden,True,False,False
Foulweather Bluff,True,False,False
Fox Island Bridge,False,True,False
Fox Island East Wall,False,False,True
Fox Island West Wall,False,False,True
Freeland Park,False,False,True
Freshwater Bay,True,False,False
Friday Harbor Reef,False,False,True
Fulton Creek,True,False,False
Glen Acres,False,True,False
Glen Ayr Ravine,False,False,True
Goby Garden,False,False,True
Grain Terminal,False,True,False
Green Point,True,False,False
"Green Point, Spieden Island",False,True,False
Hat Island,False,False,True
Hat Island Ledge,False,False,True
Hat Island Marina,False,True,False
Hat Island Sponge Garden,False,False,True
Holmes Harbor,True,False,False
Intake Tower/Between Owens and Boathouse,False,False,True
"Jack Block, Seattle, Washington",False,False,True
Jack Hyde Park,False,False,True
Jefferson Head,False,True,False
Jones Island,False,False,True
Jorsted Creek,False,False,True
KVI Tower,False,True,False
Kat's Corner,False,False,True
Kellet's Bluff,True,False,False
Ketron Island,False,True,False
Keystone Jetty,True,False,True
Keystone Jetty - Pilings,True,False,False
Keystone Jetty Preserve,True,False,False
Keystone Preserve,True,False,False
Kopachuck State Park,False,False,True
Langley Marina,False,False,True
Langley Tire Reef,False,False,True
Larry's Lair,False,False,True
Lawrence Point,True,True,False
Les Davis Marine Park,False,False,True
Les Davis Marine Park Pier,False,False,True
Les Davis Marine Park Pipeline,False,False,True
Lime Kiln,False,False,True
Lincoln Park,False,False,True
Lobster Shop Wall,False,False,True
Long Island Wall,True,False,False
Lowell Point,False,True,False
Lower Elwha,False,False,True
Lowman Beach Park,False,False,True
Magnolia,False,True,False
Marina Beach,False,False,True
Maritime Pier,False,False,True
Maury Island Barges,False,False,True
McCracken Point,False,False,True
McCurdy Point,False,False,True
Metridium Wall,False,True,False
Mike's Beach Resort,False,False,True
Misery Point,False,False,True
Mukilteo Edgewater Park,False,False,True
Mukilteo Fuel Pier,False,True,False
Mukilteo Lighthouse,False,False,True
Mukilteo T-Dock,False,False,True
Narrows Bridge (Tacoma Side),False,True,False
Narrows Bridge (Tacoma side),False,True,False
Norrander's,False,True,False
North Beach,False,False,True
North Wall Deception Pass,True,False,False
North Wall Point Defiance,True,False,False
Northwest Island,True,False,False
O'Neal Island,False,False,True
Octopus Hole,False,False,True
Olalla Boat Launch,False,False,True
Old Tacoma Outboard Association,False,True,False
Old Town Dock,False,False,True
Orcas Island Eelgrass,False,False,True
Owen Beach,True,False,False
Partridge Point,False,True,False
Picnic Cove,False,True,False
Pile Point,True,False,False
Pirate Cove,False,True,False
Point Caution,False,False,True
Point Dalco,False,False,True
Point Defiance Boathouse,False,False,True
Point Defiance North Wall,False,False,True
Point Defiance Wall,False,False,True
Point Defiance West Kelp Beds,False,False,True
Point Defiance West Wall,False,False,True
Point George,False,True,False
Point Hudson,True,False,False
Point Ruston,False,False,True
Point Ruston Ferry,False,False,True
Point Vashon,False,True,False
Point Whitehorn,False,False,True
Point Whitney Shellfish Lab,True,False,False
Possession Point Ferry,False,True,False
Possession Point Fingers,False,True,False
Pulali Point,True,False,False
Pulali Point West Wall,False,False,True
Redondo Beach,False,False,True
Reef Point,False,True,False
Reuben Tarte,False,False,True
Richmond Beach,False,False,True
Rock 305,True,False,False
Rosario Beach Urchin Rocks,False,False,True
Rosario Beach Urchin Rocks North,True,False,False
Rosario Head,True,False,False
Rosario Wall,False,True,False
Rosie's Ravine,True,False,False
Ruston - Katie Downs,False,False,True
Salmon Beach,False,False,True
Salt Creek,True,False,False
Saltar's Point,False,True,False
Saltwater State Park,False,True,False
Sares Head,True,False,False
Scenic Beach State Park,False,False,True
Seabeck Bay,False,False,True
Seattle Waterfront,False,False,True
Sekiu,True,False,False
Shirttail Reef,False,False,True
Sirens of Spring,False,True,False
Skyline,False,False,True
Smallpox Bay,False,False,True
South Hat Island,False,False,True
Speiden Southwest,False,True,False
Squaxin Island,False,True,False
Steilacoom Marina,False,True,False
Strawberry Falls,True,False,False
Sucia Island - Lawson's Bluff,False,False,True
Sucia Island - Shallow Bay,False,False,True
Sund Rock,False,False,True
Sund Rock North,False,False,True
Sund Rock South,False,False,True
Sunnyside Beach Park,False,False,True
Sunrise Beach State Park,False,False,True
Tacoma Narrows,False,True,False
Tacoma Narrows - Point Evans,False,False,True
Tacoma Old Town Pier,False,False,True
Teahwhit Head,True,False,False
The Pinnacle,True,False,False
Thea's Park - Foss Waterway,False,False,True
Three Tree Point,False,False,True
Three Tree Point North,False,False,True
Tire Reef N Saltwater State Park,False,True,False
Titlow Beach Park,False,True,False
Tongue Point,True,False,False
Triton Cove,True,False,False
Triton Head,True,False,False
Urchin Rocks South,True,False,False
Watmaugh Bay,False,False,True
Whale Rocks,False,False,True
Widmer Reef,True,False,False
Wing Point,False,True,False
Wreck of the Ranger,False,False,True
Yellow House,False,False,True
Young Island West,False,False,True
Z's Reef,False,True,False
