SiteName,VER_UNIT_ ,VER_UNIT_M,VER_UNIT_N,VER_UNIT_W
100 Foot Rock,False,False,True,False
7 Seas Dock,True,False,False,False
Admiralty Beach,True,False,False,False
"Agate Beach, Lopez Is",True,False,False,False
Alki - Cove 1,False,False,True,False
Alki - Cove 2,False,False,True,False
Alki - Cove 3,False,False,True,False
Alki - Pipeline,True,False,False,False
Alki Beach,True,False,False,False
Andy's Marine Park,True,False,False,False
Arsenic Wall,True,False,False,False
Bachelor Rock,False,True,False,False
Bayrich Bay,False,False,True,False
Bell Island East,False,False,True,False
Bell Island West,False,False,True,False
Beverly Beach,True,False,False,False
Blake Island South,True,False,False,False
Blakely Harbor Reef,False,False,True,False
"Blakely Harbor, North",True,False,False,False
Boeing Creek Reef,False,False,True,False
Broken Point Cove Shaw,True,False,False,False
Broken Point East,False,False,True,False
Broken Point West,False,False,True,False
Burrows Lighthouse,True,False,False,False
Camano Head,True,False,False,False
Camano Island State Park,True,False,False,False
Camp Casey,True,False,False,False
Canoe Pass,False,False,True,False
Cattle Point,False,True,False,False
Cherry Point,True,False,False,False
Clallam Bay West,True,False,False,False
Cliff Island,False,False,True,False
Dalco Shallows,True,False,False,False
Dalco Wall,True,False,False,False
Dallas Banks,True,False,False,False
Dash Point State Park,True,False,False,False
Day Island Kelp,True,False,False,False
Day Island Wall,True,False,False,False
Day Island Wall - North,True,False,False,False
Day Island Wall - South,True,False,False,False
Deadman Island,False,True,False,False
Deadmans Bay,False,True,False,False
Deception Pass,False,False,True,False
Derelict Conveyor,True,False,False,False
Devils Head,True,False,False,False
Dickman Mill,True,False,False,False
Driftwood Park,True,False,False,False
Dune Peninsula Breakwater,True,False,False,False
Eagle Cove,False,True,False,False
Eagle Point,False,True,False,False
Ebeys Landing,True,False,False,False
Edgewater Beach Park,False,False,True,False
Ediz Hook Log Pile,True,False,False,False
Ediz Hook Rock Pile,True,False,False,False
Ediz Hook RockPile,True,False,False,False
Edmonds Pipeline,False,False,True,False
Edmonds Underwater Park,True,False,False,False
Edmonds Underwater Park Fishing Pier,False,False,True,False
Edmonds Underwater Park Kelp,True,False,False,False
Edmonds Underwater Park Pipeline,False,False,True,False
Edmonds Underwater Park Shell Creek,True,False,False,False
Elephant Wall,False,False,True,False
Elliot Bay Marina,False,False,True,False
Everett Pipeline,True,False,False,False
Flagpole Point,False,False,True,False
Flat Top Island,False,False,True,False
Fort Worden,True,False,False,False
Foulweather Bluff,True,False,False,False
Fox Island Bridge,True,False,False,False
Fox Island East Wall,True,False,False,False
Fox Island West Wall,True,False,False,False
Freeland Park,True,False,False,False
Freshwater Bay,False,True,False,False
Friday Harbor Reef,False,False,True,False
Fulton Creek,True,False,False,False
Glen Acres,True,False,False,False
Glen Ayr Ravine,True,False,False,False
Goby Garden,False,False,True,False
Grain Terminal,True,False,False,False
Green Point,True,False,False,False
"Green Point, Spieden Island",False,False,True,False
Hat Island,True,False,False,False
Hat Island Ledge,True,False,False,False
Hat Island Marina,True,False,False,False
Hat Island Sponge Garden,True,False,False,False
Holmes Harbor,True,False,False,False
Intake Tower/Between Owens and Boathouse,True,False,False,False
"Jack Block, Seattle, Washington",True,False,False,False
Jack Hyde Park,True,False,False,False
Jefferson Head,True,False,False,False
Jones Island,False,False,True,False
Jorsted Creek,True,False,False,False
KVI Tower,True,False,False,False
Kat's Corner,True,False,False,False
Kellet's Bluff,False,False,True,False
Ketron Island,True,False,False,False
Keystone Jetty,True,False,False,False
Keystone Jetty - Pilings,True,False,False,False
Keystone Jetty Preserve,True,False,False,False
Keystone Preserve,True,False,False,False
Kopachuck State Park,True,False,False,False
Langley Marina,True,False,False,False
Langley Tire Reef,True,False,False,False
Larry's Lair,False,False,True,False
Lawrence Point,False,False,True,False
Les Davis Marine Park,True,False,False,False
Les Davis Marine Park Pier,True,False,False,False
Les Davis Marine Park Pipeline,True,False,False,False
Lime Kiln,False,True,False,False
Lincoln Park,True,False,False,False
Lobster Shop Wall,True,False,False,False
Long Island Wall,False,True,False,False
Lowell Point,True,False,False,False
Lower Elwha,True,False,False,False
Lowman Beach Park,True,False,False,False
Magnolia,True,False,False,False
Marina Beach,True,False,False,False
Maritime Pier,True,False,False,False
Maury Island Barges,True,False,False,False
McCracken Point,True,False,False,False
McCurdy Point,True,False,False,False
Metridium Wall,True,False,False,False
Mike's Beach Resort,True,False,False,False
Misery Point,True,False,False,False
Mukilteo Edgewater Park,True,False,False,False
Mukilteo Fuel Pier,False,False,True,False
Mukilteo Lighthouse,True,False,False,False
Mukilteo T-Dock,False,False,True,False
Narrows Bridge (Tacoma Side),True,False,False,False
Narrows Bridge (Tacoma side),True,False,False,False
Norrander's,True,False,False,False
North Beach,True,False,False,False
North Wall Deception Pass,True,False,False,False
North Wall Point Defiance,True,False,False,False
Northwest Island,True,False,False,False
O'Neal Island,False,False,True,False
Octopus Hole,True,False,False,False
Olalla Boat Launch,True,False,False,False
