SiteName,ZONECOMP_A1 A2 A3 B1 C1,ZONECOMP_A1 A2 B1 B2 B3 C1,ZONECOMP_A1 A2 B1 B2 C1,ZONECOMP_A1 A2 B1 C1,ZONECOMP_A1 B1,ZONECOMP_A1 B1 B2 B3 B4 C1,ZONECOMP_A1 B1 B2 B3 C1,ZONECOMP_A1 B1 B2 C1,ZONECOMP_A1 B1 C1,ZONECOMP_B1 C1
100 Foot Rock,False,False,False,False,False,False,False,True,False,False
7 Seas Dock,False,False,False,False,False,False,False,False,True,False
Admiralty Beach,False,False,False,False,False,False,False,False,True,False
"Agate Beach, Lopez Is",False,False,True,False,False,False,False,False,False,False
Alki - Cove 1,False,False,False,False,False,False,False,True,False,False
Alki - Cove 2,False,False,False,False,False,False,False,True,False,False
Alki - Cove 3,False,False,False,False,False,False,False,True,False,False
Alki - Pipeline,False,False,False,False,False,False,False,True,False,False
Alki Beach,False,False,False,False,False,False,False,True,False,False
Andy's Marine Park,False,False,True,False,False,False,False,False,False,False
Arsenic Wall,False,False,False,False,False,False,False,False,True,False
Bachelor Rock,False,False,False,False,False,False,False,False,True,False
Bayrich Bay,False,False,False,False,False,False,False,True,False,False
Bell Island East,False,False,False,False,False,False,False,False,True,False
Bell Island West,False,False,False,False,False,False,False,False,True,False
Beverly Beach,False,False,False,False,False,False,False,True,False,False
Blake Island South,False,False,False,False,False,False,False,True,False,False
Blakely Harbor Reef,False,False,False,False,False,False,False,False,True,False
"Blakely Harbor, North",False,False,False,False,False,False,False,True,False,False
Boeing Creek Reef,False,False,False,False,False,False,True,False,False,False
Broken Point Cove Shaw,False,False,False,False,False,False,False,False,True,False
Broken Point East,False,False,False,False,False,False,False,False,True,False
Broken Point West,False,False,False,False,False,False,False,False,True,False
Burrows Lighthouse,False,False,False,False,False,False,False,False,True,False
Camano Head,False,False,False,False,False,False,False,True,False,False
Camano Island State Park,False,False,True,False,False,False,False,False,False,False
Camp Casey,False,False,True,False,False,False,False,False,False,False
Canoe Pass,False,False,False,False,False,False,False,False,True,False
Cattle Point,False,False,False,False,False,False,False,False,True,False
Cherry Point,False,False,False,False,False,False,False,True,False,False
Clallam Bay West,False,False,False,False,False,False,True,False,False,False
Cliff Island,False,False,False,False,False,False,False,False,True,False
Dalco Shallows,False,False,False,False,False,False,False,True,False,False
Dalco Wall,False,False,True,False,False,False,False,False,False,False
Dallas Banks,False,False,False,False,False,False,True,False,False,False
Dash Point State Park,False,False,False,False,False,False,False,False,True,False
Day Island Kelp,False,False,False,False,False,False,False,True,False,False
Day Island Wall,False,False,False,False,False,False,False,True,False,False
Day Island Wall - North,False,False,False,False,False,False,False,True,False,False
Day Island Wall - South,False,False,False,False,False,False,False,True,False,False
Deadman Island,False,False,False,False,False,False,False,False,True,False
Deadmans Bay,False,False,False,False,False,False,False,True,False,False
Deception Pass,False,False,False,False,False,False,False,False,True,False
Derelict Conveyor,False,False,False,False,False,False,False,False,True,False
Devils Head,False,False,True,False,False,False,False,False,False,False
Dickman Mill,False,False,False,False,False,False,False,False,True,False
Driftwood Park,False,False,False,True,False,False,False,False,False,False
Dune Peninsula Breakwater,False,False,False,False,False,False,False,False,True,False
Eagle Cove,False,False,False,False,False,False,False,False,True,False
Eagle Point,False,False,False,False,False,False,False,False,True,False
Ebeys Landing,False,False,True,False,False,False,False,False,False,False
Edgewater Beach Park,False,False,False,False,False,False,False,True,False,False
Ediz Hook Log Pile,False,False,False,False,False,True,False,False,False,False
Ediz Hook Rock Pile,False,False,False,False,False,False,False,True,False,False
Ediz Hook RockPile,False,False,False,False,False,True,False,False,False,False
Edmonds Pipeline,False,False,False,False,False,False,False,False,True,False
Edmonds Underwater Park,False,False,False,False,False,False,False,True,False,False
Edmonds Underwater Park Fishing Pier,False,False,False,False,False,False,False,False,True,False
Edmonds Underwater Park Kelp,False,False,False,False,False,False,True,False,False,False
Edmonds Underwater Park Pipeline,False,False,False,False,False,False,False,False,True,False
Edmonds Underwater Park Shell Creek,False,False,False,False,False,False,True,False,False,False
Elephant Wall,False,False,False,False,False,False,False,False,True,False
Elliot Bay Marina,False,False,False,False,False,False,False,False,True,False
Everett Pipeline,False,False,False,False,False,False,False,True,False,False
Flagpole Point,False,False,False,True,False,False,False,False,False,False
Flat Top Island,False,False,False,False,False,False,False,False,True,False
Fort Worden,False,False,False,False,False,False,True,False,False,False
Foulweather Bluff,False,False,False,False,False,False,False,True,False,False
Fox Island Bridge,False,False,False,True,False,False,False,False,False,False
Fox Island East Wall,False,False,False,True,False,False,False,False,False,False
Fox Island West Wall,False,False,True,False,False,False,False,False,False,False
Freeland Park,False,False,False,False,False,False,False,True,False,False
Freshwater Bay,False,False,False,False,False,False,False,False,True,False
Friday Harbor Reef,False,False,False,False,False,False,False,False,True,False
Fulton Creek,False,False,False,True,False,False,False,False,False,False
Glen Acres,False,False,False,False,False,False,True,False,False,False
Glen Ayr Ravine,False,False,False,True,False,False,False,False,False,False
Goby Garden,False,False,False,False,False,False,False,False,True,False
Grain Terminal,False,False,False,False,False,False,False,False,True,False
Green Point,False,True,False,False,False,False,False,False,False,False
"Green Point, Spieden Island",False,False,False,False,False,False,False,False,True,False
Hat Island,False,False,False,False,False,False,False,False,True,False
Hat Island Ledge,False,False,False,False,False,False,False,False,True,False
Hat Island Marina,False,False,False,False,False,False,False,True,False,False
Hat Island Sponge Garden,False,False,False,True,False,False,False,False,False,False
Holmes Harbor,False,False,False,False,False,False,False,True,False,False
Intake Tower/Between Owens and Boathouse,False,False,False,False,False,False,False,True,False,False
"Jack Block, Seattle, Washington",False,False,False,False,False,False,False,False,True,False
Jack Hyde Park,False,False,False,False,False,False,False,False,True,False
Jefferson Head,False,False,True,False,False,False,False,False,False,False
Jones Island,False,False,False,False,False,False,False,True,False,False
Jorsted Creek,False,False,True,False,False,False,False,False,False,False
KVI Tower,False,False,True,False,False,False,False,False,False,False
Kat's Corner,False,False,False,True,False,False,False,False,False,False
Kellet's Bluff,False,False,False,False,False,False,False,False,True,False
Ketron Island,False,False,False,False,False,False,False,True,False,False
Keystone Jetty,False,False,False,False,False,False,False,False,True,False
Keystone Jetty - Pilings,False,False,False,False,False,False,False,False,True,False
Keystone Jetty Preserve,False,False,False,False,False,False,False,False,True,False
Keystone Preserve,False,False,False,False,False,False,False,False,True,False
Kopachuck State Park,False,False,False,False,False,False,False,True,False,False
Langley Marina,False,False,False,True,False,False,False,False,False,False
Langley Tire Reef,False,False,False,True,False,False,False,False,False,False
Larry's Lair,False,False,False,False,False,False,False,False,True,False
Lawrence Point,False,False,False,False,False,False,False,False,True,False
Les Davis Marine Park,False,False,False,False,False,False,False,True,False,False
Les Davis Marine Park Pier,False,False,False,False,False,False,False,True,False,False
Les Davis Marine Park Pipeline,False,False,False,False,False,False,False,False,True,False
Lime Kiln,False,False,False,False,False,False,False,False,True,False
Lincoln Park,False,False,False,False,False,False,False,True,False,False
Lobster Shop Wall,False,False,False,False,False,False,False,True,False,False
Long Island Wall,False,False,False,False,False,False,False,False,True,False
Lowell Point,False,False,True,False,False,False,False,False,False,False
Lower Elwha,False,False,False,False,False,False,True,False,False,False
Lowman Beach Park,False,False,False,False,False,False,False,False,True,False
Magnolia,False,False,False,False,False,False,True,False,False,False
Marina Beach,False,False,False,False,False,False,True,False,False,False
Maritime Pier,False,False,False,False,False,False,False,False,True,False
Maury Island Barges,False,False,False,False,False,False,False,True,False,False
McCracken Point,False,False,False,False,False,False,False,True,False,False
McCurdy Point,False,False,False,False,False,False,True,False,False,False
Metridium Wall,False,False,False,False,False,False,False,True,False,False
Mike's Beach Resort,False,False,False,True,False,False,False,False,False,False
Misery Point,False,False,False,False,False,False,False,True,False,False
Mukilteo Edgewater Park,False,False,False,False,False,False,False,True,False,False
Mukilteo Fuel Pier,False,False,False,False,False,False,False,True,False,False
Mukilteo Lighthouse,False,False,False,False,False,False,False,True,False,False
Mukilteo T-Dock,False,False,False,False,False,False,False,False,True,False
Narrows Bridge (Tacoma Side),False,False,False,False,False,False,False,False,True,False
Narrows Bridge (Tacoma side),False,False,False,False,False,False,False,False,True,False
Norrander's,False,False,False,True,False,False,False,False,False,False
North Beach,False,False,False,False,False,False,True,False,False,False
North Wall Deception Pass,False,False,False,False,True,False,False,False,False,False
North Wall Point Defiance,False,False,False,False,False,False,False,True,False,False
Northwest Island,False,False,False,False,False,False,False,False,True,False
O'Neal Island,False,False,False,False,False,False,False,False,True,False
Octopus Hole,False,False,False,False,False,False,False,True,False,False
Olalla Boat Launch,False,False,False,False,False,False,False,True,False,False
Old Tacoma Outboard Association,False,False,False,False,False,False,False,False,True,False
Old Town Dock,False,False,False,False,False,False,False,True,False,False
Orcas Island Eelgrass,False,False,False,True,False,False,False,False,False,False
Owen Beach,False,False,False,False,False,False,False,False,True,False
Partridge Point,False,False,True,False,False,False,False,False,False,False
Picnic Cove,False,False,False,False,False,False,False,False,True,False
Pile Point,False,False,False,False,False,False,False,False,True,False
Pirate Cove,False,False,False,False,False,False,False,False,True,False
Point Caution,False,False,False,False,False,False,False,False,True,False
Point Dalco,False,False,False,False,False,False,False,True,False,False
Point Defiance Boathouse,False,False,False,False,False,False,False,True,False,False
Point Defiance North Wall,False,False,False,False,False,False,False,True,False,False
Point Defiance Wall,False,False,False,False,False,False,False,True,False,False
Point Defiance West Kelp Beds,False,False,False,False,False,False,False,False,True,False
Point Defiance West Wall,False,False,False,False,False,False,False,True,False,False
Point George,False,False,False,False,False,False,False,False,True,False
Point Hudson,False,False,False,False,False,False,False,False,True,False
Point Ruston,False,False,False,False,False,False,False,False,True,False
Point Ruston Ferry,False,False,False,False,False,False,False,False,True,False
Point Vashon,False,False,False,False,False,False,False,True,False,False
Point Whitehorn,False,False,True,False,False,False,False,False,False,False
Point Whitney Shellfish Lab,False,False,True,False,False,False,False,False,False,False
Possession Point Ferry,False,False,False,False,False,False,False,True,False,False
Possession Point Fingers,False,False,False,False,False,False,False,False,True,False
Pulali Point,True,False,False,False,False,False,False,False,False,False
Pulali Point West Wall,False,False,False,False,False,False,False,False,True,False
Redondo Beach,False,False,False,False,False,False,False,True,False,False
Reef Point,False,False,False,False,False,False,False,True,False,False
