SiteName,ZONECOMP
100 Foot Rock,A1 B1 B2 C1
Admiralty Beach,A1 B1 C1
"Agate Beach, Lopez Is",A1 A2 B1 B2 C1
Alki - Cove 1,A1 B1 B2 C1
Alki - Cove 2,A1 B1 B2 C1
Alki - Cove 3,A1 B1 B2 C1
Alki - Pipeline,A1 B1 B2 C1
Alki Beach,A1 B1 B2 C1
Andy's Marine Park,A1 A2 B1 B2 C1
Bachelor Rock,A1 B1 C1
Bayrich Bay,A1 B1 B2 C1
Bell Island East,A1 B1 C1
Bell Island West,A1 B1 C1
Beverly Beach,A1 B1 B2 C1
Blake Island South,A1 B1 B2 C1
Blakely Harbor Reef,A1 B1 C1
"Blakely Harbor, North",A1 B1 B2 C1
Broken Point Cove Shaw,A1 B1 C1
Broken Point East,A1 B1 C1
Broken Point West,A1 B1 C1
Burrows Lighthouse,A1 B1 C1
Camano Head,A1 B1 B2 C1
Camano Island State Park,A1 A2 B1 B2 C1
Camp Casey,A1 A2 B1 B2 C1
Canoe Pass,A1 B1 C1
Dalco Shallows,A1 B1 B2 C1
Dash Point State Park,A1 B1 C1
Day Island Kelp,A1 B1 B2 C1
Day Island Wall,A1 B1 B2 C1
Day Island Wall - North,A1 B1 B2 C1
Day Island Wall - South,A1 B1 B2 C1
Deadmans Bay,A1 B1 B2 C1
Deception Pass,A1 B1 C1
Derelict Conveyor,A1 B1 C1
Devils Head,A1 A2 B1 B2 C1
Dickman Mill,A1 B1 C1
Driftwood Park,A1 A2 B1 C1
Dune Peninsula Breakwater,A1 B1 C1
Eagle Point,A1 B1 C1
Ebeys Landing,A1 A2 B1 B2 C1
Edgewater Beach Park,A1 B1 B2 C1
Ediz Hook Log Pile,A1 B1 B2 B3 B4 C1
Ediz Hook Rock Pile,A1 B1 B2 C1
Ediz Hook RockPile,A1 B1 B2 B3 B4 C1
Edmonds Pipeline,A1 B1 C1
Edmonds Underwater Park,A1 B1 B2 C1
Edmonds Underwater Park Kelp,A1 B1 B2 B3 C1
Edmonds Underwater Park Pipeline,A1 B1 C1
Edmonds Underwater Park Shell Creek,A1 B1 B2 B3 C1
Elephant Wall,A1 B1 C1
Everett Pipeline,A1 B1 B2 C1
Flagpole Point,A1 A2 B1 C1
Flat Top Island,A1 B1 C1
Fort Worden,A1 B1 B2 B3 C1
Foulweather Bluff,A1 B1 B2 C1
Fox Island East Wall,A1 A2 B1 C1
Fox Island West Wall,A1 A2 B1 B2 C1
Freshwater Bay,A1 B1 C1
Friday Harbor Reef,A1 B1 C1
Fulton Creek,A1 A2 B1 C1
Goby Garden,A1 B1 C1
"Green Point, Spieden Island",A1 B1 C1
Hat Island,A1 B1 C1
Hat Island Ledge,A1 B1 C1
Hat Island Marina,A1 B1 B2 C1
Holmes Harbor,A1 B1 B2 C1
Intake Tower/Between Owens and Boathouse,A1 B1 B2 C1
"Jack Block, Seattle, Washington",A1 B1 C1
Jack Hyde Park,A1 B1 C1
Jefferson Head,A1 A2 B1 B2 C1
Jones Island,A1 B1 B2 C1
Jorsted Creek,A1 A2 B1 B2 C1
Kat's Corner,A1 A2 B1 C1
Ketron Island,A1 B1 B2 C1
Kellet's Bluff,A1 B1 C1
Keystone Jetty,A1 B1 C1
Keystone Jetty - Pilings,A1 B1 C1
Keystone Jetty Preserve,A1 B1 C1
Keystone Preserve,A1 B1 C1
Kopachuck State Park,A1 B1 B2 C1
KVI Tower,A1 A2 B1 B2 C1
Langley Marina,A1 A2 B1 C1
Langley Tire Reef,A1 A2 B1 C1
Larry's Lair,A1 B1 C1
Les Davis Marine Park,A1 B1 B2 C1
Les Davis Marine Park Pier,A1 B1 B2 C1
Les Davis Marine Park Pipeline,A1 B1 C1
Lime Kiln,A1 B1 C1
Lincoln Park,A1 B1 B2 C1
Lobster Shop Wall,A1 B1 B2 C1
Lowell Point,A1 A2 B1 B2 C1
Magnolia,A1 B1 B2 B3 C1
Marina Beach,A1 B1 B2 B3 C1
Maury Island Barges,A1 B1 B2 C1
McCracken Point,A1 B1 B2 C1
McCurdy Point,A1 B1 B2 B3 C1
Metridium Wall,A1 B1 B2 C1
Misery Point,A1 B1 B2 C1
Mukilteo Edgewater Park,A1 B1 B2 C1
Mukilteo Fuel Pier,A1 B1 B2 C1
Mukilteo Lighthouse,A1 B1 B2 C1
Mukilteo T-Dock,A1 B1 C1
Narrows Bridge (Tacoma Side),A1 B1 C1
Narrows Bridge (Tacoma side),A1 B1 C1
Norrander's,A1 A2 B1 C1
North Beach,A1 B1 B2 B3 C1
North Wall Deception Pass,A1 B1
Northwest Island,A1 B1 C1
Octopus Hole,A1 B1 B2 C1
Olalla Boat Launch,A1 B1 B2 C1
Old Tacoma Outboard Association,A1 B1 C1
Old Town Dock,A1 B1 B2 C1
O'Neal Island,A1 B1 C1
Orcas Island Eelgrass,A1 A2 B1 C1
Owen Beach,A1 B1 C1
Partridge Point,A1 A2 B1 B2 C1
Picnic Cove,A1 B1 C1
Pile Point,A1 B1 C1
Pirate Cove,A1 B1 C1
Point Caution,A1 B1 C1
Point Dalco,A1 B1 B2 C1
Point Defiance Boathouse,A1 B1 B2 C1
Point Defiance North Wall,A1 B1 B2 C1
Point Defiance Wall,A1 B1 B2 C1
Point Defiance West Kelp Beds,A1 B1 C1
Point Defiance West Wall,A1 B1 B2 C1
Point George,A1 B1 C1
Point Hudson,A1 B1 C1
Point Ruston,A1 B1 C1
Point Ruston Ferry,A1 B1 C1
Point Vashon,A1 B1 B2 C1
Point Whitehorn,A1 A2 B1 B2 C1
Point Whitney Shellfish Lab,A1 A2 B1 B2 C1
Possession Point Ferry,A1 B1 B2 C1
Possession Point Fingers,A1 B1 C1
Pulali Point,A1 A2 A3 B1 C1
Redondo Beach,A1 B1 B2 C1
Reuben Tarte,A1 B1 C1
Rosario Beach Urchin Rocks,A1 A2 B1 C1
Rosario Beach Urchin Rocks North,A1 B1 C1
Rosario Head,A1 B1 C1
Rosario Wall,A1 B1 C1
Rosie's Ravine,A1 B1 C1
Ruston - Katie Downs,A1 B1 C1
Salt Creek,A1 B1 B2 C1
Saltar's Point,A1 B1 C1
Saltwater State Park,A1 B1 B2 C1
Sares Head,A1 B1 C1
Scenic Beach State Park,A1 B1 B2 C1
Seabeck Bay,A1 B1 B2 C1
Seattle Waterfront,A1 A2 B1 C1
Sekiu,A1 A2 B1 B2 C1
Shirttail Reef,A1 B1 B2 C1
Skyline,A1 B1 C1
Smallpox Bay,A1 B1 C1
South Hat Island,A1 B1 C1
Speiden Southwest,A1 B1 C1
Squaxin Island,A1 A2 B1 B2 C1
Steilacoom Marina,A1 B1 C1
Strawberry Falls,A1 B1 C1
Sucia Island - Lawson's Bluff,A1 B1 C1
Sucia Island - Shallow Bay,A1 B1 C1
Sund Rock,A1 B1 C1
Sund Rock North,A1 B1 C1
Sund Rock South,A1 B1 C1
Sunnyside Beach Park,A1 A2 B1 B2 C1
Sunrise Beach State Park,A1 B1 B2 B3 C1
Tacoma Narrows,A1 B1 C1
Tacoma Narrows - Point Evans,A1 A2 B1 C1
The Pinnacle,A1 A2 B1 C1
Three Tree Point,A1 B1 C1
Three Tree Point North,A1 B1 C1
Tire Reef N Saltwater State Park,A1 B1 B2 C1
Titlow Beach Park,A1 B1 B2 C1
Triton Cove,A1 A2 B1 C1
Urchin Rocks South,A1 B1 C1
Whale Rocks,A1 B1 C1
Widmer Reef,A1 B1 C1
Wing Point,A1 B1 B2 C1
Wreck of the Ranger,A1 B1 C1
Yellow House,A1 A2 B1 C1
Young Island West,A1 B1 C1
Z's Reef,A1 B1 B2 C1
Cattle Point,A1 B1 C1
Dallas Banks,A1 B1 B2 B3 C1
Eagle Cove,A1 B1 C1
Glen Acres,A1 B1 B2 B3 C1
Green Point,A1 A2 B1 B2 B3 C1
Lawrence Point,A1 B1 C1
Pulali Point West Wall,A1 B1 C1
Reef Point,A1 B1 B2 C1
Salmon Beach,A1 B1 B2 C1
Watmaugh Bay,A1 B1 B2 C1
Arsenic Wall,A1 B1 C1
Glen Ayr Ravine,A1 A2 B1 C1
Lowman Beach Park,A1 B1 C1
Cliff Island,A1 B1 C1
Maritime Pier,A1 B1 C1
Deadman Island,A1 B1 C1
7 Seas Dock,A1 B1 C1
Boeing Creek Reef,A1 B1 B2 B3 C1
Cherry Point,A1 B1 B2 C1
Clallam Bay West,A1 B1 B2 B3 C1
Dalco Wall,A1 A2 B1 B2 C1
Edmonds Underwater Park Fishing Pier,A1 B1 C1
Elliot Bay Marina,A1 B1 C1
Fox Island Bridge,A1 A2 B1 C1
Freeland Park,A1 B1 B2 C1
Grain Terminal,A1 B1 C1
Hat Island Sponge Garden,A1 A2 B1 C1
Long Island Wall,A1 B1 C1
Lower Elwha,A1 B1 B2 B3 C1
North Wall Point Defiance,A1 B1 B2 C1
Richmond Beach,A1 B1 B2 C1
Rock 305,B1 C1
Sirens of Spring,A1 B1 C1
Tacoma Old Town Pier,A1 B1 B2 C1
Teahwhit Head,A1 B1 B2 B3 C1
Thea's Park - Foss Waterway,A1 B1 C1
Tongue Point,A1 B1 B2 C1
Triton Head,A1 A2 B1 C1
Mike's Beach Resort,A1 A2 B1 C1
