SiteName,ZOS_UNIT
100 Foot Rock, 
Admiralty Beach, 
"Agate Beach, Lopez Is",P
Alki - Cove 1, 
Alki - Cove 2, 
Alki - Cove 3, 
Alki - Pipeline,P
Alki Beach,C
Andy's Marine Park, 
Bachelor Rock,P
Bayrich Bay,P
Bell Island East, 
Bell Island West, 
Beverly Beach,C
Blake Island South,P
Blakely Harbor Reef, 
"Blakely Harbor, North", 
Broken Point Cove Shaw,C
Broken Point East,P
Broken Point West,P
Burrows Lighthouse, 
Camano Head,P
Camano Island State Park,C
Camp Casey, 
Canoe Pass, 
Dalco Shallows, 
Dash Point State Park,P
Day Island Kelp, 
Day Island Wall, 
Day Island Wall - North, 
Day Island Wall - South, 
Deadmans Bay, 
Deception Pass, 
Derelict Conveyor, 
Devils Head, 
Dickman Mill, 
Driftwood Park, 
Dune Peninsula Breakwater, 
Eagle Point, 
Ebeys Landing, 
Edgewater Beach Park, 
Ediz Hook Log Pile, 
Ediz Hook Rock Pile,P
Ediz Hook RockPile, 
Edmonds Pipeline, 
Edmonds Underwater Park, 
Edmonds Underwater Park Kelp, 
Edmonds Underwater Park Pipeline, 
Edmonds Underwater Park Shell Creek, 
Elephant Wall,P
Everett Pipeline, 
Flagpole Point, 
Flat Top Island, 
Fort Worden,P
Foulweather Bluff, 
Fox Island East Wall, 
Fox Island West Wall,P
Freshwater Bay,P
Friday Harbor Reef, 
Fulton Creek,P
Goby Garden, 
"Green Point, Spieden Island", 
Hat Island,P
Hat Island Ledge,P
Hat Island Marina, 
Holmes Harbor,C
Intake Tower/Between Owens and Boathouse, 
"Jack Block, Seattle, Washington", 
Jack Hyde Park, 
Jefferson Head,P
Jones Island, 
Jorsted Creek,P
Kat's Corner,P
Ketron Island, 
Kellet's Bluff, 
Keystone Jetty, 
Keystone Jetty - Pilings, 
Keystone Jetty Preserve, 
Keystone Preserve,C
Kopachuck State Park, 
KVI Tower,P
Langley Marina,C
Langley Tire Reef,C
Larry's Lair, 
Les Davis Marine Park,P
Les Davis Marine Park Pier,P
Les Davis Marine Park Pipeline,P
Lime Kiln, 
Lincoln Park, 
Lobster Shop Wall,P
Lowell Point,P
Magnolia, 
Marina Beach,P
Maury Island Barges,P
McCracken Point, 
McCurdy Point, 
Metridium Wall, 
Misery Point,P
Mukilteo Edgewater Park,P
Mukilteo Fuel Pier, 
Mukilteo Lighthouse, 
Mukilteo T-Dock, 
Narrows Bridge (Tacoma Side),P
Narrows Bridge (Tacoma side),P
Norrander's, 
North Beach, 
North Wall Deception Pass, 
Northwest Island, 
Octopus Hole,P
Olalla Boat Launch,P
Old Tacoma Outboard Association,P
Old Town Dock, 
O'Neal Island, 
Orcas Island Eelgrass,C
Owen Beach, 
Partridge Point, 
Picnic Cove,P
Pile Point, 
Pirate Cove, 
Point Caution, 
Point Dalco, 
Point Defiance Boathouse, 
Point Defiance North Wall, 
Point Defiance Wall, 
Point Defiance West Kelp Beds, 
Point Defiance West Wall, 
Point George,P
Point Hudson, 
Point Ruston, 
Point Ruston Ferry, 
Point Vashon, 
Point Whitehorn,C
Point Whitney Shellfish Lab,P
Possession Point Ferry,P
Possession Point Fingers, 
Pulali Point,C
Redondo Beach, 
Reuben Tarte, 
Rosario Beach Urchin Rocks, 
Rosario Beach Urchin Rocks North, 
Rosario Head, 
Rosario Wall, 
Rosie's Ravine, 
Ruston - Katie Downs,P
Salt Creek, 
Saltar's Point,P
Saltwater State Park, 
Sares Head, 
Scenic Beach State Park,P
Seabeck Bay,C
Seattle Waterfront, 
Sekiu, 
Shirttail Reef,P
Skyline, 
Smallpox Bay, 
South Hat Island,P
Speiden Southwest, 
Squaxin Island, 
Steilacoom Marina,P
Strawberry Falls, 
Sucia Island - Lawson's Bluff, 
Sucia Island - Shallow Bay, 
Sund Rock, 
Sund Rock North, 
Sund Rock South, 
Sunnyside Beach Park,P
Sunrise Beach State Park,P
Tacoma Narrows,P
Tacoma Narrows - Point Evans, 
The Pinnacle,P
Three Tree Point,P
Three Tree Point North,P
Tire Reef N Saltwater State Park, 
Titlow Beach Park,P
Triton Cove, 
Urchin Rocks South, 
Whale Rocks, 
Widmer Reef, 
Wing Point,P
Wreck of the Ranger,P
Yellow House,P
Young Island West, 
Z's Reef,P
Cattle Point, 
Dallas Banks,C
Eagle Cove, 
Glen Acres,C
Green Point, 
Lawrence Point, 
Pulali Point West Wall, 
Reef Point, 
Salmon Beach, 
Watmaugh Bay, 
Arsenic Wall, 
Glen Ayr Ravine,P
Lowman Beach Park, 
Cliff Island,P
Maritime Pier, 
Deadman Island, 
7 Seas Dock, 
Boeing Creek Reef,C
Cherry Point,C
Clallam Bay West, 
Dalco Wall,P
Edmonds Underwater Park Fishing Pier, 
Elliot Bay Marina, 
Fox Island Bridge, 
Freeland Park,C
Grain Terminal, 
Hat Island Sponge Garden,P
Long Island Wall, 
Lower Elwha,P
North Wall Point Defiance, 
Richmond Beach,P
Rock 305, 
Sirens of Spring, 
Tacoma Old Town Pier, 
Teahwhit Head, 
Thea's Park - Foss Waterway, 
Tongue Point, 
Triton Head, 
Mike's Beach Resort, 
