SiteName,Lat,Long,LENGTH,UNIT_ID,PHY_IDENT,UNIT_TYPE,BC_CLASS,DETH_CLASS,NRDA_CLASS,GEO_MAPPER,GEO_EDITOR,GEO_MAP_DT,GEO_SOURCE,BIO_MAPPER,BIO_EDITOR,BIO_MAP_DT,BIO_SOURCE,BIO_SLIDE,SCALE,VIDEO_TAPE,VIDEO_DATE,VIDEO_TIME,BASE_MAP,CHART,EXP_CALC,EXP_OBSER,EXP_BIO,EXP_CLASS,ORI,SED_SOURCE,SED_ABUND,SED_DIR,CHNG_TYPE,HAB_CALC,SHORENAME,SM_TOT_PCT,SM1_TYPE,SM1_PCT,SM1_FT,SM2_TYPE,SM2_PCT,SM2_FT,SM3_TYPE,SM3_PCT,SM3_FT,RAMP,PIERDOCK,SLIP_SMALL,SLIP_LARGE,RAILROAD,RIPAR_PCT,RIPAR_FT,ITZ_WIDTH,ZONECOMP,VER_UNIT,GRA_UNIT,SED_UNIT,TRI_UNIT,SAL_UNIT,SPA_UNIT,FUC_UNIT,BAR_UNIT,BMU_UNIT,ULV_UNIT,GCA_UNIT,OYS_UNIT,MUS_UNIT,RED_UNIT,CAL_UNIT,SBR_UNIT,SAR_UNIT,CHB_UNIT,SUR_UNIT,DEN_UNIT,ZOS_UNIT,NER_UNIT,MAC_UNIT,BIO_UNIT,BIOUNITTXT,SHORENORM,FET_NORM,RIGHT_45,LEFT_45,MAX_FET_DI,MAX_FET,EFF_FET,TIDE_RNG,A1_FMTXT,A2_FMTXT,A3_FMTXT,A4_FMTXT,B1_FMTXT,B2_FMTXT,B3_FMTXT,B4_FMTXT,B5_FMTXT,C1_FMTXT,COMMENTS,Shape_Length,distance_to_shore_m
100 Foot Rock,47.851581,-122.337599,6486.25,2491.0,5/1/017/0,L,25.0,66.0,10.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990308.0,V, ,"1:12,000",WA 1997-06,1997.0,22:09:21,T27N_R04E NW,18445,SP,SP,SP,SP,4.0,A,S,N,S,6.0,BROWNS BAY,100.0,RR,100.0,6486.25, ,0.0,0.0, ,0.0,0.0,0.0,1.0,0.0,2.0,Y,0.0,0.0,16.0,A1 B1 B2 C1,N, , , , , ,P,P, ,P, , , , , , , , , , , , , ,VER-N FUC-P BAR-P ULV-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV)",295.0,22.0,8.6,11.4,301.0,34.3,13.0,2.4,SEAWALL (RIPRAP), , , ,SEAWALL (RIPRAP),"BEACH FACE (SAND, PEBBLE, BOULDER)", , , , , ,6486.129793930163,122.64122676759237
Admiralty Beach,48.163471,-122.641196,3714.726,3756.0,6/1/069/0,L,25.0,66.0,10.0,Starkes,Harper,19990524.0,VPC,Dethier,Dethier,19990601.0,S,WA 1997-6-31,"1:12,000",WA 1997-04,1997.0,20:04:28,T31N_R01E SE,18423,SP,SP,X,SP,4.0,A,M,X,A,6.0,ADMIRALTY BAY,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,15.0,A1 B1 C1, ,C, , , , , , , , , , , , , ,C, , , , , , , ,GRA-C SBR-C,"DUNE GRASS (GRA), KELP (SBR)",173.0,24.9,14.8,4.2,179.0,30.0,9.5,1.3,BEACH BERM (LOGS OVERLYING PEBBLE), , , ,"BEACH FACE (PEBBLE, SAND)", , , , , , ,3714.824924386099,27.272381119120556
"Agate Beach, Lopez Is",48.430088,-122.877564,2323.56,7006.0,8/3/077/0,L,24.0,19.0,4.0,Harper,Harper,20000115.0,VPC,Dethier,Dethier,20000325.0,V, ,"1:12,000",WA 1999-01,1999.0,15:57:13,T34N_R02W SE,18423,SE,SP,X,SP,4.0,B,M,X,S,6.0,OUTER BAY,90.0,LF,60.0,1394.14,RR,30.0,697.07, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,35.0,A1 A2 B1 B2 C1, , , , , , , , , ,P, , , , , , , , , , ,P, , ,ULV-P ZOS-P,"GREEN ALGAE (ULV), EELGRASS (ZOS)",283.0,2.5,0.5,0.5,247.0,78.1,6.0,1.5,SEAWALL OVERLYING LANDFILL (RIPRAP OVERLYING FILL),"BEACH BERM (LOGS OVERLYING PEBBLE, SAND)", , ,"BEACH FACE (SAND, COBBLE, PEBBLE, BOULDER)",BEACH WITH LOW TIDE TERRACE (SAND), , , , , ,2323.576839407605,39.85452607058427
Alki - Cove 1,47.587448,-122.377732,3927.139,2569.0,5/1/096/0,L,32.0,66.0,10.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990302.0,V,WA 1997-13-37,"1:12,000",WA 1997-08,1997.0,21:27:18,T24N_R03E NE,18445,SP,SP,SP,SP,4.0,B,S,X,S,6.0, ,90.0,RR,90.0,3534.43, ,0.0,0.0, ,0.0,0.0,1.0,1.0,10.0,0.0,N,0.0,0.0,15.0,A1 B1 B2 C1,N, , , , , ,P,P, ,P, , , ,P, , ,P, , , , , , ,VER-N FUC-P BAR-P ULV-P RED-P SAR-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), SARGASSUM (SAR)",56.0,3.4,1.8,3.9,326.0,20.8,3.5,2.4,LANDFILL (FILL), , , ,"SEAWALL, LANDFILL (RIPRAP, FILL); BEACH FACE (SAND, PEBBLE)","BEACH FACE (SAND, PEBBLE, COBBLE)", , , , ,ARTICFICIAL SHORELINES & BEACHES,3927.1426480218765,25.263255914427084
Alki - Cove 2,47.588746,-122.379068,3927.139,2569.0,5/1/096/0,L,32.0,66.0,10.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990302.0,V,WA 1997-13-37,"1:12,000",WA 1997-08,1997.0,21:27:18,T24N_R03E NE,18445,SP,SP,SP,SP,4.0,B,S,X,S,6.0, ,90.0,RR,90.0,3534.43, ,0.0,0.0, ,0.0,0.0,1.0,1.0,10.0,0.0,N,0.0,0.0,15.0,A1 B1 B2 C1,N, , , , , ,P,P, ,P, , , ,P, , ,P, , , , , , ,VER-N FUC-P BAR-P ULV-P RED-P SAR-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), SARGASSUM (SAR)",56.0,3.4,1.8,3.9,326.0,20.8,3.5,2.4,LANDFILL (FILL), , , ,"SEAWALL, LANDFILL (RIPRAP, FILL); BEACH FACE (SAND, PEBBLE)","BEACH FACE (SAND, PEBBLE, COBBLE)", , , , ,ARTICFICIAL SHORELINES & BEACHES,3927.1426480218765,48.92062300898837
Alki - Cove 3,47.590072,-122.380864,3927.139,2569.0,5/1/096/0,L,32.0,66.0,10.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990302.0,V,WA 1997-13-37,"1:12,000",WA 1997-08,1997.0,21:27:18,T24N_R03E NE,18445,SP,SP,SP,SP,4.0,B,S,X,S,6.0, ,90.0,RR,90.0,3534.43, ,0.0,0.0, ,0.0,0.0,1.0,1.0,10.0,0.0,N,0.0,0.0,15.0,A1 B1 B2 C1,N, , , , , ,P,P, ,P, , , ,P, , ,P, , , , , , ,VER-N FUC-P BAR-P ULV-P RED-P SAR-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), GREEN ALGAE (ULV), RED ALGAE (RED), SARGASSUM (SAR)",56.0,3.4,1.8,3.9,326.0,20.8,3.5,2.4,LANDFILL (FILL), , , ,"SEAWALL, LANDFILL (RIPRAP, FILL); BEACH FACE (SAND, PEBBLE)","BEACH FACE (SAND, PEBBLE, COBBLE)", , , , ,ARTICFICIAL SHORELINES & BEACHES,3927.1426480218765,58.11374409638518
Alki - Pipeline,47.570966,-122.414476,2515.878,2577.0,5/1/104/0,L,24.0,66.0,10.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990302.0,V, ,"1:12,000",WA 1997-08,1997.0,21:30:41,T24N_R03E NE,18445,SP,SP,SP,SP,4.0,A,M,SW,S,6.0, ,100.0,CB,90.0,2264.29,RR,10.0,251.59, ,0.0,0.0,0.0,0.0,0.0,1.0,N,0.0,0.0,45.0,A1 B1 B2 C1, , , , , , , ,P, ,P, , , , , , , , , , ,P, , ,BAR-P ULV-P ZOS-P,"BARNACLES (BAR), GREEN ALGAE (ULV), EELGRASS (ZOS)",229.0,0.0,0.0,0.0,0.0,20.0,7.5,2.4,"SEAWALL (CONCRETE, RIPRAP)", , , ,"BEACH FACE (SAND, PEBBLE); BEACH FACE (LOGS OVERLYING SAND, PEBBLE)","BEACH WITH LOW TIDE TERRACE (SAND, PEBBLE, COBBLE, BOULDER); BEACH WITH BAR (SAND, PEBBLE)", , , , , ,2515.8810116662057,154.5122395327346
Alki Beach,47.580873,-122.410246,2258.195,2574.0,5/1/101/0,L,27.0,74.0,11.0,Harper,Harper,19990222.0,V,Dethier,Dethier,19990302.0,V, ,"1:12,000",WA 1997-08,1997.0,21:29:41,T24N_R03E NE,18445,SP,SP,SP,SP,3.0,A,M,X,S,9.0, ,100.0,WB,100.0,2258.2, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,40.0,A1 B1 B2 C1, , , , , , , , , , , , , , , , , , , , ,C, , ,ZOS-C,EELGRASS (ZOS),335.0,20.4,6.0,7.0,347.0,26.0,8.8,2.4,SEAWALL (WOOD), , , ,BEACH FACE (SAND),BEACH WITH LOW TIDE TERRACE (SAND), , , , , ,2258.2003505974694,126.47798397092477
Andy's Marine Park,47.146157,-122.734328,401.243,1749.0,4/2/263/0,L,28.0,74.0,11.0,Howes,Harper,20000305.0,VP,Dethier,Dethier,20000428.0,V, ,"1:12,000",WA 1999-09,1999.0,21:52:04,T19N_R01E NW,18445,P,P,X,P,4.0,F,M,X,S,8.0,ANDERSON ISLAND,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,10.0,40.12,40.0,A1 A2 B1 B2 C1, , , , , , , ,P, ,C, , , , , ,P, , , ,P, , , ,BAR-P ULV-C SBR-P DEN-P,"BARNACLES (BAR), GREEN ALGAE (ULV), KELP (SBR), SAND DOLLARS (DEN)",195.0,4.3,4.6,0.3,153.0,7.2,3.1,3.0,"HIGH, STEEP CLIFF (LIVE TREES OVERLYING TILL)","LOW INCLINED CLIFF, RAMP (LOGS OVERLYING TILL, SAND)", , ,"BEACH FACE (VENEER OF PEBBLE, COBBLE OVERLYING SAND)",DELTA FAN (SAND), , , , , ,401.2457901458253,92.47910608793163
Bachelor Rock,48.151033,-123.636306,10816.37,421.0,2/1/011/0,L,8.0,2.0,1.0,Gillie,Harper,19970301.0,VC,Morris,Dethier,19970301.0,SV,"WA 1995-16-22,23,24","1:12,000",WA 1995-05,1995.0,16:16:37,T31N_R8W SE,18465,SE,SE,SE,SE,5.0,B,S,E,E,3.0,OBSERVATORY PT.,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,5.0,A1 B1 C1,M, , , , , ,P,C, , , , ,P,P, ,P, ,C,C, ,P,P, ,VER-M FUC-P BAR-C MUS-P RED-P SBR-P CHB-C SUR-C ZOS-P NER-P,"LICHEN (VER), ROCKWEED (FUC), BARNACLES (BAR), MUSSELS (MUS), RED ALGAE (RED), KELP (SBR, CHB, NER), SURFGRASS (SUR), EELGRASS (ZOS)",40.0,0.0,0.0,0.0,0.0,500.0,62.7,1.3,STEEP CLIFF OF MODERATE HEIGHT (BEDROCK), , , ,"STEEP CLIFF OF MODERATE HEIGHT (BEDROCK); BEACH FACE (GRAVEL OVERLYING BEDROCK); OFFSHORE ISLAND, SEA STACKS (BEDROCK)", , , , , , ,10816.473112455216,5.667704052697165
