SiteName,distance_to_shore_m
100 Foot Rock,122.64122676759237
Admiralty Beach,27.272381119120556
"Agate Beach, Lopez Is",39.85452607058427
Alki - Cove 1,25.263255914427084
Alki - Cove 2,48.92062300898837
Alki - Cove 3,58.11374409638518
Alki - Pipeline,154.5122395327346
Alki Beach,126.47798397092477
Andy's Marine Park,92.47910608793163
Bachelor Rock,5.667704052697165
Bayrich Bay,99.49470190216456
Bell Island East,36.37342329540748
Bell Island West,5.23527300315205
Beverly Beach,93.23588331109144
Blake Island South,60.97172844795811
Blakely Harbor Reef,30.113130338391866
"Blakely Harbor, North",932.6691123867311
Broken Point Cove Shaw,61.288749662744266
Broken Point East,39.4566619294044
Broken Point West,20.57227752266964
Burrows Lighthouse,76.71192343819082
Camano Head,242.53863915435346
Camano Island State Park,114.06824454045942
Camp Casey,107.74303131511635
Canoe Pass,27.427458319302286
Chupp Point,73268.70200982652
Crosse Point,69152.56618549241
Dalco Shallows,8.924509385111929
Dash Point State Park,266.4571314190805
Day Island Kelp,50.453239186300884
Day Island Wall,62.37413892847376
Day Island Wall - North,126.79436007322559
Day Island Wall - South,131.99838250980935
Deadmans Bay,63.69155481996855
Deception Pass,8.43605938588775
Derelict Conveyor,94.49948420078928
Devils Head,117.34743229661235
Dickman Mill,68.52873227950535
Driftwood Park,84.72096133209575
Dune Peninsula Breakwater,31.39854456472528
Eagle Point,13.199317141456435
Ebeys Landing,259.0918864642086
Edgewater Beach Park,37.77029521066543
Ediz Hook Log Pile,50.23644025896071
Ediz Hook Rock Pile,92.83819981926897
Ediz Hook RockPile,88.87553468958443
Edmonds Pipeline,106.29335716766101
Edmonds Underwater Park,158.38079525367675
Edmonds Underwater Park Kelp,158.935547259902
Edmonds Underwater Park Pipeline,113.3810642293962
Edmonds Underwater Park Shell Creek,158.935547259902
Elephant Wall,58.02049178731129
Everett Pipeline,778.3292594210194
Flagpole Point,79.9654082717861
Flat Top Island,15.151561702825525
Fort Worden,115.08902650949857
Foulweather Bluff,227.63951332030507
Fox Island East Wall,51.209503150457586
Fox Island West Wall,79.81404778334623
Freshwater Bay,14.687854444200102
Friday Harbor Reef,58.05745740299823
Fulton Creek,100.07847592063233
Goby Garden,133.33758319659154
"Green Point, Spieden Island",117.40237063488298
Hat Island,224.6535411530189
Hat Island Ledge,374.5322563505769
Hat Island Marina,28.383793023073768
Holmes Harbor,229.58866793336355
Intake Tower/Between Owens and Boathouse,50.25396811374892
"Jack Block, Seattle, Washington",32.86518168332998
Jack Hyde Park,27.882652986179828
Jefferson Head,256.73592117639595
Jones Island,24.54076370835011
Jorsted Creek,195.40675245807137
Kat's Corner,89.74840116899227
Kayen Point,72247.9597751347
Ketron Island,59.065299856689165
Kellet's Bluff,24.10517989485022
Keystone Jetty,78.30639576887341
Keystone Jetty - Pilings,48.35838529257613
Keystone Jetty Preserve,49.240749879475416
Keystone Preserve,29.51004788350803
Kopachuck State Park,202.15732817868835
KVI Tower,81.57658608048976
Langley Marina,164.51162937212578
Langley Tire Reef,116.0224399492599
Larry's Lair,7.130353460894404
Les Davis Marine Park,53.53471877087079
Les Davis Marine Park Pier,54.23057922155281
Les Davis Marine Park Pipeline,194.52216843626078
Lime Kiln,31.96125709379407
Lincoln Park,104.87786758046356
Lobster Shop Wall,72.6274054893807
Lowell Point,184.06616260185817
Magnolia,174.46402390986464
Marina Beach,116.82998039919775
Maury Island Barges,91.66940226875309
McCracken Point,165.5945606770204
McCurdy Point,573.6707729795322
Metridium Wall,185.7799556822048
Misery Point,667.9293590768605
Mukilteo Edgewater Park,92.46031039837138
Mukilteo Fuel Pier,13.7884021836528
Mukilteo Lighthouse,102.80707945005766
Mukilteo T-Dock,44.39592333225535
Narrows Bridge (Tacoma Side),221.81898389593255
Narrows Bridge (Tacoma side),144.59757065469833
Norrander's,129.9060616711695
North Beach,91.55121286925018
North Wall Deception Pass,28.80450027715076
Northwest Island,9.615943839174314
Octopus Hole,128.78304248484193
Olalla Boat Launch,30.3242698362047
Old Tacoma Outboard Association,126.22982469462275
Old Town Dock,36.097344739748515
O'Neal Island,547.2991769585423
Orcas Island Eelgrass,50.41062196025327
Owen Beach,97.50799076445422
Partridge Point,126.60434263106735
Picnic Cove,81.27654767103053
Pile Point,17.96156247668951
Pill Point Wall,72979.99883876747
Pirate Cove,52.22581222790608
Point Caution,26.889295325173965
Point Dalco,86.06400331085993
Point Defiance Boathouse,47.65867831253498
Point Defiance North Wall,49.853001621957276
Point Defiance Wall,48.96183426822737
Point Defiance West Kelp Beds,96.65459074912043
Point Defiance West Wall,135.70103944294883
Point George,19.245941380088517
Point Hudson,8.889439827604237
Point Ruston,46.34595251302506
Point Ruston Ferry,14.323986954148127
Point Vashon,168.25017486867574
Point Whitehorn,239.56673072852348
Point Whitney Shellfish Lab,161.60821617779857
Possession Point Ferry,1014.9188607236099
Possession Point Fingers,96.82660954076891
Pulali Point,118.8178959565695
Redondo Beach,110.26986133650752
Reuben Tarte,25.53550214733771
Rosario Beach Urchin Rocks,133.80687822391405
Rosario Beach Urchin Rocks North,46.2658395681869
Rosario Head,18.104953843203788
Rosario Wall,29.875395299750267
Rosie's Ravine,206.4738722481222
Ruston - Katie Downs,61.795400287397776
Salt Creek,438.23507958738446
Saltar's Point,98.90163997792429
Saltwater State Park,233.94598854995704
Sares Head,106.74392312015783
Scenic Beach State Park,58.89354537943272
Seabeck Bay,504.9717647116037
Seattle Waterfront,221.47484051362318
Seddal Wall,65047.477179354966
Sekiu,94.29095449346828
Shirttail Reef,248.1050654228152
Skyline,37.50207989740521
Smallpox Bay,20.548617890958027
Smith Island,9442.475979568995
South Hat Island,311.54210863844787
Speiden Southwest,31.614078653271548
Squaxin Island,142.7627060696128
Steilacoom Marina,72.08450964036646
Strawberry Falls,67.97354730521887
Sucia Island - Lawson's Bluff,10.004199438819583
Sucia Island - Shallow Bay,111.56957068109115
Sund Rock,39.51047160654079
Sund Rock North,58.21017821236342
Sund Rock South,7.67618157406756
Sunnyside Beach Park,167.03805556601148
Sunrise Beach State Park,34.40261924893794
Tacoma Narrows,445.9243487541139
Tacoma Narrows - Point Evans,117.46970227945242
The Pinnacle,280.63468198355747
Three Tree Point,54.494902890918866
Three Tree Point North,223.3657867377735
Tire Reef N Saltwater State Park,251.94402297008122
Titlow Beach Park,54.150826971109765
Triton Cove,72.45477921263098
Unknown Hornby Island Site 1,129159.74164071523
Unknown Hornby Island Site 2,127057.94835231671
Urchin Rocks South,33.02140908135067
Whale Rocks,583.5810452317571
Whytecliff Park,43655.44501252788
Widmer Reef,37.33991164660228
Wing Point,326.64187816838773
Wreck of the Ranger,202.31630099120625
Yellow House,21.984627026280954
Young Island West,18.10989130431845
Z's Reef,114.84236416817936
Cattle Point,48.4687197612552
Dallas Banks,324.47691414024115
Eagle Cove,19.12552479231581
Glen Acres,126.81169793223148
Green Point,560.9757653444516
Lawrence Point,22.591164618646463
Pulali Point West Wall,47.49254237050565
Reef Point,325.6143352410628
Salmon Beach,8.558423500974929
Watmaugh Bay,50.250833570647146
Arsenic Wall,53.26287596105772
Glen Ayr Ravine,101.49332316699439
Lowman Beach Park,24.680225894961307
Cliff Island,19.100185789615434
Maritime Pier,74.05630403232016
Deadman Island,32.889378590069605
7 Seas Dock,30.698528223382787
Anvil Island,58988.727261217464
Bird Islet,42714.4456804905
Boeing Creek Reef,378.7337903416524
Bowen,45142.55174317474
Brigade,56951.81628041977
Cherry Point,197.13751964295355
Christie Islet,57380.884179446664
Clallam Bay West,260.992215804167
Collingwood Day Marker,45747.02891113545
Dalco Wall,239.59421560141354
Edmonds Underwater Park Fishing Pier,34.558092826959616
Elliot Bay Marina,22.883874904675245
Enchanted Forest,52205.509648603256
Fox Island Bridge,322.4615175404978
Freeland Park,67.06697499435712
Grain Terminal,21.78529427885381
Hat Island Sponge Garden,1930.4841055826819
Hutt Island Day Marker,49851.43642686106
Long Island Wall,39.625044536101704
Lower Elwha,373.39006561782304
North Wall Point Defiance,124.45227643207859
Passage Island,41288.55335967666
Richmond Beach,79.79305248812815
Rock 305,10.494980238959213
Sirens of Spring,34.616843778375014
Tacoma Old Town Pier,59.31857803245634
Teahwhit Head,30.51486455787618
Thea's Park - Foss Waterway,41.6611853836366
Tongue Point,395.5834246155844
Triton Head,135.34260615580948
Mike's Beach Resort,57.65174181987235
