Feature,Importance
ZOS_UNIT_C,0.4137615061828907
BC_CLASS_30.0,0.19814441843924005
HAB_CALC_7.0,0.11121752840584138
OYS_UNIT_ ,0.07279274064991752
OYS_UNIT_P,0.03528889425147533
FUC_UNIT_P,0.020015019972683464
ZOS_UNIT_P,0.017682062577218452
ZONECOMP_A1 A2 B1 C1,0.014986421058769454
ZOS_UNIT_ ,0.013471157568514604
BC_CLASS_24.0,0.01004823299897378
HAB_CALC_9.0,0.009577930549381667
ZONECOMP_A1 B1 B2 C1,0.006860190312261556
MUS_UNIT_ ,0.006325457565315651
ULV_UNIT_ ,0.006114545670653564
HAB_CALC_8.0,0.005239175742580728
SED_SOURCE_B,0.005194092345329687
ULV_UNIT_P,0.00511929761664539
EXP_CLASS_SP,0.0049773169953248155
SED_SOURCE_X,0.0045534658417667045
NRDA_CLASS_1.0,0.004173304375732124
SED_ABUND_M,0.0037432581013869407
ZONECOMP_A1 B1 C1,0.0035363856842643136
NRDA_CLASS_11.0,0.0030802232443367604
ULV_UNIT_C,0.002867913906250056
BC_CLASS_25.0,0.002720520681306542
SED_SOURCE_A,0.002568760795148283
SED_ABUND_S,0.0025277807375955444
HAB_CALC_3.0,0.0021600392922197908
MUS_UNIT_P,0.0014057333682409203
SED_ABUND_A,0.0013574294843693815
NRDA_CLASS_9.0,0.0011514059696863834
FUC_UNIT_ ,0.0010179860828457685
NRDA_CLASS_10.0,0.0009561333069832113
BC_CLASS_9.0,0.000871644563659905
NER_UNIT_P,0.0008696992094584865
EXP_CLASS_P,0.0008587260119210031
NER_UNIT_ ,0.0007919594056132142
NRDA_CLASS_3.0,0.0006097898186526469
NER_UNIT_C,0.00038684577527287923
HAB_CALC_6.0,0.00034329446764498254
BC_CLASS_32.0,0.00025144937642788967
ZONECOMP_A1 A2 B1 B2 C1,0.00023172734217316964
EXP_CLASS_SE,4.7794435243732253e-05
HAB_CALC_5.0,4.502636742671684e-05
HAB_CALC_4.0,3.5404848973895276e-05
BC_CLASS_3.0,1.1507927163129683e-05
FUC_UNIT_C,8.800675217885136e-06
EXP_CLASS_E,0.0
EXP_CLASS_VP,0.0
SED_SOURCE_F,0.0
SED_SOURCE_O,0.0
BC_CLASS_13.0,0.0
BC_CLASS_14.0,0.0
BC_CLASS_27.0,0.0
BC_CLASS_28.0,0.0
ZONECOMP_B1 C1,0.0
BC_CLASS_1.0,0.0
BC_CLASS_4.0,0.0
BC_CLASS_5.0,0.0
BC_CLASS_7.0,0.0
BC_CLASS_8.0,0.0
ZONECOMP_A1 A2 B1 B2 B3 C1,0.0
ZONECOMP_A1 A2 A3 B1 C1,0.0
ZONECOMP_A1 B1,0.0
ZONECOMP_A1 B1 B2 B3 C1,0.0
BC_CLASS_16.0,0.0
BC_CLASS_19.0,0.0
BC_CLASS_21.0,0.0
BC_CLASS_22.0,0.0
BC_CLASS_10.0,0.0
ZONECOMP_A1 B1 B2 B3 B4 C1,0.0
NRDA_CLASS_4.0,0.0
HAB_CALC_2.0,0.0
NRDA_CLASS_7.0,0.0
NRDA_CLASS_5.0,0.0
OYS_UNIT_C,0.0
MUS_UNIT_C,0.0
