Feature,Importance_Mean,Importance_Std
ZOS_UNIT_C,0.2917944152703434,0.06456623932065861
BC_CLASS_30.0,0.06889512220912528,0.027674432080918392
HAB_CALC_7.0,0.050233475574456544,0.013209697787756764
OYS_UNIT_ ,0.03634317432365577,0.006249993195463046
OYS_UNIT_P,0.00928099509058814,0.004033912702883555
FUC_UNIT_P,0.009156702425449725,0.0023481431180267707
ZOS_UNIT_ ,0.005028880924984125,0.0018064485002041938
ZONECOMP_A1 B1 B2 C1,0.004766592848167594,0.0026619650788989885
ZOS_UNIT_P,0.004178992663169201,0.003255089492775394
ULV_UNIT_ ,0.0028621984290934767,0.001577547047324676
SED_SOURCE_A,0.0024611813190315024,0.00045681935688601934
HAB_CALC_8.0,0.002389829130970833,0.0006603732097638957
SED_ABUND_S,0.0020453398718444315,0.0008771343061761428
EXP_CLASS_SP,0.002037748761754632,0.0020617007284661525
SED_SOURCE_B,0.001946007183274223,0.0008583829326929171
BC_CLASS_24.0,0.0016439190012169313,0.0009944945116219632
ZONECOMP_A1 B1 C1,0.0014505150922540678,0.0009524178178779621
ULV_UNIT_P,0.0014488549446081023,0.0008039985822894021
NRDA_CLASS_1.0,0.0010953254416893876,0.0005699939306928595
SED_SOURCE_X,0.0010582262251994322,0.0003475238065196147
SED_ABUND_M,0.0009663386154663223,0.000523717434996845
MUS_UNIT_ ,0.0009106479547209446,0.0008584177934186265
HAB_CALC_9.0,0.0006893762508040524,0.00038164298689731275
NRDA_CLASS_10.0,0.0006205862390299743,0.00028796375715094325
NRDA_CLASS_9.0,0.0005818254105488307,0.00019083139359026748
BC_CLASS_25.0,0.000572684046746319,0.00027835136130763423
ZONECOMP_A1 A2 B1 C1,0.0005653949794636959,0.0009002917007421011
NER_UNIT_P,0.0004972867539561387,8.941965556627339e-05
EXP_CLASS_P,0.0004498206051443243,0.00022775979753149913
MUS_UNIT_P,0.0004070080069901838,0.00024196479678877429
NRDA_CLASS_11.0,0.00036212938122638373,0.0005639134958997508
NER_UNIT_ ,0.0003118353630791604,8.32431106201826e-05
HAB_CALC_3.0,0.00029507455370204606,0.00011886490790608279
NRDA_CLASS_3.0,0.00028728857336026705,0.00015054949623291398
ULV_UNIT_C,0.00028380240390784016,0.0004249976203824525
FUC_UNIT_ ,0.0002512223280307424,0.00017950695205864363
NER_UNIT_C,0.0001935721944979263,0.00013452021207101904
BC_CLASS_9.0,0.00019200616296297657,0.0001596163402856288
SED_ABUND_A,0.0001703061023893837,0.00011082662469049862
HAB_CALC_4.0,2.9960150546037846e-05,2.2225162192107504e-05
EXP_CLASS_SE,2.165556948354741e-05,1.5738576744574168e-05
BC_CLASS_32.0,1.4106677252001543e-05,2.6002959603667567e-05
FUC_UNIT_C,7.307019579949614e-06,6.743815925056086e-06
HAB_CALC_5.0,4.226490262149163e-06,3.2194300771603706e-05
BC_CLASS_3.0,1.719700882441e-06,7.172545539563342e-06
ZONECOMP_A1 A2 B1 B2 C1,1.9535744116838671e-07,1.549280878134281e-05
BC_CLASS_5.0,-3.3306690738754695e-17,7.108895957933347e-17
BC_CLASS_22.0,-5.551115123125783e-17,8.95090418262362e-17
NRDA_CLASS_7.0,-5.551115123125783e-17,7.447602459741819e-17
SED_SOURCE_O,-6.661338147750939e-17,7.364386412590296e-17
EXP_CLASS_E,-6.661338147750939e-17,8.881784197001253e-17
BC_CLASS_16.0,-6.661338147750939e-17,8.881784197001253e-17
BC_CLASS_27.0,-7.771561172376095e-17,7.108895957933347e-17
EXP_CLASS_VP,-7.771561172376095e-17,9.992007221626409e-17
BC_CLASS_1.0,-7.771561172376095e-17,9.992007221626409e-17
BC_CLASS_19.0,-7.771561172376095e-17,8.671119018262735e-17
BC_CLASS_8.0,-7.771561172376095e-17,9.992007221626409e-17
BC_CLASS_14.0,-9.992007221626409e-17,1.0473823066688542e-16
SED_SOURCE_F,-9.992007221626409e-17,9.222205069512408e-17
ZONECOMP_B1 C1,-9.992007221626409e-17,9.222205069512408e-17
ZONECOMP_A1 B1 B2 B3 B4 C1,-9.992007221626409e-17,5.978733960281817e-17
ZONECOMP_A1 B1,-9.992007221626409e-17,1.0473823066688542e-16
NRDA_CLASS_4.0,-9.992007221626409e-17,7.771561172376097e-17
HAB_CALC_2.0,-1.1102230246251565e-16,8.599750569898517e-17
BC_CLASS_10.0,-1.1102230246251565e-16,8.599750569898517e-17
BC_CLASS_28.0,-1.1102230246251565e-16,9.930136612989092e-17
NRDA_CLASS_5.0,-1.1102230246251565e-16,9.930136612989092e-17
ZONECOMP_A1 B1 B2 B3 C1,-1.2212453270876723e-16,1.0473823066688541e-16
BC_CLASS_13.0,-1.2212453270876723e-16,1.0473823066688541e-16
BC_CLASS_7.0,-1.3322676295501878e-16,8.30814836211045e-17
MUS_UNIT_C,-1.3322676295501878e-16,9.678699938266253e-17
ZONECOMP_A1 A2 A3 B1 C1,-1.4432899320127036e-16,8.671119018262735e-17
ZONECOMP_A1 A2 B1 B2 B3 C1,-1.554312234475219e-16,1.0175362097255201e-16
BC_CLASS_21.0,-1.6653345369377348e-16,8.95090418262362e-17
BC_CLASS_4.0,-1.7763568394002506e-16,7.364386412590296e-17
OYS_UNIT_C,-1.9984014443252818e-16,4.4408920985006264e-17
HAB_CALC_6.0,-6.3432079616010386e-06,7.568453863269602e-05
