Feature,Refugia_Mean,NonRefugia_Mean,Difference,U_Statistic,P_Value,Significant
ZONECOMP_A1 A2 B1 C1,0.3125,0.10256410256410256,0.20993589743589744,377.5,0.0601730438938627,False
EXP_CLASS_P,0.6875,0.41025641025641024,0.27724358974358976,398.5,0.06573446004208153,False
EXP_CLASS_SP,0.25,0.48717948717948717,-0.23717948717948717,238.0,0.110940395540537,False
ZONECOMP_A1 A2 A3 B1 C1,0.0625,0.0,0.0625,331.5,0.12820527503039147,False
ZONECOMP_A1 A2 B1 B2 C1,0.0,0.1282051282051282,-0.1282051282051282,272.0,0.14161278525241042,False
SED_ABUND_A,0.0,0.1282051282051282,-0.1282051282051282,272.0,0.14161278525241042,False
SED_SOURCE_X,0.0,0.10256410256410256,-0.10256410256410256,280.0,0.19443590211672568,False
SED_ABUND_M,0.75,0.5641025641025641,0.1858974358974359,370.0,0.20549261250847572,False
SED_SOURCE_F,0.0,0.07692307692307693,-0.07692307692307693,288.0,0.2683021684141451,False
ZONECOMP_A1 B1 B2 B3 B4 C1,0.0,0.05128205128205128,-0.05128205128205128,296.0,0.37574985629486113,False
SED_SOURCE_B,0.3125,0.20512820512820512,0.10737179487179488,345.5,0.40602640503601084,False
SED_SOURCE_A,0.6875,0.5897435897435898,0.09775641025641024,342.5,0.5088999356579491,False
ZONECOMP_A1 B1 B2 B3 C1,0.0,0.02564102564102564,-0.02564102564102564,304.0,0.5481860016777049,False
SED_SOURCE_O,0.0,0.02564102564102564,-0.02564102564102564,304.0,0.5481860016777049,False
EXP_CLASS_VP,0.0,0.02564102564102564,-0.02564102564102564,304.0,0.5481860016777049,False
SED_ABUND_S,0.25,0.3076923076923077,-0.05769230769230771,294.0,0.6802120723728251,False
EXP_CLASS_SE,0.0625,0.07692307692307693,-0.014423076923076927,307.5,0.8691246156331326,False
ZONECOMP_A1 A2 B1 B2 B3 C1,0.0,0.0,0.0,312.0,1.0,False
ZONECOMP_A1 B1,0.0,0.0,0.0,312.0,1.0,False
EXP_CLASS_E,0.0,0.0,0.0,312.0,1.0,False
