model_name,formula,family,offset,covariance,term,estimate_log,se_log,z,p_value,irr,irr_ci_low,irr_ci_high,n_rows,n_sites,converged,model_aic,notes
M1_eelgrass_only,Pycnopodia_count ~ SiteHasEelgrassInt,NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,Intercept,-0.3427957512904923,0.2920695032042159,-1.1736786878800163,0.24052374983913805,0.7097831690523236,0.400419929600293,1.2581595216123598,3978,133,True,6852.728202271977,"Overall eelgrass-at-site association, effort adjusted."
M1_eelgrass_only,Pycnopodia_count ~ SiteHasEelgrassInt,NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,SiteHasEelgrassInt,2.1719595962584837,0.4562181579037977,4.760791648973521,1.9283504624440004e-06,8.775463568349346,3.5886943217676923,21.458712817171406,3978,133,True,6852.728202271977,"Overall eelgrass-at-site association, effort adjusted."
P1_eelgrass_only_poisson_sensitivity,Pycnopodia_count ~ SiteHasEelgrassInt,Poisson,log(Survey.Time / 60),cluster-robust by SiteName,Intercept,-0.3484610298111396,0.28454651437011996,-1.2246188662071738,0.22071885617977205,0.7057734186114306,0.40407210068470595,1.2327406855717107,3978,133,True,11096.994509440538,"Poisson sensitivity: Overall eelgrass-at-site association, effort adjusted."
P1_eelgrass_only_poisson_sensitivity,Pycnopodia_count ~ SiteHasEelgrassInt,Poisson,log(Survey.Time / 60),cluster-robust by SiteName,SiteHasEelgrassInt,2.201068553527162,0.4416029043340998,4.984271008919629,6.219585490854116e-07,9.034662363687497,3.802059013192629,21.46866309612851,3978,133,True,11096.994509440538,"Poisson sensitivity: Overall eelgrass-at-site association, effort adjusted."
M2_eelgrass_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,Intercept,-0.6422078290649941,0.40232614280927065,-1.5962368852810127,0.11043591532838543,0.5261295367041037,0.23912889112426622,1.1575861372962495,3978,133,True,6329.996295741201,Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
M2_eelgrass_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Artificial Reef]",0.11552157890414991,0.5436741426336237,0.21248312149728021,0.8317301442472468,1.1224587357164155,0.38671775782076984,3.2579667933687695,3978,133,True,6329.996295741201,Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
M2_eelgrass_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Eelgrass]",0.6247227698216572,0.4362332386037081,1.4320842946797563,0.15211969857529795,1.867728095059111,0.7943122232925269,4.391734301422723,3978,133,True,6329.996295741201,Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
M2_eelgrass_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Kelp Forest]",-0.4030394006294427,0.42879216360946976,-0.9399411529276878,0.3472477466817304,0.668285767924923,0.28838565978602726,1.5486410383316946,3978,133,True,6329.996295741201,Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
M2_eelgrass_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Soft Bottom]",1.5281957783910418,0.38082289543937947,4.0128778933521465,5.998294534358687e-05,4.6098521199451605,2.1853950625031384,9.723979399597631,3978,133,True,6329.996295741201,Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
M2_eelgrass_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Sponge Garden]",-21.489692390461286,0.7303767131461844,-29.422751305818455,2.8103500972087545e-190,4.64670580484474e-10,1.1103180286291015e-10,1.9446567812140343e-09,3978,133,True,6329.996295741201,Fig 2A model: eelgrass-at-site association adjusted for row-level habitat.
