Grouping,Group,Eelgrass status,Rows,Sites,Survey hours,P. helianthoides,Mean encounter rate hr^-1,SE,Sparse descriptive cell
Habitat × eelgrass,Soft Bottom,Eelgrass at site,536,32,105.0,"1,484",12.97,1.05,No
Habitat × eelgrass,Eelgrass,Eelgrass at site,243,34,31.2,175,4.10,0.67,No
Habitat × eelgrass,Artificial Reef,Eelgrass at site,548,16,131.5,523,3.14,0.44,No
Habitat × eelgrass,Kelp Forest,Eelgrass at site,48,4,13.2,31,1.93,0.57,No
Habitat × eelgrass,Soft Bottom,No eelgrass at site,316,41,52.0,73,1.39,0.37,No
Habitat × eelgrass,Natural Reef,Eelgrass at site,368,20,80.1,95,1.30,0.28,No
Habitat × eelgrass,Natural Reef,No eelgrass at site,"1,377",78,290.9,229,0.77,0.13,No
Habitat × eelgrass,Artificial Reef,No eelgrass at site,468,17,126.4,39,0.20,0.06,No
Habitat × eelgrass,Kelp Forest,No eelgrass at site,59,17,13.6,2,0.03,0.03,No
Habitat × eelgrass,Sponge Garden,Eelgrass at site,3,1,1.0,0,0.00,0.00,Yes
Habitat × eelgrass,Sponge Garden,No eelgrass at site,12,2,3.1,0,0.00,0.00,Yes
Basin × eelgrass,Whidbey,Eelgrass at site,506,6,122.5,"1,940",16.88,1.13,No
Basin × eelgrass,Strait of Georgia,Eelgrass at site,4,1,0.5,3,5.73,3.31,Yes
Basin × eelgrass,Hood Canal,Eelgrass at site,143,4,27.9,141,5.17,0.77,No
Basin × eelgrass,Strait of Juan de Fuca,No eelgrass at site,18,5,10.1,20,4.42,2.24,Yes
Basin × eelgrass,Strait of Juan de Fuca,Eelgrass at site,177,4,40.3,200,4.36,0.78,No
Basin × eelgrass,Hood Canal,No eelgrass at site,354,19,66.5,242,3.39,0.51,No
Basin × eelgrass,Admiralty Inlet,Eelgrass at site,90,3,15.9,7,0.57,0.28,No
Basin × eelgrass,Admiralty Inlet,No eelgrass at site,270,5,85.6,33,0.53,0.27,No
Basin × eelgrass,Central,Eelgrass at site,501,10,98.3,15,0.20,0.10,No
Basin × eelgrass,Howe Sound,No eelgrass at site,158,9,30.0,4,0.20,0.14,No
Basin × eelgrass,Central,No eelgrass at site,350,15,73.5,24,0.18,0.09,No
Basin × eelgrass,San Juan,No eelgrass at site,656,35,121.5,14,0.08,0.03,No
Basin × eelgrass,South,Eelgrass at site,162,3,29.5,2,0.07,0.05,No
Basin × eelgrass,Whidbey,No eelgrass at site,363,6,87.9,6,0.06,0.03,No
Basin × eelgrass,Howe Sound,Eelgrass at site,21,1,3.8,0,0.00,0.00,Yes
Basin × eelgrass,Strait of Georgia,No eelgrass at site,4,1,0.5,0,0.00,0.00,Yes
Basin × eelgrass,San Juan,Eelgrass at site,142,2,23.2,0,0.00,0.00,Yes
Basin × eelgrass,South,No eelgrass at site,59,4,10.5,0,0.00,0.00,Yes
